# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri May 10 22:15:00 AEST 2019 [seed=1557490499686]
# -overwrite GSS_ucld_dates_utlra_clock_sim_7.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-11914.137051394982	-1055.509503547331	-10858.627547847651	4.033799029662691	-1.1463156519545712	27.283828042613465	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.20307744460882757	0.8745327955640092	-0.05391288753562127	-10858.627547847651	-947.1292170479767	-97.81670090266365
5000	-6630.9610390229	-1021.8006776398919	-5609.160361383008	3.1869748076926667	-0.2994914299845468	21.825122174703516	0.8549314146733699	0.04364024024384583	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3554379942122222	0.0021340842328764426	0.6939812589953099	9.58001515762098E-5	3.471591900474923	-0.059120446455109756	-5609.160361383008	-947.1292170479767	-72.3173414601118
10000	-6644.335575530898	-1038.074637590138	-5606.2609379407595	3.694985501565471	-0.807502123857351	24.918820978680827	0.9347680744682955	-0.1499290171934633	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.22333647421774777	0.001008576912803286	1.1121586412910691	5.655211843294872E-5	5.240723525337999	-0.017584107829388844	-5606.2609379407595	-947.1292170479767	-87.9563587438831
15000	-6659.033380903581	-1057.1428740779702	-5601.890506825611	7.309307132429964	-4.421823754721844	36.08071932130479	0.841582997252087	-0.2571360976541137	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1134586924743244	6.523175682005655E-4	0.13028364976886073	3.4888704438323E-5	3.052172545118214	-0.014047553603611563	-5601.890506825611	-947.1292170479767	-110.48824668012291
20000	-6636.6982010911015	-1029.7854510378058	-5606.912750053296	3.613074356336206	-0.7255909786280861	23.4580035515447	1.22504037862891	0.28381176963487875	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3824950039347772	0.0013020602914714156	1.6252280681222704	6.174952547688883E-5	5.259159576647968	-0.0031583588953684274	-5606.912750053296	-947.1292170479767	-77.50954061347282
25000	-6652.8810431241845	-1048.6011127149507	-5604.279930409234	4.314514658972154	-1.4270312812640342	28.27477213865181	2.0770172566366245	0.4207575706986879	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2586697438928118	8.462767304046092E-4	0.3527608733312991	4.506918548951232E-5	4.834015587666988	-0.008145215040999298	-5604.279930409234	-947.1292170479767	-100.5602117492574
30000	-6685.292910295006	-1079.619149109761	-5605.673761185244	3.9867827063130856	-1.0992993286049657	32.70498048117026	2.2908019093742884	0.2606384617623019	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.12101597058829475	7.0437406508404E-4	0.462271587923773	3.359927995301577E-5	5.486819688753902	-0.026550873443813933	-5605.673761185244	-947.1292170479767	-131.8484436832306
35000	-6708.191708468575	-1102.808113936112	-5605.383594532463	4.667146460430086	-1.779663082721966	38.51387911186233	2.0843959980591578	-0.026097855427226202	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13259446338695877	6.869094811880748E-4	0.09012448810036763	5.111375493083191E-5	3.7159086620896282	-0.0365762019851215	-5605.383594532463	-947.1292170479767	-156.4581776460579
40000	-6679.318239560619	-1070.4914859574928	-5608.826753603126	3.70057528354453	-0.8130919058364099	31.253513415174005	1.4814228232163802	0.0759479529476943	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.09989610052486711	2.53534921828672E-4	0.01215322892798648	4.766289339611882E-5	3.497698978562097	-0.0018798825057395362	-5608.826753603126	-947.1292170479767	-124.80947853562611
45000	-6648.864708597192	-1046.6193352475934	-5602.245373349599	4.6790295645543925	-1.7915461868462725	28.687952323557404	1.5265726270166187	0.2332811333493694	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08208625191906002	1.453347897453785E-4	0.010772947585236135	2.9026937094120098E-5	4.018577730758158	0.08255986421112257	-5602.245373349599	-947.1292170479767	-101.0584617142084
