PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5643.7	-0.0050340
2.1544e-07	-5642.5	-0.024371
2.1715e-06	-5639.2	-0.042129
8.3895e-06	-5648.4	-0.086841
2.1888e-05	-5635.5	-0.15216
4.6050e-05	-5647.1	-0.23552
8.4561e-05	-5644.8	-0.33883
0.00014136	-5631.2	-0.46552
0.00022061	-5647.6	-0.62325
0.00032669	-5643.4	-0.80216
0.00046416	-5635.2	-1.0077
0.00063774	-5643.8	-1.2424
0.00085232	-5629.6	-1.5028
0.0011130	-5641.8	-1.7969
0.0014248	-5634.0	-2.1173
0.0017932	-5641.3	-2.4724
0.0022237	-5643.3	-2.8576
0.0027216	-5640.3	-3.2742
0.0032929	-5639.4	-3.7242
0.0039432	-5642.9	-4.2086
0.0046784	-5640.0	-4.7240
0.0055047	-5642.1	-5.2797
0.0064280	-5636.7	-5.8643
0.0074546	-5635.6	-6.4918
0.0085909	-5629.9	-7.1527
0.0098431	-5636.4	-7.8469
0.011218	-5638.1	-8.5780
0.012722	-5636.0	-9.3457
0.014361	-5635.7	-10.156
0.016143	-5637.4	-11.007
0.018075	-5628.9	-11.884
0.020162	-5637.6	-12.812
0.022413	-5634.4	-13.782
0.024834	-5639.6	-14.781
0.027432	-5638.5	-15.830
0.030215	-5639.1	-16.914
0.033190	-5632.8	-18.042
0.036364	-5634.0	-19.214
0.039745	-5627.5	-20.431
0.043339	-5623.6	-21.671
0.047156	-5633.3	-22.968
0.051201	-5625.7	-24.298
0.055484	-5626.4	-25.682
0.060011	-5632.9	-27.116
0.064790	-5628.1	-28.578
0.069830	-5633.4	-30.097
0.075138	-5621.2	-31.650
0.080722	-5627.0	-33.242
0.086591	-5625.8	-34.911
0.092751	-5626.5	-36.586
0.099213	-5606.3	-38.333
0.10598	-5622.3	-40.104
0.11307	-5616.6	-41.938
0.12048	-5622.6	-43.804
0.12823	-5623.5	-45.745
0.13631	-5622.1	-47.719
0.14475	-5621.4	-49.748
0.15355	-5609.2	-51.788
0.16271	-5620.5	-53.927
0.17226	-5617.1	-56.071
0.18218	-5612.6	-58.288
0.19250	-5609.8	-60.503
0.20322	-5611.5	-62.820
0.21436	-5617.7	-65.204
0.22591	-5611.7	-67.604
0.23789	-5608.2	-70.021
0.25031	-5615.1	-72.569
0.26318	-5604.9	-75.083
0.27650	-5604.6	-77.633
0.29029	-5605.4	-80.370
0.30455	-5602.4	-83.032
0.31930	-5604.1	-85.787
0.33454	-5592.4	-88.587
0.35028	-5598.7	-91.400
0.36653	-5611.6	-94.451
0.38330	-5597.8	-97.226
0.40060	-5600.6	-100.39
0.41844	-5599.3	-103.34
0.43683	-5601.3	-106.59
0.45578	-5599.1	-109.58
0.47530	-5601.2	-112.81
0.49539	-5596.8	-116.12
0.51608	-5598.8	-119.45
0.53735	-5597.8	-122.92
0.55924	-5590.0	-126.28
0.58174	-5596.1	-129.77
0.60487	-5590.3	-133.35
0.62863	-5591.8	-136.95
0.65304	-5589.0	-140.57
0.67811	-5592.6	-144.31
0.70384	-5587.7	-148.07
0.73025	-5580.8	-151.88
0.75734	-5574.9	-155.72
0.78513	-5580.4	-159.64
0.81363	-5575.8	-163.66
0.84284	-5568.2	-167.73
0.87278	-5566.3	-171.90
0.90345	-5564.9	-175.96
0.93488	-5528.2	-179.95
0.96705	-5530.4	-184.15
1.0000	2.9432e+20	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5624.75126272753
