PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5579.2	-0.033416
2.1544e-07	-5576.4	-0.029154
2.1715e-06	-5582.3	-0.048228
8.3895e-06	-5581.0	-0.092952
2.1888e-05	-5580.8	-0.14861
4.6050e-05	-5580.1	-0.23806
8.4561e-05	-5580.0	-0.34179
0.00014136	-5583.1	-0.46740
0.00022061	-5581.5	-0.61853
0.00032669	-5582.2	-0.79734
0.00046416	-5577.2	-0.99587
0.00063774	-5578.7	-1.2311
0.00085232	-5579.1	-1.4900
0.0011130	-5578.8	-1.7773
0.0014248	-5578.9	-2.0946
0.0017932	-5581.6	-2.4449
0.0022237	-5576.6	-2.8239
0.0027216	-5577.9	-3.2408
0.0032929	-5582.4	-3.6814
0.0039432	-5580.4	-4.1585
0.0046784	-5582.0	-4.6710
0.0055047	-5578.6	-5.2155
0.0064280	-5581.0	-5.7959
0.0074546	-5579.0	-6.4101
0.0085909	-5580.1	-7.0643
0.0098431	-5573.8	-7.7473
0.011218	-5578.2	-8.4721
0.012722	-5574.9	-9.2334
0.014361	-5578.9	-10.030
0.016143	-5577.0	-10.864
0.018075	-5579.7	-11.736
0.020162	-5579.7	-12.655
0.022413	-5578.7	-13.604
0.024834	-5573.2	-14.596
0.027432	-5578.6	-15.626
0.030215	-5574.7	-16.699
0.033190	-5576.0	-17.816
0.036364	-5577.7	-18.963
0.039745	-5575.9	-20.164
0.043339	-5574.6	-21.400
0.047156	-5575.1	-22.680
0.051201	-5574.7	-24.003
0.055484	-5571.8	-25.366
0.060011	-5576.7	-26.776
0.064790	-5575.8	-28.230
0.069830	-5576.3	-29.725
0.075138	-5571.8	-31.273
0.080722	-5576.2	-32.861
0.086591	-5573.9	-34.487
0.092751	-5569.6	-36.173
0.099213	-5572.7	-37.890
0.10598	-5573.9	-39.656
0.11307	-5573.2	-41.474
0.12048	-5571.9	-43.338
0.12823	-5574.3	-45.241
0.13631	-5573.4	-47.192
0.14475	-5575.7	-49.205
0.15355	-5571.9	-51.242
0.16271	-5573.3	-53.348
0.17226	-5572.6	-55.491
0.18218	-5572.1	-57.684
0.19250	-5565.0	-59.908
0.20322	-5570.0	-62.217
0.21436	-5569.9	-64.565
0.22591	-5570.5	-66.932
0.23789	-5568.8	-69.385
0.25031	-5571.1	-71.882
0.26318	-5568.6	-74.414
0.27650	-5569.3	-76.999
0.29029	-5569.0	-79.642
0.30455	-5568.4	-82.333
0.31930	-5563.4	-85.045
0.33454	-5566.2	-87.879
0.35028	-5566.4	-90.695
0.36653	-5567.8	-93.635
0.38330	-5566.5	-96.572
0.40060	-5566.1	-99.539
0.41844	-5563.3	-102.63
0.43683	-5567.2	-105.72
0.45578	-5563.6	-108.91
0.47530	-5566.6	-112.10
0.49539	-5565.9	-115.37
0.51608	-5564.1	-118.68
0.53735	-5558.4	-121.98
0.55924	-5558.0	-125.47
0.58174	-5558.3	-128.93
0.60487	-5557.4	-132.49
0.62863	-5560.6	-136.01
0.65304	-5557.2	-139.73
0.67811	-5555.0	-143.38
0.70384	-5558.5	-147.17
0.73025	-5552.1	-150.99
0.75734	-5548.5	-154.84
0.78513	-5553.3	-158.77
0.81363	-5532.2	-162.68
0.84284	-5547.7	-166.72
0.87278	-5538.7	-170.75
0.90345	-5520.7	-174.90
0.93488	-5487.7	-178.83
0.96705	-5224.8	-174.33
1.0000	48569	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5571.868682401207
