PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5580.8	-0.018202
2.1544e-07	-5581.2	-0.040161
2.1715e-06	-5580.3	-0.063940
8.3895e-06	-5581.0	-0.10217
2.1888e-05	-5577.5	-0.16002
4.6050e-05	-5573.9	-0.23862
8.4561e-05	-5576.8	-0.34163
0.00014136	-5574.9	-0.46603
0.00022061	-5575.1	-0.61863
0.00032669	-5584.7	-0.79811
0.00046416	-5580.0	-1.0020
0.00063774	-5583.0	-1.2292
0.00085232	-5579.1	-1.4896
0.0011130	-5576.8	-1.7782
0.0014248	-5582.1	-2.0947
0.0017932	-5579.4	-2.4461
0.0022237	-5579.2	-2.8225
0.0027216	-5575.1	-3.2362
0.0032929	-5578.3	-3.6802
0.0039432	-5578.4	-4.1614
0.0046784	-5585.7	-4.6735
0.0055047	-5573.3	-5.2158
0.0064280	-5580.0	-5.7925
0.0074546	-5576.6	-6.4108
0.0085909	-5579.8	-7.0626
0.0098431	-5579.9	-7.7518
0.011218	-5573.8	-8.4702
0.012722	-5576.5	-9.2325
0.014361	-5576.7	-10.032
0.016143	-5578.1	-10.864
0.018075	-5573.0	-11.746
0.020162	-5578.4	-12.653
0.022413	-5579.1	-13.609
0.024834	-5581.6	-14.601
0.027432	-5575.1	-15.631
0.030215	-5577.2	-16.704
0.033190	-5574.2	-17.819
0.036364	-5574.4	-18.968
0.039745	-5579.0	-20.164
0.043339	-5574.0	-21.406
0.047156	-5577.0	-22.684
0.051201	-5575.5	-24.007
0.055484	-5575.5	-25.375
0.060011	-5575.0	-26.784
0.064790	-5572.4	-28.231
0.069830	-5571.2	-29.732
0.075138	-5573.5	-31.269
0.080722	-5571.9	-32.858
0.086591	-5571.7	-34.487
0.092751	-5570.7	-36.172
0.099213	-5572.2	-37.878
0.10598	-5572.8	-39.658
0.11307	-5571.0	-41.473
0.12048	-5570.8	-43.330
0.12823	-5572.1	-45.237
0.13631	-5572.5	-47.188
0.14475	-5571.1	-49.194
0.15355	-5567.8	-51.237
0.16271	-5570.4	-53.340
0.17226	-5571.0	-55.476
0.18218	-5571.9	-57.673
0.19250	-5570.6	-59.917
0.20322	-5568.7	-62.201
0.21436	-5570.5	-64.550
0.22591	-5568.5	-66.939
0.23789	-5566.2	-69.373
0.25031	-5566.5	-71.859
0.26318	-5568.4	-74.405
0.27650	-5569.7	-76.980
0.29029	-5569.8	-79.648
0.30455	-5568.7	-82.342
0.31930	-5564.4	-85.058
0.33454	-5564.8	-87.844
0.35028	-5563.9	-90.686
0.36653	-5566.8	-93.608
0.38330	-5562.3	-96.531
0.40060	-5567.6	-99.557
0.41844	-5565.2	-102.60
0.43683	-5564.0	-105.71
0.45578	-5564.7	-108.88
0.47530	-5562.0	-112.07
0.49539	-5563.4	-115.34
0.51608	-5561.5	-118.64
0.53735	-5562.6	-122.03
0.55924	-5557.8	-125.48
0.58174	-5562.1	-128.94
0.60487	-5560.2	-132.48
0.62863	-5556.4	-136.05
0.65304	-5559.6	-139.70
0.67811	-5554.2	-143.38
0.70384	-5550.5	-147.13
0.73025	-5552.6	-150.99
0.75734	-5550.4	-154.82
0.78513	-5555.0	-158.75
0.81363	-5532.0	-162.67
0.84284	-5535.8	-166.75
0.87278	-5536.6	-170.82
0.90345	-5511.4	-174.67
0.93488	-5491.2	-178.77
0.96705	-5480.3	-183.07
1.0000	2.2461e+108	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5580.140560003174
