PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5814.1	-0.0046757
2.1544e-07	-5787.4	-0.017308
2.1715e-06	-5812.0	-0.045612
8.3895e-06	-5802.6	-0.094614
2.1888e-05	-5795.0	-0.15355
4.6050e-05	-5801.4	-0.23855
8.4561e-05	-5801.4	-0.34967
0.00014136	-5787.6	-0.48615
0.00022061	-5801.3	-0.64389
0.00032669	-5805.3	-0.83062
0.00046416	-5809.9	-1.0452
0.00063774	-5788.9	-1.2913
0.00085232	-5804.4	-1.5590
0.0011130	-5806.5	-1.8642
0.0014248	-5794.4	-2.1989
0.0017932	-5789.2	-2.5638
0.0022237	-5796.3	-2.9667
0.0027216	-5804.9	-3.3946
0.0032929	-5800.0	-3.8652
0.0039432	-5793.7	-4.3718
0.0046784	-5810.2	-4.9042
0.0055047	-5811.8	-5.4789
0.0064280	-5789.0	-6.0775
0.0074546	-5794.3	-6.7215
0.0085909	-5802.1	-7.4034
0.0098431	-5784.0	-8.1246
0.011218	-5782.8	-8.8802
0.012722	-5786.9	-9.6722
0.014361	-5794.9	-10.517
0.016143	-5791.0	-11.365
0.018075	-5803.8	-12.319
0.020162	-5769.8	-13.245
0.022413	-5787.5	-14.224
0.024834	-5791.4	-15.275
0.027432	-5783.7	-16.304
0.030215	-5778.2	-17.447
0.033190	-5776.8	-18.593
0.036364	-5771.5	-19.800
0.039745	-5772.2	-21.075
0.043339	-5782.3	-22.320
0.047156	-5779.0	-23.649
0.051201	-5776.0	-25.064
0.055484	-5771.8	-26.435
0.060011	-5770.7	-27.881
0.064790	-5773.8	-29.405
0.069830	-5768.0	-30.928
0.075138	-5769.2	-32.523
0.080722	-5763.7	-34.132
0.086591	-5755.6	-35.833
0.092751	-5767.0	-37.585
0.099213	-5764.7	-39.336
0.10598	-5762.7	-41.137
0.11307	-5742.7	-43.024
0.12048	-5756.8	-44.937
0.12823	-5751.3	-46.896
0.13631	-5744.3	-48.903
0.14475	-5744.3	-50.980
0.15355	-5740.8	-53.090
0.16271	-5746.8	-55.231
0.17226	-5727.8	-57.396
0.18218	-5729.1	-59.662
0.19250	-5719.2	-61.953
0.20322	-5716.8	-64.300
0.21436	-5739.8	-66.770
0.22591	-5716.0	-69.144
0.23789	-5706.8	-71.603
0.25031	-5685.9	-74.135
0.26318	-5694.0	-76.571
0.27650	-5693.0	-79.251
0.29029	-5676.9	-81.892
0.30455	-5670.0	-84.467
0.31930	-5682.7	-87.400
0.33454	-5661.5	-89.959
0.35028	-5677.0	-92.985
0.36653	-5646.3	-95.557
0.38330	-5639.6	-98.559
0.40060	-5650.8	-101.48
0.41844	-5637.4	-104.44
0.43683	-5630.1	-107.28
0.45578	-5629.4	-110.50
0.47530	-5625.1	-113.59
0.49539	-5625.7	-116.73
0.51608	-5627.8	-120.17
0.53735	-5622.9	-123.51
0.55924	-5620.9	-127.00
0.58174	-5626.9	-130.58
0.60487	-5622.2	-134.04
0.62863	-5620.7	-137.85
0.65304	-5613.2	-141.33
0.67811	-5616.4	-145.02
0.70384	-5613.3	-148.85
0.73025	-5611.4	-152.66
0.75734	-5611.4	-156.57
0.78513	-5604.3	-160.48
0.81363	-5603.7	-164.49
0.84284	-5598.9	-168.51
0.87278	-5595.4	-172.56
0.90345	-5587.0	-176.74
0.93488	-5548.0	-180.64
0.96705	-5461.2	-184.12
1.0000	1.4625e+95	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5695.472250955193
