PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5697.5	-0.0045120
2.1544e-07	-5708.4	-0.021131
2.1715e-06	-5702.0	-0.048052
8.3895e-06	-5685.3	-0.087244
2.1888e-05	-5695.6	-0.15090
4.6050e-05	-5684.0	-0.23692
8.4561e-05	-5702.5	-0.34288
0.00014136	-5683.0	-0.47272
0.00022061	-5698.3	-0.63336
0.00032669	-5697.9	-0.81114
0.00046416	-5706.2	-1.0185
0.00063774	-5704.9	-1.2591
0.00085232	-5709.2	-1.5272
0.0011130	-5699.5	-1.8232
0.0014248	-5711.7	-2.1501
0.0017932	-5701.9	-2.5068
0.0022237	-5689.7	-2.9009
0.0027216	-5699.2	-3.3258
0.0032929	-5693.1	-3.7782
0.0039432	-5704.0	-4.2682
0.0046784	-5704.3	-4.7939
0.0055047	-5699.3	-5.3487
0.0064280	-5704.6	-5.9461
0.0074546	-5699.4	-6.5782
0.0085909	-5697.0	-7.2446
0.0098431	-5692.1	-7.9514
0.011218	-5694.5	-8.6946
0.012722	-5700.1	-9.4671
0.014361	-5695.7	-10.288
0.016143	-5694.2	-11.142
0.018075	-5697.7	-12.041
0.020162	-5686.7	-12.968
0.022413	-5691.9	-13.951
0.024834	-5688.2	-14.962
0.027432	-5690.8	-16.027
0.030215	-5677.3	-17.135
0.033190	-5695.7	-18.253
0.036364	-5692.4	-19.434
0.039745	-5683.4	-20.650
0.043339	-5686.0	-21.924
0.047156	-5680.4	-23.226
0.051201	-5685.9	-24.577
0.055484	-5683.5	-25.982
0.060011	-5682.6	-27.407
0.064790	-5677.9	-28.888
0.069830	-5682.2	-30.409
0.075138	-5678.2	-31.978
0.080722	-5680.8	-33.599
0.086591	-5677.3	-35.259
0.092751	-5675.2	-36.973
0.099213	-5673.0	-38.722
0.10598	-5680.4	-40.522
0.11307	-5673.8	-42.344
0.12048	-5666.5	-44.258
0.12823	-5674.9	-46.199
0.13631	-5655.5	-48.170
0.14475	-5659.3	-50.188
0.15355	-5667.5	-52.292
0.16271	-5676.0	-54.429
0.17226	-5657.6	-56.577
0.18218	-5661.6	-58.816
0.19250	-5658.4	-61.075
0.20322	-5661.3	-63.427
0.21436	-5659.5	-65.794
0.22591	-5645.3	-68.163
0.23789	-5659.2	-70.660
0.25031	-5651.2	-73.188
0.26318	-5654.8	-75.772
0.27650	-5647.9	-78.374
0.29029	-5646.3	-81.017
0.30455	-5647.2	-83.748
0.31930	-5645.3	-86.521
0.33454	-5638.0	-89.290
0.35028	-5632.8	-92.175
0.36653	-5633.9	-95.109
0.38330	-5639.9	-98.058
0.40060	-5634.2	-101.04
0.41844	-5634.1	-104.18
0.43683	-5640.3	-107.29
0.45578	-5631.7	-110.33
0.47530	-5638.0	-113.69
0.49539	-5631.7	-116.94
0.51608	-5628.6	-120.20
0.53735	-5634.3	-123.74
0.55924	-5622.4	-127.02
0.58174	-5621.5	-130.58
0.60487	-5626.5	-134.21
0.62863	-5625.1	-137.74
0.65304	-5619.7	-141.34
0.67811	-5616.5	-145.14
0.70384	-5620.9	-148.92
0.73025	-5613.0	-152.72
0.75734	-5614.6	-156.55
0.78513	-5595.9	-160.48
0.81363	-5607.1	-164.50
0.84284	-5592.0	-168.64
0.87278	-5606.2	-172.82
0.90345	-5595.6	-176.83
0.93488	-5549.8	-180.64
0.96705	-5543.6	-185.18
1.0000	9.9376e+15	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5666.07975017127
