PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5701.5	-0.0053615
2.1544e-07	-5693.1	-0.014792
2.1715e-06	-5702.9	-0.047515
8.3895e-06	-5693.2	-0.090935
2.1888e-05	-5699.8	-0.15046
4.6050e-05	-5705.2	-0.23958
8.4561e-05	-5698.6	-0.34547
0.00014136	-5693.2	-0.47185
0.00022061	-5706.2	-0.63022
0.00032669	-5694.1	-0.81043
0.00046416	-5699.3	-1.0195
0.00063774	-5695.8	-1.2600
0.00085232	-5700.3	-1.5240
0.0011130	-5694.5	-1.8226
0.0014248	-5699.2	-2.1470
0.0017932	-5703.1	-2.5072
0.0022237	-5703.7	-2.8939
0.0027216	-5700.2	-3.3134
0.0032929	-5695.5	-3.7702
0.0039432	-5695.9	-4.2617
0.0046784	-5700.5	-4.7871
0.0055047	-5697.0	-5.3445
0.0064280	-5691.0	-5.9388
0.0074546	-5685.8	-6.5715
0.0085909	-5689.7	-7.2363
0.0098431	-5692.0	-7.9413
0.011218	-5691.7	-8.6862
0.012722	-5686.9	-9.4609
0.014361	-5689.4	-10.284
0.016143	-5684.3	-11.129
0.018075	-5694.6	-12.034
0.020162	-5682.6	-12.968
0.022413	-5685.8	-13.939
0.024834	-5689.4	-14.949
0.027432	-5685.8	-16.011
0.030215	-5675.9	-17.109
0.033190	-5673.4	-18.244
0.036364	-5682.1	-19.425
0.039745	-5685.9	-20.647
0.043339	-5685.9	-21.909
0.047156	-5679.7	-23.216
0.051201	-5679.6	-24.571
0.055484	-5687.3	-25.966
0.060011	-5680.2	-27.403
0.064790	-5676.7	-28.887
0.069830	-5666.5	-30.403
0.075138	-5671.2	-31.972
0.080722	-5664.7	-33.591
0.086591	-5675.3	-35.261
0.092751	-5663.7	-36.951
0.099213	-5661.8	-38.698
0.10598	-5657.7	-40.480
0.11307	-5668.1	-42.344
0.12048	-5659.7	-44.223
0.12823	-5655.6	-46.166
0.13631	-5652.7	-48.109
0.14475	-5650.6	-50.185
0.15355	-5658.0	-52.256
0.16271	-5647.4	-54.355
0.17226	-5650.5	-56.529
0.18218	-5645.5	-58.778
0.19250	-5649.7	-61.036
0.20322	-5630.2	-63.306
0.21436	-5642.8	-65.654
0.22591	-5628.2	-68.039
0.23789	-5640.2	-70.586
0.25031	-5630.1	-73.012
0.26318	-5643.2	-75.661
0.27650	-5624.5	-78.146
0.29029	-5623.7	-80.869
0.30455	-5624.4	-83.519
0.31930	-5609.5	-86.022
0.33454	-5622.9	-89.122
0.35028	-5607.6	-91.771
0.36653	-5608.4	-94.463
0.38330	-5611.9	-97.580
0.40060	-5608.6	-100.56
0.41844	-5602.3	-103.47
0.43683	-5602.6	-106.65
0.45578	-5600.5	-109.71
0.47530	-5601.1	-112.96
0.49539	-5600.1	-116.31
0.51608	-5603.0	-119.59
0.53735	-5601.7	-122.96
0.55924	-5602.4	-126.58
0.58174	-5599.9	-129.97
0.60487	-5600.3	-133.43
0.62863	-5586.4	-136.99
0.65304	-5592.2	-140.80
0.67811	-5589.1	-144.44
0.70384	-5587.2	-148.21
0.73025	-5588.3	-152.00
0.75734	-5586.4	-155.90
0.78513	-5584.2	-159.82
0.81363	-5586.7	-163.78
0.84284	-5547.4	-167.79
0.87278	-5568.1	-171.94
0.90345	-5574.1	-176.12
0.93488	-5549.1	-180.15
0.96705	-5531.4	-184.42
1.0000	1.6729e+44	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5645.6381599186725
