PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5639.0	-0.0039408
2.1544e-07	-5650.1	-0.017478
2.1715e-06	-5644.4	-0.044735
8.3895e-06	-5633.6	-0.085076
2.1888e-05	-5637.8	-0.14852
4.6050e-05	-5637.0	-0.22893
8.4561e-05	-5646.7	-0.33633
0.00014136	-5650.0	-0.46186
0.00022061	-5640.7	-0.61897
0.00032669	-5637.3	-0.79673
0.00046416	-5637.7	-1.0060
0.00063774	-5636.8	-1.2373
0.00085232	-5648.9	-1.4995
0.0011130	-5643.1	-1.7944
0.0014248	-5639.5	-2.1182
0.0017932	-5644.4	-2.4709
0.0022237	-5639.3	-2.8539
0.0027216	-5638.0	-3.2733
0.0032929	-5645.2	-3.7194
0.0039432	-5637.1	-4.2058
0.0046784	-5630.4	-4.7222
0.0055047	-5643.1	-5.2754
0.0064280	-5636.6	-5.8607
0.0074546	-5644.8	-6.4859
0.0085909	-5635.3	-7.1427
0.0098431	-5637.4	-7.8411
0.011218	-5640.5	-8.5767
0.012722	-5637.9	-9.3460
0.014361	-5642.8	-10.155
0.016143	-5624.4	-10.999
0.018075	-5636.8	-11.893
0.020162	-5640.1	-12.810
0.022413	-5635.4	-13.776
0.024834	-5637.2	-14.783
0.027432	-5632.4	-15.827
0.030215	-5632.7	-16.907
0.033190	-5624.8	-18.047
0.036364	-5631.0	-19.212
0.039745	-5627.7	-20.415
0.043339	-5622.6	-21.672
0.047156	-5627.5	-22.965
0.051201	-5625.7	-24.309
0.055484	-5636.9	-25.693
0.060011	-5631.6	-27.120
0.064790	-5630.0	-28.588
0.069830	-5634.6	-30.102
0.075138	-5625.7	-31.656
0.080722	-5635.0	-33.264
0.086591	-5635.4	-34.909
0.092751	-5622.0	-36.611
0.099213	-5623.4	-38.341
0.10598	-5625.7	-40.141
0.11307	-5624.3	-41.958
0.12048	-5623.9	-43.835
0.12823	-5623.5	-45.770
0.13631	-5619.3	-47.723
0.14475	-5627.0	-49.761
0.15355	-5619.1	-51.823
0.16271	-5602.7	-53.912
0.17226	-5616.8	-56.074
0.18218	-5617.6	-58.315
0.19250	-5610.2	-60.556
0.20322	-5616.3	-62.884
0.21436	-5616.3	-65.245
0.22591	-5608.3	-67.607
0.23789	-5617.0	-70.096
0.25031	-5600.5	-72.534
0.26318	-5615.6	-75.154
0.27650	-5603.6	-77.738
0.29029	-5599.1	-80.371
0.30455	-5599.5	-83.090
0.31930	-5595.4	-85.749
0.33454	-5594.0	-88.579
0.35028	-5606.0	-91.488
0.36653	-5599.4	-94.311
0.38330	-5605.5	-97.399
0.40060	-5591.7	-100.15
0.41844	-5598.9	-103.39
0.43683	-5589.3	-106.36
0.45578	-5580.4	-109.63
0.47530	-5585.8	-112.73
0.49539	-5586.6	-116.00
0.51608	-5589.8	-119.30
0.53735	-5585.7	-122.66
0.55924	-5588.2	-126.10
0.58174	-5589.5	-129.60
0.60487	-5587.4	-133.10
0.62863	-5582.0	-136.69
0.65304	-5578.3	-140.36
0.67811	-5580.0	-144.10
0.70384	-5572.7	-147.85
0.73025	-5583.1	-151.71
0.75734	-5568.1	-155.58
0.78513	-5557.6	-159.41
0.81363	-5572.1	-163.47
0.84284	-5570.2	-167.52
0.87278	-5566.2	-171.55
0.90345	-5556.8	-175.67
0.93488	-5508.9	-179.78
0.96705	-5444.4	-183.79
1.0000	4.9374e+80	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5620.847097020522
