# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri May 10 23:59:35 AEST 2019 [seed=1557496774225]
# -overwrite GSS_ucld_random_utlra_clock_sim_1.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-12464.796583710753	-1046.8760622512018	-11417.920521459551	4.8740226877563675	-1.9032520129987076	28.733444358000607	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.26612630448726676	1.4308174890399348	-0.034243609547874386	-11417.920521459551	-947.1292170479767	-88.84673933053172
5000	-6587.530621382711	-1038.356036258377	-5549.174585124334	3.767984142513455	-0.7972134677557952	25.426022952721897	1.1769568939782402	0.05952484317771667	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.24027880608987903	0.0013217161322635197	1.8736055993640495	3.934092286169528E-5	5.272900348461558	-0.02113055137930794	-5549.174585124334	-947.1292170479767	-85.87392029397927
10000	-6609.978760414018	-1064.025650921109	-5545.95310949291	6.049182207047058	-3.078411532289398	34.652330972545585	1.679595897719297	0.031034763365741957	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10309174132571655	2.301951449436413E-4	0.9087929874104475	5.597660171444007E-6	4.640065642364417	-0.043316179424714316	-5545.95310949291	-947.1292170479767	-115.79011514122588
15000	-6559.395487583513	-1014.0798688643412	-5545.315618719173	3.7701962128604647	-0.7994255381028048	22.94638304947871	0.9268468252406523	0.11906136927538791	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04845392947489256	7.74814030853264E-5	0.8810179929368186	1.5054912202295709E-6	5.656262124085102	-0.009249217222958036	-5545.315618719173	-947.1292170479767	-66.30097584956096
20000	-6565.221008725662	-1019.7655716706879	-5545.455437054974	6.147218599499419	-3.1764479247417587	28.304962971899673	1.0035661087280627	0.09246627005966457	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07162388251328976	7.317139004492986E-5	0.7791061562168309	2.4556082017836667E-6	6.507867908701814	-0.028997881645629033	-5545.455437054974	-947.1292170479767	-72.40516411370929
25000	-6568.96866568661	-1023.2194197389665	-5545.749245947643	3.7389317583897235	-0.7681610836320636	24.688260263001713	0.7473314557600113	-0.0015130576199087198	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13149956835084306	7.018094343960504E-5	0.43672906981466875	5.791364591153573E-6	6.778038310173028	-0.02413714608335901	-5545.749245947643	-947.1292170479767	-76.81275527824036
30000	-6558.016634697371	-1011.8127921006859	-5546.203842596685	4.77756207591456	-1.8067914011568997	24.737034179103873	0.8692360613590248	0.08877622025328558	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3133202211184751	1.4866494917709352E-4	0.39936622067462885	1.037540205369235E-5	7.889241862825588	0.0461209386861168	-5546.203842596685	-947.1292170479767	-64.68982546116567
35000	-6573.44390750253	-1024.8631775725005	-5548.5807299300295	4.368007398984226	-1.3972367242265658	26.21001735555091	0.7283344590838445	-0.10275573239515179	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2778559854930031	1.388794205054926E-4	0.37440439039033774	3.24906524085291E-5	6.785915465986593	-0.021189000885029133	-5548.5807299300295	-947.1292170479767	-77.93645651272338
40000	-6547.895350936661	-1001.0768942638845	-5546.818456672777	4.60801523040258	-1.6372445556449198	22.77408703069961	0.5271262613499328	-0.03913615606055609	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5849407801353123	2.019954313356158E-4	0.5431282955639783	1.801840168109041E-5	8.118794958679763	-0.02561746607301265	-5546.818456672777	-947.1292170479767	-52.836924665426345
45000	-6557.263015724247	-1011.9389200048265	-5545.324095719421	4.30313670502288	-1.3323660302652205	23.82841392709786	0.44936900834468263	-0.21953873256195333	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0412363311504562	2.3324196142025218E-5	0.11959765118990284	1.5386366814169822E-6	9.923982082681194	-0.027073561406617916	-5545.324095719421	-947.1292170479767	-64.98337530263098
50000	-6533.309466089799	-988.0781886001164	-5545.231277489682	3.604340711706802	-0.6335700369491422	20.06919372927123	0.28739840370737024	-0.38024867554790087	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4406162780372149	1.9685304911106914E-5	0.7413554302263948	6.706004407183086E-7	7.59777531767565	-0.0403280885441303	-5545.231277489682	-947.1292170479767	-40.29864420399102
55000	-6563.343823215644	-1017.5952238276759	-5545.748599387968	5.423408115840424	-2.452637441082764	28.996812616111846	0.3225414322236332	-0.4898971637965768	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.22276403275998613	1.4595502692065605E-4	0.9151305328950405	4.925081166155549E-6	9.422767641097641	-0.005048114764113473	-5545.748599387968	-947.1292170479767	-68.79850843290296
60000	-6551.240345389499	-1005.0065965232818	-5546.233748866218	4.118932561844111	-1.148161887086451	24.373286544587142	0.2490940651144998	-0.5005144627070992	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2934556164266412	9.172595312926835E-5	0.7542185071107501	1.0837530924054073E-5	8.360500979696514	-0.020626590161496598	-5546.233748866218	-947.1292170479767	-56.68874527229929
65000	-6533.917882973523	-988.6956710339197	-5545.222211939603	3.7906747046175644	-0.8199040298599045	20.779646998589733	0.35600768209295913	-0.3048694741347253	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13979088663199463	1.6443973193224827E-5	0.13191931922578123	5.386055902162807E-7	6.154337855128609	-0.01880901222259709	-5545.222211939603	-947.1292170479767	-43.52818292239728
