PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5562.6	-0.014537
2.1544e-07	-5559.3	-0.036525
2.1715e-06	-5562.2	-0.062555
8.3895e-06	-5563.0	-0.10273
2.1888e-05	-5562.6	-0.15992
4.6050e-05	-5563.9	-0.24258
8.4561e-05	-5562.4	-0.34201
0.00014136	-5564.7	-0.47019
0.00022061	-5561.1	-0.62020
0.00032669	-5565.1	-0.79878
0.00046416	-5563.4	-1.0019
0.00063774	-5562.7	-1.2273
0.00085232	-5562.6	-1.4852
0.0011130	-5564.0	-1.7769
0.0014248	-5561.5	-2.0930
0.0017932	-5559.5	-2.4385
0.0022237	-5560.8	-2.8186
0.0027216	-5563.7	-3.2289
0.0032929	-5564.2	-3.6743
0.0039432	-5560.2	-4.1498
0.0046784	-5562.7	-4.6547
0.0055047	-5560.1	-5.1979
0.0064280	-5560.3	-5.7819
0.0074546	-5561.8	-6.3933
0.0085909	-5561.2	-7.0353
0.0098431	-5561.3	-7.7218
0.011218	-5554.7	-8.4365
0.012722	-5561.6	-9.1995
0.014361	-5560.8	-9.9949
0.016143	-5563.2	-10.828
0.018075	-5561.5	-11.695
0.020162	-5559.3	-12.606
0.022413	-5560.1	-13.553
0.024834	-5560.1	-14.543
0.027432	-5561.8	-15.570
0.030215	-5560.4	-16.639
0.033190	-5560.7	-17.747
0.036364	-5556.3	-18.895
0.039745	-5559.1	-20.086
0.043339	-5558.9	-21.320
0.047156	-5559.2	-22.595
0.051201	-5560.3	-23.915
0.055484	-5555.4	-25.274
0.060011	-5559.3	-26.682
0.064790	-5560.4	-28.132
0.069830	-5557.4	-29.622
0.075138	-5559.4	-31.163
0.080722	-5559.1	-32.742
0.086591	-5559.6	-34.369
0.092751	-5558.2	-36.034
0.099213	-5558.0	-37.749
0.10598	-5558.3	-39.521
0.11307	-5556.5	-41.329
0.12048	-5557.3	-43.178
0.12823	-5554.0	-45.081
0.13631	-5556.3	-47.033
0.14475	-5558.7	-49.029
0.15355	-5558.4	-51.068
0.16271	-5554.7	-53.163
0.17226	-5558.1	-55.301
0.18218	-5556.5	-57.497
0.19250	-5558.5	-59.737
0.20322	-5556.6	-62.018
0.21436	-5556.8	-64.344
0.22591	-5553.0	-66.722
0.23789	-5556.6	-69.181
0.25031	-5552.2	-71.650
0.26318	-5553.5	-74.176
0.27650	-5553.7	-76.774
0.29029	-5552.0	-79.395
0.30455	-5554.4	-82.096
0.31930	-5550.1	-84.836
0.33454	-5554.6	-87.610
0.35028	-5554.2	-90.465
0.36653	-5551.1	-93.344
0.38330	-5553.4	-96.285
0.40060	-5553.3	-99.281
0.41844	-5551.3	-102.34
0.43683	-5553.7	-105.45
0.45578	-5548.5	-108.61
0.47530	-5548.0	-111.78
0.49539	-5548.6	-115.05
0.51608	-5550.5	-118.37
0.53735	-5540.2	-121.73
0.55924	-5550.8	-125.16
0.58174	-5547.3	-128.63
0.60487	-5546.1	-132.17
0.62863	-5547.7	-135.75
0.65304	-5545.2	-139.38
0.67811	-5540.4	-143.08
0.70384	-5540.6	-146.83
0.73025	-5535.5	-150.61
0.75734	-5539.1	-154.46
0.78513	-5535.0	-158.38
0.81363	-5537.8	-162.37
0.84284	-5516.2	-166.36
0.87278	-5512.0	-170.30
0.90345	-5513.1	-174.54
0.93488	-5489.3	-178.51
0.96705	-5424.1	-182.29
1.0000	1.5112e+20	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5565.178310978319
