PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5634.0	-0.0066282
2.1544e-07	-5627.7	-0.024184
2.1715e-06	-5632.5	-0.044241
8.3895e-06	-5632.8	-0.086754
2.1888e-05	-5628.3	-0.15594
4.6050e-05	-5626.3	-0.23401
8.4561e-05	-5624.4	-0.33953
0.00014136	-5628.9	-0.46785
0.00022061	-5628.4	-0.62409
0.00032669	-5625.3	-0.80202
0.00046416	-5630.1	-1.0098
0.00063774	-5633.5	-1.2444
0.00085232	-5617.7	-1.5035
0.0011130	-5633.7	-1.7986
0.0014248	-5625.2	-2.1173
0.0017932	-5630.1	-2.4698
0.0022237	-5631.5	-2.8531
0.0027216	-5620.8	-3.2683
0.0032929	-5628.8	-3.7177
0.0039432	-5622.4	-4.1983
0.0046784	-5631.1	-4.7143
0.0055047	-5618.7	-5.2698
0.0064280	-5632.0	-5.8513
0.0074546	-5632.4	-6.4718
0.0085909	-5624.3	-7.1312
0.0098431	-5628.5	-7.8230
0.011218	-5610.4	-8.5529
0.012722	-5621.1	-9.3276
0.014361	-5626.6	-10.130
0.016143	-5627.5	-10.975
0.018075	-5619.2	-11.857
0.020162	-5624.6	-12.773
0.022413	-5623.1	-13.741
0.024834	-5621.4	-14.743
0.027432	-5620.6	-15.786
0.030215	-5621.0	-16.864
0.033190	-5622.7	-17.997
0.036364	-5618.1	-19.157
0.039745	-5621.2	-20.363
0.043339	-5619.2	-21.608
0.047156	-5620.8	-22.901
0.051201	-5620.1	-24.242
0.055484	-5609.5	-25.617
0.060011	-5617.4	-27.030
0.064790	-5620.2	-28.513
0.069830	-5614.1	-30.011
0.075138	-5610.0	-31.573
0.080722	-5613.1	-33.169
0.086591	-5619.9	-34.818
0.092751	-5616.5	-36.502
0.099213	-5614.4	-38.241
0.10598	-5614.7	-40.016
0.11307	-5607.8	-41.833
0.12048	-5608.9	-43.706
0.12823	-5604.0	-45.645
0.13631	-5604.0	-47.594
0.14475	-5603.6	-49.615
0.15355	-5606.7	-51.682
0.16271	-5608.6	-53.781
0.17226	-5597.3	-55.931
0.18218	-5600.2	-58.150
0.19250	-5604.6	-60.410
0.20322	-5606.1	-62.729
0.21436	-5594.8	-65.056
0.22591	-5598.9	-67.462
0.23789	-5597.4	-69.914
0.25031	-5600.6	-72.402
0.26318	-5597.3	-74.909
0.27650	-5598.4	-77.549
0.29029	-5592.7	-80.222
0.30455	-5597.2	-82.944
0.31930	-5599.6	-85.682
0.33454	-5596.2	-88.474
0.35028	-5594.4	-91.273
0.36653	-5594.1	-94.237
0.38330	-5595.5	-97.114
0.40060	-5591.0	-100.09
0.41844	-5588.6	-103.14
0.43683	-5582.0	-106.23
0.45578	-5587.7	-109.45
0.47530	-5588.9	-112.67
0.49539	-5590.5	-115.92
0.51608	-5588.4	-119.25
0.53735	-5587.3	-122.61
0.55924	-5588.1	-126.09
0.58174	-5589.6	-129.58
0.60487	-5583.6	-133.11
0.62863	-5578.4	-136.69
0.65304	-5583.6	-140.36
0.67811	-5583.2	-144.07
0.70384	-5582.2	-147.82
0.73025	-5575.8	-151.66
0.75734	-5575.7	-155.51
0.78513	-5564.4	-159.45
0.81363	-5571.5	-163.41
0.84284	-5560.1	-167.44
0.87278	-5556.4	-171.56
0.90345	-5538.0	-175.52
0.93488	-5518.7	-179.71
0.96705	-5509.9	-183.53
1.0000	1.4998e+62	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5613.92297298103
