PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5858.8	-0.0012919
2.1544e-07	-5865.7	-0.011746
2.1715e-06	-5845.4	-0.037292
8.3895e-06	-5849.2	-0.080900
2.1888e-05	-5854.7	-0.14481
4.6050e-05	-5864.0	-0.23085
8.4561e-05	-5857.0	-0.34083
0.00014136	-5835.2	-0.47521
0.00022061	-5854.7	-0.63597
0.00032669	-5856.2	-0.82449
0.00046416	-5836.5	-1.0396
0.00063774	-5855.3	-1.2855
0.00085232	-5851.1	-1.5604
0.0011130	-5835.2	-1.8686
0.0014248	-5861.1	-2.2044
0.0017932	-5846.6	-2.5746
0.0022237	-5846.0	-2.9800
0.0027216	-5858.6	-3.4147
0.0032929	-5864.7	-3.8878
0.0039432	-5855.2	-4.3900
0.0046784	-5857.6	-4.9331
0.0055047	-5836.0	-5.5120
0.0064280	-5845.2	-6.1232
0.0074546	-5865.7	-6.7721
0.0085909	-5842.6	-7.4576
0.0098431	-5851.7	-8.1850
0.011218	-5852.0	-8.9514
0.012722	-5842.7	-9.7591
0.014361	-5850.9	-10.599
0.016143	-5841.7	-11.474
0.018075	-5835.7	-12.396
0.020162	-5842.8	-13.361
0.022413	-5829.3	-14.369
0.024834	-5824.2	-15.402
0.027432	-5844.0	-16.487
0.030215	-5837.2	-17.623
0.033190	-5828.3	-18.791
0.036364	-5827.8	-19.995
0.039745	-5830.5	-21.254
0.043339	-5822.4	-22.554
0.047156	-5825.3	-23.896
0.051201	-5820.9	-25.278
0.055484	-5824.0	-26.699
0.060011	-5821.8	-28.177
0.064790	-5788.8	-29.664
0.069830	-5809.7	-31.235
0.075138	-5809.3	-32.856
0.080722	-5806.3	-34.483
0.086591	-5785.6	-36.154
0.092751	-5801.1	-37.896
0.099213	-5776.4	-39.678
0.10598	-5799.7	-41.514
0.11307	-5789.1	-43.388
0.12048	-5779.1	-45.311
0.12823	-5779.4	-47.282
0.13631	-5776.3	-49.290
0.14475	-5751.3	-51.337
0.15355	-5757.7	-53.436
0.16271	-5749.1	-55.570
0.17226	-5733.0	-57.763
0.18218	-5740.8	-60.009
0.19250	-5742.0	-62.277
0.20322	-5739.1	-64.615
0.21436	-5728.0	-66.933
0.22591	-5706.8	-69.330
0.23789	-5720.5	-71.785
0.25031	-5691.2	-74.245
0.26318	-5693.6	-76.658
0.27650	-5676.5	-79.267
0.29029	-5685.9	-81.948
0.30455	-5654.9	-84.283
0.31930	-5649.9	-87.144
0.33454	-5645.2	-89.726
0.35028	-5638.2	-92.301
0.36653	-5647.3	-95.348
0.38330	-5634.0	-98.181
0.40060	-5633.1	-101.04
0.41844	-5625.2	-104.00
0.43683	-5626.1	-107.17
0.45578	-5627.6	-110.32
0.47530	-5624.2	-113.52
0.49539	-5627.2	-116.78
0.51608	-5626.5	-120.15
0.53735	-5626.2	-123.60
0.55924	-5625.6	-126.99
0.58174	-5623.7	-130.41
0.60487	-5621.1	-134.03
0.62863	-5620.8	-137.62
0.65304	-5625.2	-141.34
0.67811	-5618.4	-145.07
0.70384	-5618.1	-148.87
0.73025	-5617.1	-152.71
0.75734	-5613.7	-156.59
0.78513	-5614.3	-160.55
0.81363	-5616.2	-164.56
0.84284	-5612.5	-168.61
0.87278	-5601.4	-172.72
0.90345	-5588.6	-176.91
0.93488	-5599.2	-181.11
0.96705	-5540.3	-184.91
1.0000	-5528.8	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5704.51841578905
