PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5593.1	-0.0012352
2.1544e-07	-5593.1	-0.011171
2.1715e-06	-5595.0	-0.035553
8.3895e-06	-5595.7	-0.077368
2.1888e-05	-5592.8	-0.13784
4.6050e-05	-5596.4	-0.22014
8.4561e-05	-5595.5	-0.32331
0.00014136	-5593.6	-0.45234
0.00022061	-5596.1	-0.60538
0.00032669	-5596.2	-0.78316
0.00046416	-5595.5	-0.98779
0.00063774	-5593.6	-1.2199
0.00085232	-5594.2	-1.4798
0.0011130	-5593.5	-1.7700
0.0014248	-5597.2	-2.0891
0.0017932	-5594.7	-2.4379
0.0022237	-5593.8	-2.8191
0.0027216	-5593.7	-3.2341
0.0032929	-5596.4	-3.6772
0.0039432	-5591.0	-4.1523
0.0046784	-5584.8	-4.6654
0.0055047	-5586.2	-5.2115
0.0064280	-5585.1	-5.7902
0.0074546	-5588.7	-6.4037
0.0085909	-5593.5	-7.0575
0.0098431	-5591.8	-7.7444
0.011218	-5592.0	-8.4731
0.012722	-5591.0	-9.2328
0.014361	-5575.2	-10.030
0.016143	-5589.0	-10.868
0.018075	-5588.7	-11.741
0.020162	-5585.7	-12.657
0.022413	-5591.3	-13.615
0.024834	-5585.2	-14.607
0.027432	-5583.4	-15.647
0.030215	-5582.3	-16.719
0.033190	-5583.4	-17.836
0.036364	-5588.9	-18.993
0.039745	-5589.9	-20.193
0.043339	-5587.8	-21.435
0.047156	-5586.9	-22.722
0.051201	-5589.4	-24.050
0.055484	-5583.6	-25.418
0.060011	-5587.2	-26.830
0.064790	-5591.8	-28.291
0.069830	-5584.7	-29.792
0.075138	-5591.7	-31.340
0.080722	-5588.5	-32.927
0.086591	-5584.3	-34.567
0.092751	-5576.7	-36.241
0.099213	-5579.5	-37.973
0.10598	-5582.5	-39.751
0.11307	-5578.6	-41.561
0.12048	-5576.9	-43.432
0.12823	-5589.5	-45.354
0.13631	-5586.1	-47.312
0.14475	-5576.0	-49.311
0.15355	-5577.8	-51.369
0.16271	-5580.6	-53.483
0.17226	-5578.3	-55.620
0.18218	-5576.5	-57.824
0.19250	-5577.0	-60.076
0.20322	-5574.9	-62.355
0.21436	-5577.5	-64.726
0.22591	-5577.6	-67.108
0.23789	-5577.7	-69.556
0.25031	-5575.7	-71.976
0.26318	-5574.7	-74.547
0.27650	-5575.2	-77.164
0.29029	-5573.3	-79.756
0.30455	-5574.3	-82.477
0.31930	-5576.1	-85.242
0.33454	-5574.6	-87.979
0.35028	-5571.3	-90.827
0.36653	-5572.4	-93.714
0.38330	-5573.7	-96.698
0.40060	-5573.2	-99.745
0.41844	-5569.0	-102.71
0.43683	-5571.2	-105.80
0.45578	-5571.9	-109.02
0.47530	-5564.5	-112.19
0.49539	-5571.3	-115.45
0.51608	-5564.4	-118.77
0.53735	-5568.9	-122.16
0.55924	-5570.0	-125.60
0.58174	-5566.6	-129.07
0.60487	-5564.2	-132.59
0.62863	-5560.5	-136.19
0.65304	-5562.9	-139.86
0.67811	-5559.2	-143.55
0.70384	-5563.8	-147.31
0.73025	-5558.0	-151.13
0.75734	-5557.0	-154.99
0.78513	-5560.6	-158.90
0.81363	-5544.4	-162.86
0.84284	-5552.4	-166.90
0.87278	-5544.2	-170.96
0.90345	-5551.8	-175.20
0.93488	-5521.1	-179.23
0.96705	-5516.7	-183.34
1.0000	-4871.3	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5588.327226174664
