PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5699.1	-0.0012534
2.1544e-07	-5691.4	-0.011368
2.1715e-06	-5698.2	-0.036096
8.3895e-06	-5691.6	-0.078555
2.1888e-05	-5694.2	-0.14055
4.6050e-05	-5683.4	-0.22372
8.4561e-05	-5695.3	-0.33016
0.00014136	-5699.5	-0.46034
0.00022061	-5694.5	-0.61596
0.00032669	-5702.7	-0.79834
0.00046416	-5700.2	-1.0075
0.00063774	-5693.1	-1.2446
0.00085232	-5689.6	-1.5125
0.0011130	-5699.2	-1.8082
0.0014248	-5691.7	-2.1359
0.0017932	-5689.1	-2.4933
0.0022237	-5695.1	-2.8829
0.0027216	-5697.5	-3.3040
0.0032929	-5699.3	-3.7622
0.0039432	-5692.5	-4.2483
0.0046784	-5689.4	-4.7706
0.0055047	-5691.7	-5.3304
0.0064280	-5694.7	-5.9245
0.0074546	-5691.8	-6.5480
0.0085909	-5695.5	-7.2195
0.0098431	-5693.0	-7.9198
0.011218	-5686.8	-8.6625
0.012722	-5697.6	-9.4407
0.014361	-5697.8	-10.256
0.016143	-5690.5	-11.109
0.018075	-5691.9	-12.004
0.020162	-5686.9	-12.939
0.022413	-5692.4	-13.913
0.024834	-5682.8	-14.935
0.027432	-5686.0	-15.980
0.030215	-5682.5	-17.074
0.033190	-5694.0	-18.220
0.036364	-5682.0	-19.389
0.039745	-5682.4	-20.620
0.043339	-5685.3	-21.881
0.047156	-5691.3	-23.193
0.051201	-5685.1	-24.536
0.055484	-5686.4	-25.937
0.060011	-5680.9	-27.374
0.064790	-5675.7	-28.858
0.069830	-5683.8	-30.389
0.075138	-5677.1	-31.957
0.080722	-5681.5	-33.576
0.086591	-5677.5	-35.245
0.092751	-5670.2	-36.951
0.099213	-5676.8	-38.686
0.10598	-5676.3	-40.511
0.11307	-5669.6	-42.344
0.12048	-5667.8	-44.249
0.12823	-5675.4	-46.194
0.13631	-5670.7	-48.180
0.14475	-5670.9	-50.215
0.15355	-5659.2	-52.285
0.16271	-5674.2	-54.439
0.17226	-5661.3	-56.591
0.18218	-5654.9	-58.817
0.19250	-5663.9	-61.137
0.20322	-5665.7	-63.435
0.21436	-5656.5	-65.789
0.22591	-5660.8	-68.223
0.23789	-5660.6	-70.745
0.25031	-5659.6	-73.231
0.26318	-5655.2	-75.787
0.27650	-5658.1	-78.433
0.29029	-5650.5	-81.049
0.30455	-5653.4	-83.813
0.31930	-5642.1	-86.472
0.33454	-5640.3	-89.290
0.35028	-5645.5	-92.196
0.36653	-5645.9	-95.172
0.38330	-5633.3	-98.011
0.40060	-5638.8	-101.16
0.41844	-5642.4	-104.22
0.43683	-5638.6	-107.26
0.45578	-5633.5	-110.43
0.47530	-5635.8	-113.72
0.49539	-5636.5	-117.07
0.51608	-5633.2	-120.34
0.53735	-5629.4	-123.58
0.55924	-5630.9	-127.09
0.58174	-5626.1	-130.61
0.60487	-5631.3	-134.25
0.62863	-5630.6	-137.94
0.65304	-5627.6	-141.52
0.67811	-5625.1	-145.13
0.70384	-5621.9	-148.97
0.73025	-5619.2	-152.85
0.75734	-5623.7	-156.74
0.78513	-5610.0	-160.65
0.81363	-5611.2	-164.67
0.84284	-5605.8	-168.72
0.87278	-5615.0	-172.90
0.90345	-5595.9	-176.96
0.93488	-5552.3	-180.56
0.96705	-5537.9	-184.76
1.0000	-5561.1	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5666.625082029341
