PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5580.9	-0.0012252
2.1544e-07	-5578.5	-0.011115
2.1715e-06	-5583.1	-0.035284
8.3895e-06	-5579.9	-0.076549
2.1888e-05	-5581.2	-0.13722
4.6050e-05	-5578.8	-0.21845
8.4561e-05	-5578.7	-0.32208
0.00014136	-5580.7	-0.44925
0.00022061	-5578.4	-0.60118
0.00032669	-5579.4	-0.77930
0.00046416	-5582.4	-0.98508
0.00063774	-5580.8	-1.2151
0.00085232	-5580.6	-1.4752
0.0011130	-5580.7	-1.7646
0.0014248	-5577.0	-2.0799
0.0017932	-5579.8	-2.4314
0.0022237	-5581.8	-2.8088
0.0027216	-5579.2	-3.2216
0.0032929	-5579.9	-3.6666
0.0039432	-5580.1	-4.1406
0.0046784	-5579.6	-4.6541
0.0055047	-5579.3	-5.1958
0.0064280	-5577.1	-5.7700
0.0074546	-5574.5	-6.3883
0.0085909	-5579.6	-7.0369
0.0098431	-5580.4	-7.7208
0.011218	-5582.2	-8.4467
0.012722	-5579.2	-9.2072
0.014361	-5578.2	-10.003
0.016143	-5578.7	-10.833
0.018075	-5578.2	-11.710
0.020162	-5578.2	-12.625
0.022413	-5580.2	-13.580
0.024834	-5580.5	-14.569
0.027432	-5579.8	-15.601
0.030215	-5579.4	-16.672
0.033190	-5576.7	-17.788
0.036364	-5577.5	-18.941
0.039745	-5577.2	-20.134
0.043339	-5579.1	-21.375
0.047156	-5576.6	-22.660
0.051201	-5578.4	-23.979
0.055484	-5577.2	-25.346
0.060011	-5577.8	-26.759
0.064790	-5578.3	-28.214
0.069830	-5578.7	-29.711
0.075138	-5578.0	-31.252
0.080722	-5574.1	-32.845
0.086591	-5575.7	-34.473
0.092751	-5576.7	-36.153
0.099213	-5574.9	-37.876
0.10598	-5577.9	-39.645
0.11307	-5577.6	-41.467
0.12048	-5573.8	-43.326
0.12823	-5574.1	-45.235
0.13631	-5573.8	-47.189
0.14475	-5576.4	-49.197
0.15355	-5576.6	-51.245
0.16271	-5576.4	-53.335
0.17226	-5576.9	-55.490
0.18218	-5576.1	-57.688
0.19250	-5574.9	-59.934
0.20322	-5574.7	-62.235
0.21436	-5575.4	-64.581
0.22591	-5574.2	-66.962
0.23789	-5573.2	-69.402
0.25031	-5572.7	-71.895
0.26318	-5574.3	-74.442
0.27650	-5573.5	-77.032
0.29029	-5574.6	-79.678
0.30455	-5572.6	-82.356
0.31930	-5570.4	-85.117
0.33454	-5573.7	-87.915
0.35028	-5570.5	-90.767
0.36653	-5572.9	-93.674
0.38330	-5572.8	-96.611
0.40060	-5567.2	-99.617
0.41844	-5572.5	-102.68
0.43683	-5573.0	-105.80
0.45578	-5571.9	-108.96
0.47530	-5567.4	-112.18
0.49539	-5567.1	-115.45
0.51608	-5562.2	-118.80
0.53735	-5567.0	-122.15
0.55924	-5568.4	-125.59
0.58174	-5570.3	-129.07
0.60487	-5565.0	-132.60
0.62863	-5565.2	-136.20
0.65304	-5565.2	-139.86
0.67811	-5564.9	-143.54
0.70384	-5558.8	-147.32
0.73025	-5563.9	-151.13
0.75734	-5558.2	-154.99
0.78513	-5559.7	-158.92
0.81363	-5556.6	-162.91
0.84284	-5561.5	-166.95
0.87278	-5548.7	-171.03
0.90345	-5510.6	-174.93
0.93488	-5540.7	-179.33
0.96705	-5474.8	-183.20
1.0000	-5443.1	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5583.554388925995
