PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5680.9	-0.0012474
2.1544e-07	-5677.5	-0.011352
2.1715e-06	-5676.7	-0.036020
8.3895e-06	-5682.9	-0.078317
2.1888e-05	-5670.0	-0.14000
4.6050e-05	-5663.6	-0.22283
8.4561e-05	-5663.9	-0.32872
0.00014136	-5684.2	-0.45890
0.00022061	-5679.5	-0.61415
0.00032669	-5673.0	-0.79574
0.00046416	-5677.3	-1.0035
0.00063774	-5680.6	-1.2396
0.00085232	-5671.7	-1.5069
0.0011130	-5673.9	-1.8033
0.0014248	-5678.4	-2.1291
0.0017932	-5678.4	-2.4831
0.0022237	-5669.2	-2.8714
0.0027216	-5673.1	-3.2894
0.0032929	-5671.7	-3.7463
0.0039432	-5679.2	-4.2297
0.0046784	-5680.9	-4.7544
0.0055047	-5668.3	-5.3087
0.0064280	-5672.4	-5.8978
0.0074546	-5676.6	-6.5295
0.0085909	-5679.2	-7.1883
0.0098431	-5676.3	-7.8882
0.011218	-5673.3	-8.6265
0.012722	-5678.4	-9.4033
0.014361	-5671.4	-10.212
0.016143	-5663.3	-11.065
0.018075	-5667.8	-11.957
0.020162	-5664.7	-12.895
0.022413	-5673.1	-13.856
0.024834	-5658.4	-14.870
0.027432	-5660.3	-15.920
0.030215	-5664.4	-17.016
0.033190	-5672.7	-18.150
0.036364	-5669.3	-19.322
0.039745	-5655.4	-20.544
0.043339	-5661.0	-21.803
0.047156	-5664.6	-23.108
0.051201	-5668.7	-24.457
0.055484	-5663.6	-25.858
0.060011	-5661.7	-27.280
0.064790	-5666.5	-28.771
0.069830	-5662.4	-30.286
0.075138	-5655.0	-31.855
0.080722	-5662.4	-33.470
0.086591	-5654.9	-35.123
0.092751	-5652.3	-36.818
0.099213	-5645.9	-38.555
0.10598	-5654.9	-40.370
0.11307	-5651.5	-42.213
0.12048	-5650.2	-44.098
0.12823	-5645.0	-46.021
0.13631	-5653.3	-48.018
0.14475	-5653.8	-50.060
0.15355	-5644.9	-52.115
0.16271	-5647.2	-54.258
0.17226	-5631.3	-56.397
0.18218	-5631.7	-58.631
0.19250	-5636.7	-60.877
0.20322	-5637.7	-63.175
0.21436	-5633.3	-65.550
0.22591	-5617.3	-67.906
0.23789	-5629.1	-70.399
0.25031	-5619.8	-72.786
0.26318	-5627.7	-75.399
0.27650	-5614.2	-78.036
0.29029	-5618.4	-80.663
0.30455	-5613.7	-83.212
0.31930	-5613.8	-85.996
0.33454	-5612.1	-88.793
0.35028	-5611.0	-91.686
0.36653	-5607.7	-94.599
0.38330	-5609.2	-97.420
0.40060	-5609.2	-100.48
0.41844	-5609.1	-103.55
0.43683	-5606.5	-106.72
0.45578	-5608.3	-109.90
0.47530	-5604.8	-113.10
0.49539	-5607.9	-116.32
0.51608	-5604.0	-119.77
0.53735	-5606.0	-122.99
0.55924	-5597.7	-126.53
0.58174	-5603.7	-129.95
0.60487	-5598.6	-133.53
0.62863	-5603.1	-137.10
0.65304	-5601.5	-140.79
0.67811	-5601.2	-144.53
0.70384	-5599.6	-148.32
0.73025	-5597.0	-152.14
0.75734	-5594.9	-155.99
0.78513	-5594.2	-159.98
0.81363	-5591.3	-163.95
0.84284	-5575.2	-167.97
0.87278	-5595.4	-172.17
0.90345	-5578.2	-176.28
0.93488	-5550.3	-180.33
0.96705	-5552.6	-184.51
1.0000	-5497.9	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5641.336746764601
