PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5562.7	-0.0012407
2.1544e-07	-5565.3	-0.011271
2.1715e-06	-5565.4	-0.035837
8.3895e-06	-5566.0	-0.077759
2.1888e-05	-5565.7	-0.13887
4.6050e-05	-5565.5	-0.22016
8.4561e-05	-5564.6	-0.32537
0.00014136	-5565.3	-0.45401
0.00022061	-5567.4	-0.60649
0.00032669	-5566.6	-0.78284
0.00046416	-5564.4	-0.98748
0.00063774	-5562.5	-1.2177
0.00085232	-5563.7	-1.4761
0.0011130	-5566.2	-1.7675
0.0014248	-5563.6	-2.0847
0.0017932	-5564.7	-2.4322
0.0022237	-5563.2	-2.8065
0.0027216	-5566.9	-3.2177
0.0032929	-5565.4	-3.6608
0.0039432	-5565.1	-4.1328
0.0046784	-5563.7	-4.6434
0.0055047	-5565.3	-5.1859
0.0064280	-5564.0	-5.7567
0.0074546	-5565.5	-6.3697
0.0085909	-5564.8	-7.0197
0.0098431	-5564.4	-7.7019
0.011218	-5564.0	-8.4169
0.012722	-5562.5	-9.1790
0.014361	-5564.7	-9.9710
0.016143	-5563.6	-10.806
0.018075	-5564.6	-11.675
0.020162	-5564.2	-12.584
0.022413	-5564.8	-13.535
0.024834	-5564.2	-14.518
0.027432	-5561.2	-15.550
0.030215	-5564.1	-16.617
0.033190	-5561.8	-17.724
0.036364	-5564.5	-18.879
0.039745	-5564.1	-20.072
0.043339	-5564.0	-21.303
0.047156	-5561.1	-22.584
0.051201	-5560.0	-23.897
0.055484	-5563.8	-25.263
0.060011	-5563.6	-26.671
0.064790	-5560.2	-28.120
0.069830	-5562.0	-29.617
0.075138	-5563.4	-31.152
0.080722	-5561.5	-32.733
0.086591	-5560.1	-34.364
0.092751	-5564.5	-36.037
0.099213	-5562.0	-37.753
0.10598	-5561.9	-39.517
0.11307	-5560.3	-41.331
0.12048	-5561.1	-43.186
0.12823	-5562.4	-45.093
0.13631	-5559.6	-47.044
0.14475	-5561.7	-49.045
0.15355	-5562.0	-51.090
0.16271	-5561.5	-53.185
0.17226	-5563.5	-55.329
0.18218	-5563.2	-57.517
0.19250	-5563.3	-59.760
0.20322	-5562.8	-62.038
0.21436	-5560.4	-64.383
0.22591	-5562.8	-66.778
0.23789	-5558.3	-69.207
0.25031	-5559.1	-71.692
0.26318	-5561.5	-74.234
0.27650	-5561.2	-76.820
0.29029	-5553.8	-79.459
0.30455	-5552.7	-82.144
0.31930	-5559.7	-84.884
0.33454	-5559.8	-87.683
0.35028	-5560.8	-90.523
0.36653	-5558.4	-93.422
0.38330	-5558.7	-96.378
0.40060	-5557.7	-99.367
0.41844	-5561.1	-102.43
0.43683	-5559.9	-105.53
0.45578	-5557.7	-108.69
0.47530	-5556.7	-111.91
0.49539	-5552.6	-115.16
0.51608	-5558.7	-118.49
0.53735	-5557.1	-121.87
0.55924	-5557.1	-125.29
0.58174	-5557.5	-128.77
0.60487	-5555.5	-132.30
0.62863	-5556.2	-135.88
0.65304	-5552.3	-139.54
0.67811	-5552.2	-143.22
0.70384	-5552.0	-146.99
0.73025	-5545.1	-150.78
0.75734	-5551.6	-154.67
0.78513	-5544.2	-158.58
0.81363	-5543.9	-162.50
0.84284	-5538.5	-166.53
0.87278	-5539.7	-170.66
0.90345	-5499.6	-174.50
0.93488	-5539.5	-179.00
0.96705	-5492.6	-183.12
1.0000	-5269.6	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5569.647089576865
