PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5564.2	-0.0012603
2.1544e-07	-5564.5	-0.011324
2.1715e-06	-5564.9	-0.035915
8.3895e-06	-5565.7	-0.078804
2.1888e-05	-5567.5	-0.13907
4.6050e-05	-5563.6	-0.22348
8.4561e-05	-5564.3	-0.32707
0.00014136	-5566.7	-0.45798
0.00022061	-5565.9	-0.60818
0.00032669	-5566.0	-0.78480
0.00046416	-5566.0	-0.98910
0.00063774	-5565.8	-1.2208
0.00085232	-5564.6	-1.4769
0.0011130	-5565.2	-1.7675
0.0014248	-5563.5	-2.0781
0.0017932	-5564.2	-2.4263
0.0022237	-5565.2	-2.8037
0.0027216	-5563.1	-3.2135
0.0032929	-5562.5	-3.6553
0.0039432	-5566.0	-4.1282
0.0046784	-5565.3	-4.6363
0.0055047	-5563.1	-5.1776
0.0064280	-5563.5	-5.7555
0.0074546	-5565.6	-6.3661
0.0085909	-5563.3	-7.0115
0.0098431	-5564.2	-7.6947
0.011218	-5564.0	-8.4154
0.012722	-5565.8	-9.1728
0.014361	-5561.4	-9.9653
0.016143	-5564.7	-10.798
0.018075	-5564.9	-11.668
0.020162	-5565.6	-12.579
0.022413	-5563.1	-13.526
0.024834	-5565.1	-14.514
0.027432	-5563.9	-15.547
0.030215	-5564.5	-16.616
0.033190	-5563.3	-17.725
0.036364	-5564.4	-18.877
0.039745	-5564.9	-20.070
0.043339	-5563.7	-21.304
0.047156	-5562.8	-22.579
0.051201	-5563.8	-23.900
0.055484	-5563.9	-25.266
0.060011	-5562.9	-26.669
0.064790	-5565.5	-28.121
0.069830	-5561.5	-29.613
0.075138	-5563.1	-31.149
0.080722	-5563.2	-32.734
0.086591	-5562.9	-34.363
0.092751	-5563.8	-36.035
0.099213	-5563.6	-37.756
0.10598	-5562.2	-39.517
0.11307	-5563.1	-41.329
0.12048	-5562.7	-43.185
0.12823	-5559.7	-45.091
0.13631	-5562.2	-47.043
0.14475	-5562.9	-49.044
0.15355	-5562.9	-51.092
0.16271	-5563.1	-53.181
0.17226	-5559.0	-55.320
0.18218	-5563.2	-57.520
0.19250	-5561.5	-59.756
0.20322	-5561.6	-62.041
0.21436	-5560.0	-64.380
0.22591	-5562.5	-66.774
0.23789	-5557.0	-69.204
0.25031	-5561.5	-71.697
0.26318	-5560.2	-74.235
0.27650	-5556.3	-76.824
0.29029	-5556.4	-79.454
0.30455	-5558.4	-82.142
0.31930	-5557.9	-84.890
0.33454	-5559.4	-87.680
0.35028	-5560.6	-90.530
0.36653	-5558.8	-93.417
0.38330	-5561.9	-96.374
0.40060	-5558.7	-99.370
0.41844	-5555.4	-102.42
0.43683	-5558.8	-105.53
0.45578	-5560.5	-108.68
0.47530	-5559.7	-111.91
0.49539	-5556.1	-115.17
0.51608	-5555.2	-118.48
0.53735	-5554.2	-121.85
0.55924	-5559.6	-125.29
0.58174	-5558.8	-128.77
0.60487	-5553.1	-132.30
0.62863	-5552.2	-135.87
0.65304	-5540.1	-139.50
0.67811	-5552.8	-143.24
0.70384	-5556.2	-147.01
0.73025	-5551.2	-150.79
0.75734	-5544.5	-154.64
0.78513	-5550.2	-158.58
0.81363	-5540.5	-162.54
0.84284	-5545.1	-166.58
0.87278	-5523.5	-170.58
0.90345	-5523.6	-174.76
0.93488	-5484.2	-178.58
0.96705	-5414.7	-182.45
1.0000	-5141.7	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5568.6406830085825
