PathParameter	MaxPathLikelihood	MLContribution
0.0000	-40487	-0.0094082
2.1544e-07	-40191	-0.085403
2.1715e-06	-41198	-0.27170
8.3895e-06	-41102	-0.58790
2.1888e-05	-40895	-1.0561
4.6050e-05	-41164	-1.6801
8.4561e-05	-40251	-2.4694
0.00014136	-41105	-3.4411
0.00022061	-40942	-4.6076
0.00032669	-40098	-5.9670
0.00046416	-39959	-7.4960
0.00063774	-40475	-9.2170
0.00085232	-40018	-11.181
0.0011130	-40445	-13.331
0.0014248	-39452	-15.617
0.0017932	-39070	-18.043
0.0022237	-38104	-20.614
0.0027216	-38646	-23.499
0.0032929	-37291	-26.371
0.0039432	-36118	-28.892
0.0046784	-35070	-31.792
0.0055047	-35295	-34.838
0.0064280	-32214	-36.565
0.0074546	-30445	-38.058
0.0085909	-29373	-40.163
0.0098431	-27356	-40.827
0.011218	-25253	-41.383
0.012722	-24409	-42.763
0.014361	-23436	-44.787
0.016143	-22506	-46.929
0.018075	-21276	-47.473
0.020162	-21061	-50.033
0.022413	-20557	-52.695
0.024834	-20629	-55.634
0.027432	-20110	-58.113
0.030215	-19910	-61.453
0.033190	-19846	-64.972
0.036364	-19617	-68.436
0.039745	-19538	-72.158
0.043339	-19359	-75.982
0.047156	-19367	-80.213
0.051201	-19260	-84.274
0.055484	-19276	-88.754
0.060011	-19246	-93.443
0.064790	-19148	-98.035
0.069830	-19174	-103.07
0.075138	-19123	-108.02
0.080722	-19024	-113.18
0.086591	-19019	-118.55
0.092751	-18988	-124.09
0.099213	-18960	-129.78
0.10598	-18956	-135.62
0.11307	-18933	-141.64
0.12048	-18926	-147.79
0.12823	-18899	-154.10
0.13631	-18913	-160.58
0.14475	-18887	-167.22
0.15355	-18878	-174.08
0.16271	-18842	-181.02
0.17226	-18846	-188.18
0.18218	-18834	-195.44
0.19250	-18831	-202.86
0.20322	-18815	-210.55
0.21436	-18816	-218.36
0.22591	-18798	-226.31
0.23789	-18804	-234.51
0.25031	-18790	-242.78
0.26318	-18790	-251.16
0.27650	-18773	-259.85
0.29029	-18763	-268.68
0.30455	-18768	-277.66
0.31930	-18757	-286.79
0.33454	-18752	-296.15
0.35028	-18760	-305.67
0.36653	-18742	-315.31
0.38330	-18739	-325.16
0.40060	-18725	-335.20
0.41844	-18740	-345.46
0.43683	-18729	-355.80
0.45578	-18732	-366.37
0.47530	-18733	-377.14
0.49539	-18722	-388.06
0.51608	-18721	-399.18
0.53735	-18724	-410.50
0.55924	-18720	-421.96
0.58174	-18712	-433.59
0.60487	-18706	-445.46
0.62863	-18704	-457.51
0.65304	-18703	-469.71
0.67811	-18707	-482.08
0.70384	-18707	-494.68
0.73025	-18700	-507.46
0.75734	-18701	-520.42
0.78513	-18701	-533.61
0.81363	-18701	-546.93
0.84284	-18699	-560.46
0.87278	-18698	-574.21
0.90345	-18695	-588.10
0.93488	-18693	-602.25
0.96705	-18696	-616.52
1.0000	-18692	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19141.049558766335
