PathParameter	MaxPathLikelihood	MLContribution
0.0000	-47061	-0.010958
2.1544e-07	-48193	-0.099461
2.1715e-06	-48034	-0.31653
8.3895e-06	-48332	-0.68739
2.1888e-05	-48017	-1.2311
4.6050e-05	-48489	-1.9600
8.4561e-05	-48092	-2.8817
0.00014136	-47448	-4.0217
0.00022061	-48311	-5.3754
0.00032669	-47441	-6.9494
0.00046416	-47584	-8.7603
0.00063774	-47606	-10.798
0.00085232	-46641	-13.036
0.0011130	-47145	-15.576
0.0014248	-47134	-18.299
0.0017932	-46070	-21.251
0.0022237	-45377	-24.259
0.0027216	-45005	-27.629
0.0032929	-44847	-30.949
0.0039432	-43951	-34.444
0.0046784	-43159	-38.249
0.0055047	-41028	-40.902
0.0064280	-39885	-44.360
0.0074546	-38621	-46.886
0.0085909	-36501	-48.854
0.0098431	-34812	-51.220
0.011218	-32649	-52.043
0.012722	-30845	-54.328
0.014361	-28903	-55.064
0.016143	-28745	-58.399
0.018075	-27525	-60.201
0.020162	-26429	-62.088
0.022413	-26028	-65.741
0.024834	-25490	-69.343
0.027432	-24963	-72.156
0.030215	-24497	-75.498
0.033190	-24413	-79.377
0.036364	-24099	-83.673
0.039745	-23729	-87.918
0.043339	-23689	-92.561
0.047156	-23619	-97.398
0.051201	-23519	-102.54
0.055484	-23481	-107.86
0.060011	-23420	-113.53
0.064790	-23314	-119.17
0.069830	-23287	-125.06
0.075138	-23151	-131.21
0.080722	-23220	-137.62
0.086591	-23160	-144.16
0.092751	-23142	-150.84
0.099213	-23129	-157.80
0.10598	-23062	-164.90
0.11307	-23069	-172.23
0.12048	-23054	-179.77
0.12823	-23031	-187.49
0.13631	-22984	-195.29
0.14475	-22970	-203.44
0.15355	-22950	-211.72
0.16271	-22956	-220.24
0.17226	-22958	-229.02
0.18218	-22946	-237.80
0.19250	-22937	-246.90
0.20322	-22926	-256.22
0.21436	-22918	-265.73
0.22591	-22904	-275.45
0.23789	-22894	-285.33
0.25031	-22892	-295.45
0.26318	-22886	-305.78
0.27650	-22864	-316.29
0.29029	-22858	-327.05
0.30455	-22849	-338.03
0.31930	-22857	-349.16
0.33454	-22855	-360.56
0.35028	-22833	-372.15
0.36653	-22837	-384.00
0.38330	-22839	-395.99
0.40060	-22834	-408.26
0.41844	-22829	-420.71
0.43683	-22824	-433.37
0.45578	-22825	-446.24
0.47530	-22818	-459.36
0.49539	-22820	-472.75
0.51608	-22813	-486.24
0.53735	-22812	-500.01
0.55924	-22811	-514.01
0.58174	-22809	-528.23
0.60487	-22800	-542.68
0.62863	-22805	-557.38
0.65304	-22793	-572.26
0.67811	-22799	-587.41
0.70384	-22796	-602.73
0.73025	-22796	-618.30
0.75734	-22794	-634.11
0.78513	-22795	-650.15
0.81363	-22790	-666.44
0.84284	-22789	-682.94
0.87278	-22785	-699.68
0.90345	-22785	-716.63
0.93488	-22786	-733.85
0.96705	-22783	-751.31
1.0000	-22780	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -23315.61881654247
