PathParameter	MaxPathLikelihood	MLContribution
0.0000	-1.1929e+05	-0.028171
2.1544e-07	-1.1869e+05	-0.25527
2.1715e-06	-1.1635e+05	-0.81219
8.3895e-06	-1.1833e+05	-1.7573
2.1888e-05	-1.1492e+05	-3.1380
4.6050e-05	-1.1825e+05	-4.9783
8.4561e-05	-1.1493e+05	-7.2814
0.00014136	-1.1310e+05	-10.068
0.00022061	-1.1570e+05	-13.402
0.00032669	-1.1461e+05	-17.055
0.00046416	-1.0798e+05	-21.076
0.00063774	-1.0955e+05	-25.525
0.00085232	-1.0192e+05	-30.040
0.0011130	-99096	-33.666
0.0014248	-93800	-38.260
0.0017932	-91469	-42.673
0.0022237	-85893	-46.471
0.0027216	-80958	-49.819
0.0032929	-74566	-52.373
0.0039432	-72451	-56.712
0.0046784	-66696	-59.037
0.0055047	-66180	-64.271
0.0064280	-63216	-67.965
0.0074546	-59547	-70.946
0.0085909	-57913	-76.285
0.0098431	-55877	-80.429
0.011218	-55557	-86.218
0.012722	-54799	-92.620
0.014361	-53550	-98.927
0.016143	-53571	-105.66
0.018075	-53236	-113.22
0.020162	-52887	-121.09
0.022413	-52706	-129.52
0.024834	-52287	-138.14
0.027432	-52206	-147.21
0.030215	-51901	-156.74
0.033190	-51966	-166.93
0.036364	-51894	-177.13
0.039745	-51708	-187.63
0.043339	-51567	-198.77
0.047156	-51453	-209.94
0.051201	-51519	-222.05
0.055484	-51346	-234.21
0.060011	-51340	-246.86
0.064790	-51275	-259.97
0.069830	-51166	-273.40
0.075138	-51143	-287.38
0.080722	-51103	-301.64
0.086591	-51106	-316.30
0.092751	-51084	-331.47
0.099213	-51098	-347.03
0.10598	-51044	-362.96
0.11307	-51025	-379.35
0.12048	-50973	-396.16
0.12823	-50987	-413.46
0.13631	-50968	-431.17
0.14475	-50919	-449.29
0.15355	-50902	-467.84
0.16271	-50924	-487.32
0.17226	-50993	-507.24
0.18218	-50980	-527.20
0.19250	-50976	-547.53
0.20322	-50954	-568.35
0.21436	-50950	-589.68
0.22591	-50945	-611.41
0.23789	-50929	-633.57
0.25031	-50918	-656.25
0.26318	-50910	-679.36
0.27650	-50909	-702.94
0.29029	-50910	-727.00
0.30455	-50894	-751.47
0.31930	-50900	-776.46
0.33454	-50894	-801.90
0.35028	-50875	-827.85
0.36653	-50879	-854.26
0.38330	-50870	-881.10
0.40060	-50859	-908.49
0.41844	-50867	-936.28
0.43683	-50854	-964.67
0.45578	-50848	-993.48
0.47530	-50856	-1022.8
0.49539	-50856	-1052.6
0.51608	-50853	-1082.9
0.53735	-50854	-1113.6
0.55924	-50845	-1144.9
0.58174	-50845	-1176.7
0.60487	-50847	-1209.0
0.62863	-50837	-1241.7
0.65304	-50836	-1275.1
0.67811	-50836	-1308.9
0.70384	-50836	-1343.2
0.73025	-50826	-1377.9
0.75734	-50830	-1413.3
0.78513	-50831	-1449.1
0.81363	-50824	-1485.4
0.84284	-50828	-1522.3
0.87278	-50822	-1559.7
0.90345	-50824	-1597.7
0.93488	-50823	-1636.1
0.96705	-50823	-1675.1
1.0000	-50821	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -51346.421799768985
