PathParameter	MaxPathLikelihood	MLContribution
0.0000	-36940	-0.0084777
2.1544e-07	-37219	-0.077032
2.1715e-06	-36704	-0.24470
8.3895e-06	-37003	-0.53120
2.1888e-05	-36900	-0.95052
4.6050e-05	-37379	-1.5172
8.4561e-05	-36527	-2.2306
0.00014136	-36378	-3.1138
0.00022061	-36766	-4.1596
0.00032669	-36548	-5.3805
0.00046416	-36801	-6.7843
0.00063774	-35961	-8.3441
0.00085232	-36691	-10.098
0.0011130	-35837	-12.026
0.0014248	-36356	-14.153
0.0017932	-35279	-16.433
0.0022237	-35201	-18.865
0.0027216	-34918	-21.423
0.0032929	-35010	-24.159
0.0039432	-34333	-26.978
0.0046784	-33821	-29.855
0.0055047	-33160	-32.805
0.0064280	-32459	-35.714
0.0074546	-31326	-38.426
0.0085909	-31012	-41.429
0.0098431	-29531	-43.394
0.011218	-28419	-46.028
0.012722	-27254	-47.802
0.014361	-25506	-48.821
0.016143	-23959	-50.091
0.018075	-23042	-51.473
0.020162	-21580	-52.114
0.022413	-20988	-53.841
0.024834	-20410	-55.838
0.027432	-19376	-57.402
0.030215	-19150	-59.668
0.033190	-19115	-62.698
0.036364	-18818	-65.931
0.039745	-18534	-69.210
0.043339	-18499	-72.557
0.047156	-18430	-76.446
0.051201	-18293	-80.237
0.055484	-18246	-84.217
0.060011	-18106	-88.408
0.064790	-18089	-92.871
0.069830	-18110	-97.463
0.075138	-17988	-102.08
0.080722	-17942	-106.91
0.086591	-17920	-111.97
0.092751	-17933	-117.07
0.099213	-17864	-122.44
0.10598	-17898	-127.92
0.11307	-17855	-133.58
0.12048	-17820	-139.27
0.12823	-17812	-145.21
0.13631	-17785	-151.28
0.14475	-17767	-157.46
0.15355	-17761	-163.90
0.16271	-17754	-170.45
0.17226	-17754	-177.15
0.18218	-17727	-183.96
0.19250	-17729	-191.03
0.20322	-17705	-198.14
0.21436	-17680	-205.46
0.22591	-17701	-212.97
0.23789	-17677	-220.63
0.25031	-17688	-228.44
0.26318	-17681	-236.39
0.27650	-17679	-244.53
0.29029	-17656	-252.80
0.30455	-17658	-261.25
0.31930	-17636	-269.87
0.33454	-17656	-278.67
0.35028	-17634	-287.58
0.36653	-17639	-296.71
0.38330	-17636	-305.95
0.40060	-17628	-315.38
0.41844	-17626	-325.03
0.43683	-17623	-334.77
0.45578	-17620	-344.72
0.47530	-17618	-354.83
0.49539	-17615	-365.11
0.51608	-17615	-375.55
0.53735	-17614	-386.22
0.55924	-17612	-396.96
0.58174	-17608	-407.99
0.60487	-17602	-419.08
0.62863	-17603	-430.42
0.65304	-17599	-441.90
0.67811	-17595	-453.56
0.70384	-17598	-465.43
0.73025	-17598	-477.40
0.75734	-17593	-489.60
0.78513	-17588	-501.96
0.81363	-17590	-514.54
0.84284	-17591	-527.32
0.87278	-17584	-540.19
0.90345	-17586	-553.27
0.93488	-17567	-566.41
0.96705	-17578	-579.94
1.0000	-17574	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -18080.8512117541
