PathParameter	MaxPathLikelihood	MLContribution
0.0000	-40266	-0.0092715
2.1544e-07	-40163	-0.084120
2.1715e-06	-39906	-0.26796
8.3895e-06	-40256	-0.58121
2.1888e-05	-40679	-1.0413
4.6050e-05	-40351	-1.6552
8.4561e-05	-40384	-2.4399
0.00014136	-40229	-3.4011
0.00022061	-39587	-4.5443
0.00032669	-39659	-5.8754
0.00046416	-40002	-7.3898
0.00063774	-39632	-9.1272
0.00085232	-39898	-11.040
0.0011130	-39027	-13.123
0.0014248	-39050	-15.397
0.0017932	-38807	-17.845
0.0022237	-38051	-20.495
0.0027216	-37715	-23.201
0.0032929	-37528	-26.057
0.0039432	-36911	-29.060
0.0046784	-35768	-31.889
0.0055047	-34742	-34.837
0.0064280	-34910	-38.108
0.0074546	-31851	-40.057
0.0085909	-31465	-42.365
0.0098431	-29675	-44.541
0.011218	-26847	-44.659
0.012722	-26119	-46.079
0.014361	-23134	-45.657
0.016143	-22460	-46.754
0.018075	-21046	-47.277
0.020162	-20520	-49.518
0.022413	-19704	-50.920
0.024834	-19519	-53.187
0.027432	-19252	-55.622
0.030215	-18853	-58.215
0.033190	-18798	-61.535
0.036364	-18458	-64.506
0.039745	-18320	-68.049
0.043339	-18205	-71.471
0.047156	-18090	-75.293
0.051201	-18112	-79.221
0.055484	-18010	-83.328
0.060011	-17986	-87.553
0.064790	-17931	-92.099
0.069830	-17907	-96.474
0.075138	-17846	-101.17
0.080722	-17817	-106.02
0.086591	-17729	-111.05
0.092751	-17758	-116.10
0.099213	-17720	-121.38
0.10598	-17701	-126.83
0.11307	-17685	-132.39
0.12048	-17664	-138.10
0.12823	-17631	-144.00
0.13631	-17632	-150.00
0.14475	-17616	-156.12
0.15355	-17612	-162.50
0.16271	-17574	-168.90
0.17226	-17575	-175.50
0.18218	-17570	-182.37
0.19250	-17543	-189.32
0.20322	-17542	-196.37
0.21436	-17540	-203.59
0.22591	-17527	-211.06
0.23789	-17526	-218.61
0.25031	-17517	-226.28
0.26318	-17497	-234.19
0.27650	-17508	-242.26
0.29029	-17500	-250.43
0.30455	-17487	-258.80
0.31930	-17483	-267.36
0.33454	-17486	-276.02
0.35028	-17473	-284.83
0.36653	-17462	-293.85
0.38330	-17454	-303.05
0.40060	-17464	-312.43
0.41844	-17452	-321.87
0.43683	-17452	-331.52
0.45578	-17442	-341.36
0.47530	-17447	-351.40
0.49539	-17444	-361.56
0.51608	-17441	-371.88
0.53735	-17437	-382.41
0.55924	-17433	-393.07
0.58174	-17421	-403.93
0.60487	-17434	-415.00
0.62863	-17425	-426.16
0.65304	-17424	-437.52
0.67811	-17423	-449.08
0.70384	-17416	-460.76
0.73025	-17416	-472.64
0.75734	-17413	-484.70
0.78513	-17414	-496.98
0.81363	-17416	-509.38
0.84284	-17414	-521.96
0.87278	-17408	-534.74
0.90345	-17408	-547.72
0.93488	-17409	-560.84
0.96705	-17396	-574.08
1.0000	-17403	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -17913.277115020723
