PathParameter	MaxPathLikelihood	MLContribution
0.0000	-64077	-0.014816
2.1544e-07	-64467	-0.13470
2.1715e-06	-64868	-0.42840
8.3895e-06	-64699	-0.92752
2.1888e-05	-65111	-1.6628
4.6050e-05	-64765	-2.6469
8.4561e-05	-64554	-3.8946
0.00014136	-64109	-5.4424
0.00022061	-64375	-7.2653
0.00032669	-64262	-9.3405
0.00046416	-63558	-11.760
0.00063774	-63837	-14.478
0.00085232	-63562	-17.463
0.0011130	-62037	-20.771
0.0014248	-62104	-24.280
0.0017932	-60920	-27.940
0.0022237	-60727	-32.009
0.0027216	-58314	-36.165
0.0032929	-57580	-40.158
0.0039432	-55831	-43.930
0.0046784	-54426	-48.270
0.0055047	-51805	-51.297
0.0064280	-50558	-55.562
0.0074546	-48549	-58.893
0.0085909	-45394	-60.587
0.0098431	-42952	-62.887
0.011218	-41782	-65.895
0.012722	-37901	-66.886
0.014361	-37733	-71.132
0.016143	-36965	-74.402
0.018075	-35789	-77.878
0.020162	-35138	-82.025
0.022413	-34165	-85.430
0.024834	-33328	-89.827
0.027432	-33038	-94.905
0.030215	-32688	-100.15
0.033190	-32841	-106.21
0.036364	-32409	-111.94
0.039745	-32140	-118.24
0.043339	-32208	-124.71
0.047156	-31992	-131.78
0.051201	-31983	-138.75
0.055484	-31853	-145.92
0.060011	-31718	-153.65
0.064790	-31673	-161.44
0.069830	-31578	-169.64
0.075138	-31593	-177.98
0.080722	-31555	-186.56
0.086591	-31480	-195.50
0.092751	-31450	-204.78
0.099213	-31378	-214.13
0.10598	-31386	-223.89
0.11307	-31360	-233.81
0.12048	-31336	-244.05
0.12823	-31301	-254.57
0.13631	-31267	-265.36
0.14475	-31257	-276.40
0.15355	-31242	-287.66
0.16271	-31222	-299.24
0.17226	-31203	-310.98
0.18218	-31216	-323.20
0.19250	-31178	-335.55
0.20322	-31160	-348.20
0.21436	-31172	-361.14
0.22591	-31158	-374.42
0.23789	-31136	-387.85
0.25031	-31132	-401.66
0.26318	-31123	-415.71
0.27650	-31111	-430.07
0.29029	-31118	-444.76
0.30455	-31107	-459.68
0.31930	-31103	-474.82
0.33454	-31078	-490.37
0.35028	-31079	-506.14
0.36653	-31077	-522.27
0.38330	-31072	-538.55
0.40060	-31059	-555.24
0.41844	-31072	-572.25
0.43683	-31061	-589.45
0.45578	-31055	-607.03
0.47530	-31041	-624.87
0.49539	-31048	-642.99
0.51608	-31036	-661.44
0.53735	-31040	-680.19
0.55924	-31030	-699.27
0.58174	-31037	-718.62
0.60487	-31032	-738.27
0.62863	-31027	-758.24
0.65304	-31025	-778.50
0.67811	-31023	-799.10
0.70384	-31020	-820.05
0.73025	-31102	-843.65
0.75734	-31102	-865.20
0.78513	-31102	-887.03
0.81363	-31097	-909.30
0.84284	-31100	-931.90
0.87278	-31095	-954.59
0.90345	-31088	-977.72
0.93488	-31085	-1001.3
0.96705	-31086	-1025.0
1.0000	-31091	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -31639.49176833519
