PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41377	-0.0095479
2.1544e-07	-41811	-0.086782
2.1715e-06	-41842	-0.27568
8.3895e-06	-41910	-0.59807
2.1888e-05	-41609	-1.0712
4.6050e-05	-41485	-1.7063
8.4561e-05	-41287	-2.5126
0.00014136	-41042	-3.5079
0.00022061	-41274	-4.6769
0.00032669	-41602	-6.0561
0.00046416	-41029	-7.6269
0.00063774	-41027	-9.4060
0.00085232	-40954	-11.369
0.0011130	-40310	-13.525
0.0014248	-40759	-15.919
0.0017932	-40389	-18.433
0.0022237	-39907	-21.139
0.0027216	-39388	-24.017
0.0032929	-39186	-26.998
0.0039432	-38237	-30.135
0.0046784	-37801	-33.279
0.0055047	-36748	-36.414
0.0064280	-35410	-39.117
0.0074546	-35049	-42.326
0.0085909	-33563	-44.675
0.0098431	-30183	-45.594
0.011218	-29568	-47.822
0.012722	-27805	-48.498
0.014361	-25446	-48.630
0.016143	-24703	-51.175
0.018075	-23191	-51.814
0.020162	-23232	-54.908
0.022413	-22201	-56.768
0.024834	-21508	-59.326
0.027432	-21450	-62.693
0.030215	-21334	-65.613
0.033190	-21023	-69.202
0.036364	-20800	-72.691
0.039745	-20790	-76.451
0.043339	-20578	-80.530
0.047156	-20392	-84.495
0.051201	-20336	-88.906
0.055484	-20129	-93.434
0.060011	-20173	-98.040
0.064790	-20091	-103.00
0.069830	-20039	-107.99
0.075138	-19964	-113.10
0.080722	-19912	-118.41
0.086591	-19874	-123.84
0.092751	-19794	-129.57
0.099213	-19788	-135.41
0.10598	-19763	-141.52
0.11307	-19777	-147.72
0.12048	-19733	-154.11
0.12823	-19705	-160.74
0.13631	-19660	-167.35
0.14475	-19681	-174.33
0.15355	-19647	-181.29
0.16271	-19638	-188.53
0.17226	-19611	-195.95
0.18218	-19592	-203.43
0.19250	-19604	-211.25
0.20322	-19577	-219.16
0.21436	-19583	-227.31
0.22591	-19568	-235.61
0.23789	-19541	-243.95
0.25031	-19538	-252.54
0.26318	-19516	-261.36
0.27650	-19540	-270.45
0.29029	-19542	-279.65
0.30455	-19526	-288.98
0.31930	-19538	-298.52
0.33454	-19501	-308.13
0.35028	-19490	-317.76
0.36653	-19500	-328.00
0.38330	-19507	-338.40
0.40060	-19481	-348.62
0.41844	-19476	-359.07
0.43683	-19467	-369.82
0.45578	-19452	-380.81
0.47530	-19457	-392.01
0.49539	-19456	-403.32
0.51608	-19455	-414.89
0.53735	-19460	-426.62
0.55924	-19449	-438.53
0.58174	-19448	-450.67
0.60487	-19449	-462.94
0.62863	-19445	-475.44
0.65304	-19448	-488.15
0.67811	-19441	-501.03
0.70384	-19437	-514.08
0.73025	-19431	-527.35
0.75734	-19435	-540.79
0.78513	-19433	-554.54
0.81363	-19427	-568.34
0.84284	-19431	-582.42
0.87278	-19423	-596.73
0.90345	-19421	-611.11
0.93488	-19405	-625.74
0.96705	-19418	-640.63
1.0000	-19380	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19952.46115304018
