PathParameter	MaxPathLikelihood	MLContribution
0.0000	-52559	-0.012166
2.1544e-07	-52125	-0.11012
2.1715e-06	-51699	-0.34984
8.3895e-06	-51620	-0.76075
2.1888e-05	-51646	-1.3595
4.6050e-05	-52321	-2.1634
8.4561e-05	-52281	-3.1891
0.00014136	-51266	-4.4351
0.00022061	-51148	-5.9173
0.00032669	-51572	-7.6474
0.00046416	-50901	-9.6159
0.00063774	-50599	-11.799
0.00085232	-50880	-14.204
0.0011130	-50075	-16.804
0.0014248	-48387	-19.659
0.0017932	-47785	-22.639
0.0022237	-48857	-25.868
0.0027216	-46082	-29.108
0.0032929	-45461	-32.287
0.0039432	-45284	-35.542
0.0046784	-43615	-38.937
0.0055047	-41438	-41.691
0.0064280	-40760	-44.473
0.0074546	-38266	-46.583
0.0085909	-35295	-48.317
0.0098431	-33583	-50.216
0.011218	-31431	-50.768
0.012722	-30357	-52.871
0.014361	-28708	-54.851
0.016143	-27671	-56.514
0.018075	-26923	-59.199
0.020162	-26401	-62.242
0.022413	-25651	-64.784
0.024834	-25121	-68.207
0.027432	-25009	-72.174
0.030215	-24970	-76.383
0.033190	-24682	-80.586
0.036364	-24601	-84.828
0.039745	-24414	-89.593
0.043339	-24215	-94.478
0.047156	-24206	-99.680
0.051201	-24053	-104.96
0.055484	-23988	-110.44
0.060011	-23851	-116.17
0.064790	-23867	-121.93
0.069830	-23835	-128.03
0.075138	-23699	-134.25
0.080722	-23703	-140.51
0.086591	-23670	-147.17
0.092751	-23596	-154.00
0.099213	-23528	-160.94
0.10598	-23548	-168.12
0.11307	-23436	-175.37
0.12048	-23391	-182.96
0.12823	-23426	-190.81
0.13631	-23407	-198.80
0.14475	-23384	-207.05
0.15355	-23335	-215.30
0.16271	-23291	-223.77
0.17226	-23324	-232.65
0.18218	-23283	-241.60
0.19250	-23279	-250.73
0.20322	-23243	-260.19
0.21436	-23242	-269.75
0.22591	-23236	-279.63
0.23789	-23213	-289.50
0.25031	-23200	-299.79
0.26318	-23193	-310.09
0.27650	-23197	-320.86
0.29029	-23185	-331.60
0.30455	-23182	-342.72
0.31930	-23162	-354.03
0.33454	-23158	-365.50
0.35028	-23153	-377.30
0.36653	-23145	-389.25
0.38330	-23150	-401.34
0.40060	-23150	-413.75
0.41844	-23135	-426.34
0.43683	-23132	-439.19
0.45578	-23130	-452.25
0.47530	-23128	-465.48
0.49539	-23125	-479.01
0.51608	-23120	-492.80
0.53735	-23120	-506.67
0.55924	-23117	-520.92
0.58174	-23111	-535.30
0.60487	-23110	-549.98
0.62863	-23104	-564.79
0.65304	-23105	-579.93
0.67811	-23098	-595.21
0.70384	-23103	-610.77
0.73025	-23102	-626.56
0.75734	-23097	-642.57
0.78513	-23095	-658.83
0.81363	-23091	-675.34
0.84284	-23084	-692.02
0.87278	-23090	-708.99
0.90345	-23087	-726.16
0.93488	-23069	-743.58
0.96705	-23078	-761.23
1.0000	-23054	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -23645.634940532695
