PathParameter	MaxPathLikelihood	MLContribution
0.0000	-59002	-0.013506
2.1544e-07	-58070	-0.12259
2.1715e-06	-59076	-0.39029
8.3895e-06	-58892	-0.84517
2.1888e-05	-59040	-1.5150
4.6050e-05	-58375	-2.4090
8.4561e-05	-57839	-3.5509
0.00014136	-58418	-4.9411
0.00022061	-57034	-6.5970
0.00032669	-58642	-8.5158
0.00046416	-58117	-10.737
0.00063774	-57773	-13.199
0.00085232	-57606	-15.935
0.0011130	-57312	-18.925
0.0014248	-56298	-22.096
0.0017932	-55309	-25.529
0.0022237	-53730	-29.018
0.0027216	-52823	-32.700
0.0032929	-52151	-36.492
0.0039432	-49765	-39.750
0.0046784	-46503	-41.831
0.0055047	-46481	-45.849
0.0064280	-45320	-49.293
0.0074546	-41120	-49.958
0.0085909	-38946	-53.012
0.0098431	-38232	-56.011
0.011218	-35928	-57.132
0.012722	-33651	-59.241
0.014361	-33786	-62.791
0.016143	-31608	-64.926
0.018075	-31302	-68.543
0.020162	-30354	-71.418
0.022413	-29918	-75.306
0.024834	-29617	-79.396
0.027432	-29154	-83.719
0.030215	-28778	-88.429
0.033190	-28732	-93.300
0.036364	-28387	-98.176
0.039745	-28359	-103.74
0.043339	-28190	-109.51
0.047156	-28089	-115.50
0.051201	-27988	-121.67
0.055484	-27777	-127.94
0.060011	-27813	-134.68
0.064790	-27725	-141.52
0.069830	-27736	-148.58
0.075138	-27597	-155.87
0.080722	-27577	-163.43
0.086591	-27496	-171.14
0.092751	-27459	-179.22
0.099213	-27437	-187.52
0.10598	-27457	-195.92
0.11307	-27391	-204.63
0.12048	-27385	-213.44
0.12823	-27355	-222.66
0.13631	-27372	-232.12
0.14475	-27339	-241.69
0.15355	-27321	-251.59
0.16271	-27296	-261.68
0.17226	-27302	-272.07
0.18218	-27271	-282.58
0.19250	-27268	-293.40
0.20322	-27244	-304.50
0.21436	-27251	-315.80
0.22591	-27223	-327.29
0.23789	-27220	-339.14
0.25031	-27209	-351.19
0.26318	-27202	-363.52
0.27650	-27198	-376.05
0.29029	-27188	-388.79
0.30455	-27179	-401.79
0.31930	-27170	-415.14
0.33454	-27182	-428.79
0.35028	-27165	-442.57
0.36653	-27174	-456.68
0.38330	-27149	-470.80
0.40060	-27154	-485.39
0.41844	-27147	-500.21
0.43683	-27149	-515.20
0.45578	-27137	-530.52
0.47530	-27146	-546.37
0.49539	-27137	-562.07
0.51608	-27135	-578.08
0.53735	-27120	-594.58
0.55924	-27121	-611.18
0.58174	-27120	-628.04
0.60487	-27118	-645.26
0.62863	-27114	-662.68
0.65304	-27110	-680.40
0.67811	-27109	-698.38
0.70384	-27108	-716.68
0.73025	-27108	-735.20
0.75734	-27104	-753.94
0.78513	-27099	-773.05
0.81363	-27097	-792.32
0.84284	-27091	-811.92
0.87278	-27090	-831.87
0.90345	-27092	-852.09
0.93488	-27080	-872.38
0.96705	-27088	-893.25
1.0000	-27065	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -27656.785203423147
