PathParameter	MaxPathLikelihood	MLContribution
0.0000	-42978	-0.010085
2.1544e-07	-44007	-0.091675
2.1715e-06	-43765	-0.29123
8.3895e-06	-42809	-0.63239
2.1888e-05	-43442	-1.1312
4.6050e-05	-42621	-1.8032
8.4561e-05	-43721	-2.6519
0.00014136	-43907	-3.6980
0.00022061	-43146	-4.9392
0.00032669	-42931	-6.3701
0.00046416	-42214	-8.0158
0.00063774	-42324	-9.8596
0.00085232	-42833	-11.896
0.0011130	-41898	-14.154
0.0014248	-42164	-16.639
0.0017932	-41659	-19.221
0.0022237	-41255	-21.877
0.0027216	-39991	-24.799
0.0032929	-39433	-27.853
0.0039432	-38668	-30.805
0.0046784	-38361	-33.890
0.0055047	-37183	-36.881
0.0064280	-35329	-39.315
0.0074546	-34033	-42.066
0.0085909	-32655	-44.094
0.0098431	-31022	-45.682
0.011218	-28812	-46.845
0.012722	-26899	-47.921
0.014361	-25721	-48.896
0.016143	-23616	-48.549
0.018075	-22211	-49.759
0.020162	-21216	-51.102
0.022413	-20684	-53.275
0.024834	-20218	-55.349
0.027432	-20052	-58.399
0.030215	-19990	-61.729
0.033190	-19769	-64.564
0.036364	-19408	-67.593
0.039745	-19319	-71.385
0.043339	-19085	-75.081
0.047156	-18986	-78.938
0.051201	-18954	-82.924
0.055484	-18806	-87.178
0.060011	-18740	-91.495
0.064790	-18741	-96.015
0.069830	-18704	-100.73
0.075138	-18598	-105.64
0.080722	-18585	-110.57
0.086591	-18530	-115.71
0.092751	-18510	-120.98
0.099213	-18481	-126.54
0.10598	-18468	-132.13
0.11307	-18455	-137.92
0.12048	-18420	-143.84
0.12823	-18379	-150.03
0.13631	-18355	-156.21
0.14475	-18367	-162.65
0.15355	-18346	-169.22
0.16271	-18332	-175.92
0.17226	-18293	-182.80
0.18218	-18292	-189.88
0.19250	-18271	-197.11
0.20322	-18268	-204.45
0.21436	-18248	-212.00
0.22591	-18250	-219.68
0.23789	-18232	-227.54
0.25031	-18229	-235.56
0.26318	-18233	-243.83
0.27650	-18213	-252.22
0.29029	-18201	-260.71
0.30455	-18207	-269.44
0.31930	-18198	-278.30
0.33454	-18197	-287.31
0.35028	-18186	-296.50
0.36653	-18190	-305.93
0.38330	-18182	-315.47
0.40060	-18179	-325.17
0.41844	-18179	-335.10
0.43683	-18166	-345.13
0.45578	-18150	-355.35
0.47530	-18160	-365.80
0.49539	-18158	-376.38
0.51608	-18152	-387.14
0.53735	-18148	-398.08
0.55924	-18151	-409.22
0.58174	-18154	-420.55
0.60487	-18146	-432.03
0.62863	-18133	-443.66
0.65304	-18145	-455.54
0.67811	-18140	-467.56
0.70384	-18138	-479.73
0.73025	-18132	-492.12
0.75734	-18135	-504.70
0.78513	-18132	-517.48
0.81363	-18133	-530.41
0.84284	-18131	-543.48
0.87278	-18124	-556.76
0.90345	-18122	-570.24
0.93488	-18125	-583.99
0.96705	-18112	-597.75
1.0000	-18124	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -18665.83658535183
