PathParameter	MaxPathLikelihood	MLContribution
0.0000	-38558	-0.0088976
2.1544e-07	-38910	-0.081001
2.1715e-06	-38805	-0.25703
8.3895e-06	-38984	-0.55920
2.1888e-05	-38859	-0.99951
4.6050e-05	-39056	-1.5923
8.4561e-05	-39120	-2.3479
0.00014136	-38908	-3.2678
0.00022061	-38707	-4.3729
0.00032669	-38210	-5.6517
0.00046416	-38079	-7.1207
0.00063774	-36908	-8.7535
0.00085232	-38008	-10.610
0.0011130	-38168	-12.641
0.0014248	-37666	-14.869
0.0017932	-37839	-17.260
0.0022237	-36778	-19.774
0.0027216	-37323	-22.472
0.0032929	-36109	-25.327
0.0039432	-36362	-28.322
0.0046784	-35624	-31.329
0.0055047	-34829	-34.268
0.0064280	-33037	-37.221
0.0074546	-33045	-40.039
0.0085909	-31615	-42.966
0.0098431	-30269	-45.082
0.011218	-28681	-46.382
0.012722	-27655	-48.540
0.014361	-24685	-48.527
0.016143	-24662	-50.579
0.018075	-22457	-50.959
0.020162	-21961	-52.713
0.022413	-21269	-54.410
0.024834	-20537	-56.385
0.027432	-20296	-58.845
0.030215	-19918	-61.702
0.033190	-19642	-64.791
0.036364	-19646	-68.288
0.039745	-19401	-71.746
0.043339	-19138	-75.490
0.047156	-19276	-79.553
0.051201	-19176	-83.624
0.055484	-19031	-88.056
0.060011	-19037	-92.432
0.064790	-18910	-97.034
0.069830	-18918	-101.84
0.075138	-18883	-106.88
0.080722	-18834	-111.96
0.086591	-18807	-117.29
0.092751	-18777	-122.70
0.099213	-18779	-128.31
0.10598	-18758	-134.16
0.11307	-18694	-140.09
0.12048	-18699	-146.12
0.12823	-18697	-152.35
0.13631	-18672	-158.76
0.14475	-18680	-165.34
0.15355	-18667	-172.10
0.16271	-18658	-178.98
0.17226	-18632	-186.01
0.18218	-18612	-193.25
0.19250	-18612	-200.64
0.20322	-18612	-208.16
0.21436	-18601	-215.91
0.22591	-18596	-223.79
0.23789	-18590	-231.82
0.25031	-18570	-240.03
0.26318	-18578	-248.40
0.27650	-18576	-256.95
0.29029	-18565	-265.67
0.30455	-18544	-274.56
0.31930	-18556	-283.64
0.33454	-18554	-292.87
0.35028	-18544	-302.25
0.36653	-18538	-311.81
0.38330	-18538	-321.60
0.40060	-18529	-331.54
0.41844	-18536	-341.63
0.43683	-18527	-351.86
0.45578	-18525	-362.34
0.47530	-18523	-373.01
0.49539	-18524	-383.81
0.51608	-18515	-394.78
0.53735	-18518	-406.01
0.55924	-18515	-417.35
0.58174	-18509	-428.88
0.60487	-18509	-440.60
0.62863	-18508	-452.50
0.65304	-18500	-464.53
0.67811	-18499	-476.84
0.70384	-18505	-489.27
0.73025	-18500	-501.93
0.75734	-18498	-514.72
0.78513	-18498	-527.75
0.81363	-18494	-540.95
0.84284	-18487	-554.32
0.87278	-18481	-567.83
0.90345	-18492	-581.69
0.93488	-18477	-595.63
0.96705	-18464	-609.59
1.0000	-18482	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -18970.84062872112
