PathParameter	MaxPathLikelihood	MLContribution
0.0000	-52780	-0.012421
2.1544e-07	-52485	-0.11283
2.1715e-06	-53812	-0.35825
8.3895e-06	-52976	-0.77623
2.1888e-05	-52755	-1.3881
4.6050e-05	-52996	-2.2156
8.4561e-05	-53571	-3.2591
0.00014136	-52378	-4.5370
0.00022061	-53128	-6.0355
0.00032669	-52622	-7.8155
0.00046416	-52307	-9.7882
0.00063774	-52074	-12.011
0.00085232	-50953	-14.524
0.0011130	-51103	-17.218
0.0014248	-50427	-20.125
0.0017932	-48567	-23.163
0.0022237	-48335	-26.384
0.0027216	-47354	-29.673
0.0032929	-46301	-32.391
0.0039432	-44177	-35.654
0.0046784	-43553	-38.834
0.0055047	-41247	-41.440
0.0064280	-40118	-44.053
0.0074546	-36580	-45.062
0.0085909	-35047	-47.538
0.0098431	-32469	-48.167
0.011218	-31157	-50.211
0.012722	-29031	-50.657
0.014361	-26498	-51.365
0.016143	-26144	-53.745
0.018075	-25221	-55.323
0.020162	-24539	-58.144
0.022413	-23934	-60.645
0.024834	-23559	-63.922
0.027432	-23635	-67.794
0.030215	-23263	-71.127
0.033190	-22898	-75.079
0.036364	-22814	-79.205
0.039745	-22714	-83.518
0.043339	-22602	-87.938
0.047156	-22422	-92.668
0.051201	-22225	-97.489
0.055484	-22293	-102.48
0.060011	-22255	-107.90
0.064790	-22143	-113.22
0.069830	-22078	-118.91
0.075138	-22075	-124.67
0.080722	-21994	-130.64
0.086591	-21925	-136.68
0.092751	-21905	-142.98
0.099213	-21851	-149.56
0.10598	-21877	-156.28
0.11307	-21831	-163.10
0.12048	-21770	-170.05
0.12823	-21770	-177.31
0.13631	-21738	-184.80
0.14475	-21710	-192.43
0.15355	-21698	-200.24
0.16271	-21695	-208.18
0.17226	-21686	-216.28
0.18218	-21659	-224.64
0.19250	-21652	-233.23
0.20322	-21621	-242.01
0.21436	-21604	-250.96
0.22591	-21585	-260.05
0.23789	-21589	-269.36
0.25031	-21593	-278.91
0.26318	-21594	-288.63
0.27650	-21579	-298.49
0.29029	-21555	-308.68
0.30455	-21554	-318.93
0.31930	-21551	-329.44
0.33454	-21544	-340.20
0.35028	-21537	-351.06
0.36653	-21532	-362.15
0.38330	-21533	-373.52
0.40060	-21521	-384.95
0.41844	-21520	-396.67
0.43683	-21518	-408.63
0.45578	-21517	-420.93
0.47530	-21511	-433.14
0.49539	-21505	-445.62
0.51608	-21502	-458.37
0.53735	-21492	-471.36
0.55924	-21489	-484.50
0.58174	-21490	-497.86
0.60487	-21491	-511.49
0.62863	-21481	-525.31
0.65304	-21484	-539.30
0.67811	-21479	-553.54
0.70384	-21475	-567.98
0.73025	-21478	-582.69
0.75734	-21477	-597.51
0.78513	-21474	-612.66
0.81363	-21473	-627.96
0.84284	-21466	-643.50
0.87278	-21462	-659.16
0.90345	-21440	-675.03
0.93488	-21467	-691.41
0.96705	-21456	-707.76
1.0000	-21464	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -22034.67106008452
