PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37794	-0.0086166
2.1544e-07	-37385	-0.078269
2.1715e-06	-37895	-0.24878
8.3895e-06	-37419	-0.53937
2.1888e-05	-38059	-0.96847
4.6050e-05	-37404	-1.5396
8.4561e-05	-37891	-2.2683
0.00014136	-37958	-3.1632
0.00022061	-37164	-4.2296
0.00032669	-37382	-5.4701
0.00046416	-37381	-6.8961
0.00063774	-37581	-8.5159
0.00085232	-37088	-10.302
0.0011130	-37014	-12.272
0.0014248	-37056	-14.448
0.0017932	-37107	-16.801
0.0022237	-36801	-19.315
0.0027216	-36543	-22.000
0.0032929	-36175	-24.910
0.0039432	-35761	-27.899
0.0046784	-35608	-31.076
0.0055047	-35148	-34.201
0.0064280	-34658	-37.376
0.0074546	-33706	-40.687
0.0085909	-33159	-43.700
0.0098431	-31958	-46.883
0.011218	-29950	-48.906
0.012722	-28854	-50.645
0.014361	-27358	-53.595
0.016143	-26594	-54.800
0.018075	-26028	-57.200
0.020162	-24927	-58.968
0.022413	-24508	-61.731
0.024834	-23535	-63.576
0.027432	-23081	-66.815
0.030215	-22622	-69.617
0.033190	-22349	-73.164
0.036364	-22107	-76.725
0.039745	-21694	-80.490
0.043339	-21571	-84.380
0.047156	-21328	-88.544
0.051201	-21217	-92.910
0.055484	-21175	-97.739
0.060011	-21102	-102.47
0.064790	-20986	-107.65
0.069830	-20930	-112.59
0.075138	-20876	-117.96
0.080722	-20822	-123.76
0.086591	-20801	-129.66
0.092751	-20737	-135.32
0.099213	-20672	-141.65
0.10598	-20718	-148.06
0.11307	-20632	-154.47
0.12048	-20634	-161.13
0.12823	-20597	-168.09
0.13631	-20566	-174.92
0.14475	-20566	-182.22
0.15355	-20566	-189.52
0.16271	-20531	-197.14
0.17226	-20538	-205.00
0.18218	-20514	-212.83
0.19250	-20508	-220.97
0.20322	-20493	-229.21
0.21436	-20481	-237.78
0.22591	-20466	-246.29
0.23789	-20469	-255.16
0.25031	-20455	-264.17
0.26318	-20455	-273.43
0.27650	-20447	-282.89
0.29029	-20451	-292.50
0.30455	-20444	-302.26
0.31930	-20429	-312.19
0.33454	-20418	-322.30
0.35028	-20416	-332.73
0.36653	-20416	-343.26
0.38330	-20411	-354.01
0.40060	-20411	-364.95
0.41844	-20406	-376.13
0.43683	-20398	-387.36
0.45578	-20402	-398.93
0.47530	-20398	-410.61
0.49539	-20397	-422.57
0.51608	-20393	-434.66
0.53735	-20391	-446.98
0.55924	-20386	-459.50
0.58174	-20386	-472.17
0.60487	-20379	-485.06
0.62863	-20381	-498.23
0.65304	-20377	-511.49
0.67811	-20375	-524.99
0.70384	-20379	-538.75
0.73025	-20372	-552.61
0.75734	-20372	-566.77
0.78513	-20369	-581.11
0.81363	-20370	-595.69
0.84284	-20366	-610.42
0.87278	-20363	-625.34
0.90345	-20366	-640.53
0.93488	-20364	-655.87
0.96705	-20359	-671.46
1.0000	-20361	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20861.34597749455
