PathParameter	MaxPathLikelihood	MLContribution
0.0000	-43839	-0.010239
2.1544e-07	-44805	-0.092922
2.1715e-06	-44494	-0.29551
8.3895e-06	-43999	-0.64144
2.1888e-05	-44240	-1.1479
4.6050e-05	-44429	-1.8277
8.4561e-05	-44309	-2.6863
0.00014136	-43410	-3.7446
0.00022061	-44450	-5.0193
0.00032669	-44529	-6.4834
0.00046416	-44508	-8.1453
0.00063774	-43568	-10.031
0.00085232	-43450	-12.094
0.0011130	-43314	-14.417
0.0014248	-43065	-16.931
0.0017932	-42730	-19.627
0.0022237	-41720	-22.437
0.0027216	-41348	-25.393
0.0032929	-40352	-28.498
0.0039432	-39586	-31.572
0.0046784	-39432	-34.744
0.0055047	-37624	-37.919
0.0064280	-35275	-40.386
0.0074546	-35421	-42.904
0.0085909	-32353	-44.033
0.0098431	-31565	-46.456
0.011218	-29339	-47.137
0.012722	-26314	-46.898
0.014361	-25871	-49.268
0.016143	-24673	-50.579
0.018075	-24005	-52.818
0.020162	-23311	-55.104
0.022413	-22908	-58.025
0.024834	-22802	-61.450
0.027432	-22074	-64.030
0.030215	-22178	-67.816
0.033190	-21775	-71.068
0.036364	-21584	-74.872
0.039745	-21456	-79.142
0.043339	-21258	-83.176
0.047156	-21292	-87.842
0.051201	-21027	-92.188
0.055484	-21087	-97.108
0.060011	-20943	-101.93
0.064790	-20862	-107.01
0.069830	-20843	-112.30
0.075138	-20797	-117.84
0.080722	-20762	-123.41
0.086591	-20660	-129.00
0.092751	-20658	-134.96
0.099213	-20662	-141.30
0.10598	-20650	-147.55
0.11307	-20581	-153.96
0.12048	-20599	-160.64
0.12823	-20557	-167.46
0.13631	-20516	-174.44
0.14475	-20511	-181.65
0.15355	-20488	-189.05
0.16271	-20494	-196.51
0.17226	-20475	-204.23
0.18218	-20446	-212.17
0.19250	-20457	-220.27
0.20322	-20403	-228.42
0.21436	-20413	-236.96
0.22591	-20404	-245.56
0.23789	-20417	-254.45
0.25031	-20377	-263.37
0.26318	-20391	-272.70
0.27650	-20357	-281.96
0.29029	-20365	-291.50
0.30455	-20377	-301.37
0.31930	-20356	-311.19
0.33454	-20363	-321.28
0.35028	-20359	-331.65
0.36653	-20353	-342.25
0.38330	-20344	-352.85
0.40060	-20342	-363.73
0.41844	-20336	-374.84
0.43683	-20340	-386.18
0.45578	-20329	-397.59
0.47530	-20330	-409.28
0.49539	-20327	-421.16
0.51608	-20325	-433.26
0.53735	-20313	-445.45
0.55924	-20312	-457.87
0.58174	-20304	-470.57
0.60487	-20313	-483.43
0.62863	-20310	-496.53
0.65304	-20306	-509.76
0.67811	-20304	-523.25
0.70384	-20303	-536.88
0.73025	-20299	-550.76
0.75734	-20302	-564.82
0.78513	-20299	-579.13
0.81363	-20297	-593.60
0.84284	-20297	-608.24
0.87278	-20294	-623.24
0.90345	-20295	-638.31
0.93488	-20291	-653.63
0.96705	-20293	-669.15
1.0000	-20291	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20797.929014940084
