PathParameter	MaxPathLikelihood	MLContribution
0.0000	-51726	-0.011978
2.1544e-07	-51237	-0.10866
2.1715e-06	-52091	-0.34585
8.3895e-06	-51303	-0.74852
2.1888e-05	-51341	-1.3398
4.6050e-05	-51139	-2.1390
8.4561e-05	-51984	-3.1554
0.00014136	-51266	-4.3797
0.00022061	-51096	-5.8546
0.00032669	-51366	-7.5399
0.00046416	-51200	-9.4806
0.00063774	-50775	-11.687
0.00085232	-50484	-14.062
0.0011130	-49012	-16.708
0.0014248	-49493	-19.554
0.0017932	-49117	-22.506
0.0022237	-47633	-25.616
0.0027216	-47593	-28.938
0.0032929	-46217	-32.063
0.0039432	-42779	-35.093
0.0046784	-42058	-38.165
0.0055047	-41918	-41.369
0.0064280	-39693	-43.555
0.0074546	-37908	-45.890
0.0085909	-35584	-48.342
0.0098431	-35090	-51.328
0.011218	-33549	-53.668
0.012722	-31736	-55.858
0.014361	-31644	-59.195
0.016143	-30472	-62.252
0.018075	-29785	-65.285
0.020162	-29477	-69.025
0.022413	-29098	-72.731
0.024834	-28526	-76.599
0.027432	-28236	-80.919
0.030215	-27995	-85.982
0.033190	-27718	-90.341
0.036364	-27604	-95.494
0.039745	-27338	-100.58
0.043339	-27304	-106.16
0.047156	-27312	-112.14
0.051201	-27187	-118.31
0.055484	-27129	-124.26
0.060011	-26991	-130.81
0.064790	-26912	-137.43
0.069830	-26932	-144.29
0.075138	-26839	-151.39
0.080722	-26789	-158.67
0.086591	-26752	-166.26
0.092751	-26670	-174.00
0.099213	-26698	-182.11
0.10598	-26656	-190.21
0.11307	-26650	-198.67
0.12048	-26606	-207.39
0.12823	-26586	-216.32
0.13631	-26613	-225.54
0.14475	-26574	-234.87
0.15355	-26550	-244.41
0.16271	-26549	-254.25
0.17226	-26506	-264.33
0.18218	-26499	-274.60
0.19250	-26461	-284.99
0.20322	-26475	-295.83
0.21436	-26451	-306.74
0.22591	-26454	-318.28
0.23789	-26429	-329.34
0.25031	-26436	-341.15
0.26318	-26419	-352.94
0.27650	-26424	-365.15
0.29029	-26417	-377.70
0.30455	-26394	-390.22
0.31930	-26393	-403.17
0.33454	-26379	-416.29
0.35028	-26385	-429.72
0.36653	-26382	-443.49
0.38330	-26392	-457.50
0.40060	-26381	-471.55
0.41844	-26375	-485.82
0.43683	-26373	-500.58
0.45578	-26355	-515.40
0.47530	-26366	-530.59
0.49539	-26361	-545.95
0.51608	-26353	-561.65
0.53735	-26359	-577.56
0.55924	-26352	-593.73
0.58174	-26355	-610.20
0.60487	-26344	-626.89
0.62863	-26351	-643.87
0.65304	-26345	-661.13
0.67811	-26337	-678.59
0.70384	-26343	-696.35
0.73025	-26337	-714.34
0.75734	-26341	-732.63
0.78513	-26338	-751.24
0.81363	-26333	-769.98
0.84284	-26335	-789.09
0.87278	-26336	-808.54
0.90345	-26339	-828.35
0.93488	-26340	-848.25
0.96705	-26342	-868.44
1.0000	-26340	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26817.506220126186
