PathParameter	MaxPathLikelihood	MLContribution
0.0000	-36061	-0.0082669
2.1544e-07	-35394	-0.075416
2.1715e-06	-35788	-0.23964
8.3895e-06	-35548	-0.51904
2.1888e-05	-35942	-0.92890
4.6050e-05	-36201	-1.4793
8.4561e-05	-36147	-2.1819
0.00014136	-35996	-3.0370
0.00022061	-35857	-4.0671
0.00032669	-35868	-5.2576
0.00046416	-35928	-6.6176
0.00063774	-35536	-8.1591
0.00085232	-35380	-9.8606
0.0011130	-35850	-11.766
0.0014248	-35424	-13.811
0.0017932	-35370	-16.067
0.0022237	-35035	-18.471
0.0027216	-34557	-20.998
0.0032929	-34224	-23.713
0.0039432	-33840	-26.503
0.0046784	-33002	-29.437
0.0055047	-32978	-32.445
0.0064280	-32216	-35.227
0.0074546	-31034	-38.130
0.0085909	-30636	-41.012
0.0098431	-29558	-44.017
0.011218	-28421	-45.363
0.012722	-26095	-47.105
0.014361	-25330	-48.569
0.016143	-24034	-50.252
0.018075	-21900	-50.538
0.020162	-22199	-53.100
0.022413	-21097	-53.752
0.024834	-20572	-56.102
0.027432	-19826	-58.387
0.030215	-18860	-59.863
0.033190	-18907	-62.629
0.036364	-18862	-65.892
0.039745	-18483	-68.762
0.043339	-18382	-72.293
0.047156	-18328	-76.120
0.051201	-18239	-79.834
0.055484	-18101	-83.796
0.060011	-18046	-88.124
0.064790	-18047	-92.523
0.069830	-17961	-97.066
0.075138	-17919	-101.73
0.080722	-17865	-106.64
0.086591	-17864	-111.54
0.092751	-17866	-116.76
0.099213	-17829	-122.05
0.10598	-17816	-127.48
0.11307	-17780	-133.06
0.12048	-17767	-138.86
0.12823	-17722	-144.72
0.13631	-17732	-150.87
0.14475	-17726	-157.08
0.15355	-17713	-163.40
0.16271	-17717	-169.98
0.17226	-17680	-176.66
0.18218	-17681	-183.51
0.19250	-17671	-190.51
0.20322	-17665	-197.66
0.21436	-17658	-204.93
0.22591	-17659	-212.45
0.23789	-17644	-220.03
0.25031	-17637	-227.86
0.26318	-17628	-235.78
0.27650	-17634	-243.92
0.29029	-17620	-252.17
0.30455	-17623	-260.63
0.31930	-17611	-269.26
0.33454	-17607	-278.00
0.35028	-17602	-286.93
0.36653	-17602	-295.99
0.38330	-17597	-305.27
0.40060	-17593	-314.71
0.41844	-17585	-324.27
0.43683	-17592	-334.03
0.45578	-17581	-343.97
0.47530	-17585	-354.07
0.49539	-17580	-364.34
0.51608	-17575	-374.73
0.53735	-17572	-385.35
0.55924	-17568	-396.13
0.58174	-17569	-407.09
0.60487	-17570	-418.21
0.62863	-17566	-429.51
0.65304	-17566	-441.00
0.67811	-17562	-452.63
0.70384	-17562	-464.46
0.73025	-17560	-476.43
0.75734	-17561	-488.62
0.78513	-17558	-500.99
0.81363	-17555	-513.50
0.84284	-17553	-526.18
0.87278	-17555	-539.11
0.90345	-17554	-552.15
0.93488	-17550	-565.39
0.96705	-17546	-578.84
1.0000	-17547	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -18035.510513755587
