PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37835	-0.0086560
2.1544e-07	-37415	-0.078569
2.1715e-06	-38011	-0.24987
8.3895e-06	-37698	-0.54194
2.1888e-05	-37601	-0.97116
4.6050e-05	-37459	-1.5457
8.4561e-05	-37687	-2.2834
0.00014136	-37309	-3.1773
0.00022061	-37260	-4.2482
0.00032669	-37551	-5.4895
0.00046416	-37247	-6.9211
0.00063774	-37543	-8.5432
0.00085232	-37458	-10.334
0.0011130	-37386	-12.307
0.0014248	-36910	-14.464
0.0017932	-36819	-16.818
0.0022237	-36579	-19.330
0.0027216	-36338	-22.009
0.0032929	-35445	-24.787
0.0039432	-35721	-27.792
0.0046784	-34904	-30.740
0.0055047	-34860	-34.012
0.0064280	-33725	-36.858
0.0074546	-32552	-39.771
0.0085909	-31023	-42.102
0.0098431	-30842	-45.143
0.011218	-29439	-47.304
0.012722	-28198	-49.429
0.014361	-26499	-50.335
0.016143	-24589	-50.850
0.018075	-23327	-51.565
0.020162	-22160	-52.940
0.022413	-21381	-54.754
0.024834	-20748	-56.389
0.027432	-20247	-58.991
0.030215	-19917	-61.943
0.033190	-19523	-64.444
0.036364	-19451	-67.950
0.039745	-19285	-71.364
0.043339	-19232	-75.292
0.047156	-19048	-79.148
0.051201	-19032	-83.231
0.055484	-18992	-87.534
0.060011	-18953	-91.978
0.064790	-18880	-96.625
0.069830	-18850	-101.36
0.075138	-18800	-106.38
0.080722	-18737	-111.44
0.086591	-18744	-116.77
0.092751	-18720	-122.20
0.099213	-18713	-127.88
0.10598	-18718	-133.59
0.11307	-18655	-139.51
0.12048	-18652	-145.59
0.12823	-18632	-151.76
0.13631	-18632	-158.19
0.14475	-18596	-164.74
0.15355	-18591	-171.46
0.16271	-18592	-178.31
0.17226	-18578	-185.35
0.18218	-18574	-192.60
0.19250	-18564	-199.98
0.20322	-18556	-207.52
0.21436	-18552	-215.21
0.22591	-18540	-223.03
0.23789	-18536	-231.08
0.25031	-18508	-239.26
0.26318	-18510	-247.62
0.27650	-18511	-256.15
0.29029	-18511	-264.85
0.30455	-18513	-273.76
0.31930	-18495	-282.76
0.33454	-18485	-292.00
0.35028	-18493	-301.37
0.36653	-18492	-310.92
0.38330	-18493	-320.66
0.40060	-18485	-330.56
0.41844	-18480	-340.59
0.43683	-18472	-350.87
0.45578	-18473	-361.34
0.47530	-18472	-371.95
0.49539	-18466	-382.71
0.51608	-18467	-393.71
0.53735	-18461	-404.83
0.55924	-18468	-416.17
0.58174	-18458	-427.67
0.60487	-18456	-439.34
0.62863	-18454	-451.24
0.65304	-18455	-463.28
0.67811	-18456	-475.50
0.70384	-18455	-487.96
0.73025	-18449	-500.57
0.75734	-18451	-513.36
0.78513	-18447	-526.31
0.81363	-18442	-539.49
0.84284	-18444	-552.81
0.87278	-18441	-566.36
0.90345	-18442	-580.10
0.93488	-18436	-594.03
0.96705	-18440	-608.15
1.0000	-18438	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -18914.79046752878
