PathParameter	MaxPathLikelihood	MLContribution
0.0000	-38490	-0.0089897
2.1544e-07	-38167	-0.081523
2.1715e-06	-38712	-0.25899
8.3895e-06	-38544	-0.56401
2.1888e-05	-38956	-1.0073
4.6050e-05	-38079	-1.6037
8.4561e-05	-38717	-2.3638
0.00014136	-39132	-3.2907
0.00022061	-38283	-4.3951
0.00032669	-38574	-5.6934
0.00046416	-38236	-7.1468
0.00063774	-38180	-8.8089
0.00085232	-37636	-10.652
0.0011130	-37868	-12.654
0.0014248	-37461	-14.854
0.0017932	-37346	-17.195
0.0022237	-36905	-19.696
0.0027216	-36851	-22.405
0.0032929	-36120	-25.144
0.0039432	-35877	-28.052
0.0046784	-34963	-31.050
0.0055047	-33557	-33.823
0.0064280	-32993	-36.158
0.0074546	-31838	-38.993
0.0085909	-29658	-40.674
0.0098431	-29341	-43.244
0.011218	-27448	-44.802
0.012722	-26175	-46.104
0.014361	-24290	-47.066
0.016143	-23392	-49.160
0.018075	-22863	-50.682
0.020162	-22383	-52.815
0.022413	-21686	-54.926
0.024834	-21258	-57.697
0.027432	-20627	-60.543
0.030215	-20659	-63.224
0.033190	-20261	-66.411
0.036364	-20202	-70.177
0.039745	-20090	-73.931
0.043339	-19835	-77.661
0.047156	-19750	-81.812
0.051201	-19715	-86.071
0.055484	-19535	-90.380
0.060011	-19533	-94.940
0.064790	-19414	-99.685
0.069830	-19349	-104.57
0.075138	-19386	-109.68
0.080722	-19290	-114.82
0.086591	-19234	-120.23
0.092751	-19236	-125.71
0.099213	-19198	-131.46
0.10598	-19167	-137.31
0.11307	-19158	-143.29
0.12048	-19138	-149.55
0.12823	-19154	-156.02
0.13631	-19107	-162.49
0.14475	-19110	-169.15
0.15355	-19096	-176.00
0.16271	-19067	-183.17
0.17226	-19078	-190.33
0.18218	-19068	-197.72
0.19250	-19064	-205.28
0.20322	-19048	-213.06
0.21436	-19035	-220.92
0.22591	-19018	-228.94
0.23789	-19016	-237.23
0.25031	-19021	-245.67
0.26318	-19000	-254.21
0.27650	-19013	-262.98
0.29029	-19002	-271.85
0.30455	-18980	-280.96
0.31930	-18983	-290.25
0.33454	-18979	-299.71
0.35028	-18986	-309.35
0.36653	-18981	-319.17
0.38330	-18969	-329.12
0.40060	-18971	-339.25
0.41844	-18964	-349.67
0.43683	-18961	-360.17
0.45578	-18961	-370.83
0.47530	-18954	-381.73
0.49539	-18959	-392.84
0.51608	-18950	-404.08
0.53735	-18949	-415.48
0.55924	-18944	-427.13
0.58174	-18952	-438.96
0.60487	-18945	-450.94
0.62863	-18937	-463.10
0.65304	-18944	-475.50
0.67811	-18938	-488.02
0.70384	-18936	-500.74
0.73025	-18932	-513.67
0.75734	-18929	-526.84
0.78513	-18936	-540.18
0.81363	-18929	-553.69
0.84284	-18924	-567.37
0.87278	-18930	-581.28
0.90345	-18922	-595.34
0.93488	-18924	-609.63
0.96705	-18925	-624.10
1.0000	-18922	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19388.63494257492
