PathParameter	MaxPathLikelihood	MLContribution
0.0000	-45293	-0.010498
2.1544e-07	-45584	-0.095069
2.1715e-06	-45275	-0.30352
8.3895e-06	-45332	-0.65744
2.1888e-05	-45653	-1.1756
4.6050e-05	-45505	-1.8744
8.4561e-05	-44685	-2.7625
0.00014136	-45369	-3.8482
0.00022061	-45113	-5.1361
0.00032669	-44771	-6.6340
0.00046416	-45012	-8.3755
0.00063774	-43288	-10.305
0.00085232	-43922	-12.444
0.0011130	-44059	-14.827
0.0014248	-43390	-17.276
0.0017932	-42661	-20.047
0.0022237	-42934	-22.844
0.0027216	-42243	-25.925
0.0032929	-40280	-28.564
0.0039432	-40306	-31.923
0.0046784	-38507	-34.499
0.0055047	-37173	-37.483
0.0064280	-35732	-39.578
0.0074546	-33641	-41.043
0.0085909	-31812	-43.131
0.0098431	-28435	-42.216
0.011218	-27459	-44.390
0.012722	-25157	-44.900
0.014361	-25079	-47.262
0.016143	-23753	-48.805
0.018075	-23114	-50.816
0.020162	-22526	-53.515
0.022413	-22312	-56.541
0.024834	-21949	-59.353
0.027432	-21891	-62.724
0.030215	-21539	-66.651
0.033190	-21451	-70.044
0.036364	-21331	-74.239
0.039745	-21217	-78.241
0.043339	-21119	-82.443
0.047156	-21026	-86.791
0.051201	-20988	-91.676
0.055484	-20968	-96.501
0.060011	-20878	-101.23
0.064790	-20761	-106.61
0.069830	-20781	-111.75
0.075138	-20749	-117.42
0.080722	-20746	-122.94
0.086591	-20678	-128.86
0.092751	-20669	-134.84
0.099213	-20635	-141.02
0.10598	-20649	-147.42
0.11307	-20610	-153.92
0.12048	-20579	-160.67
0.12823	-20591	-167.55
0.13631	-20587	-174.65
0.14475	-20536	-181.85
0.15355	-20544	-189.31
0.16271	-20520	-196.92
0.17226	-20523	-204.71
0.18218	-20518	-212.65
0.19250	-20493	-220.82
0.20322	-20496	-229.11
0.21436	-20492	-237.67
0.22591	-20477	-246.33
0.23789	-20469	-255.26
0.25031	-20449	-264.30
0.26318	-20443	-273.54
0.27650	-20454	-282.93
0.29029	-20460	-292.60
0.30455	-20438	-302.38
0.31930	-20426	-312.33
0.33454	-20438	-322.53
0.35028	-20437	-332.92
0.36653	-20418	-343.43
0.38330	-20423	-354.20
0.40060	-20421	-365.14
0.41844	-20421	-376.29
0.43683	-20419	-387.63
0.45578	-20405	-399.13
0.47530	-20409	-410.84
0.49539	-20402	-422.77
0.51608	-20392	-434.89
0.53735	-20397	-447.19
0.55924	-20393	-459.69
0.58174	-20392	-472.38
0.60487	-20389	-485.31
0.62863	-20389	-498.44
0.65304	-20381	-511.72
0.67811	-20385	-525.25
0.70384	-20379	-538.98
0.73025	-20376	-552.88
0.75734	-20378	-567.03
0.78513	-20374	-581.36
0.81363	-20378	-595.95
0.84284	-20375	-610.65
0.87278	-20369	-625.60
0.90345	-20369	-640.77
0.93488	-20369	-656.13
0.96705	-20366	-671.71
1.0000	-20365	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20830.284606089837
