PathParameter	MaxPathLikelihood	MLContribution
0.0000	-49215	-0.011516
2.1544e-07	-49726	-0.10454
2.1715e-06	-48865	-0.33133
8.3895e-06	-49504	-0.72228
2.1888e-05	-48976	-1.2921
4.6050e-05	-48612	-2.0586
8.4561e-05	-48328	-3.0263
0.00014136	-48652	-4.2008
0.00022061	-48347	-5.6112
0.00032669	-47907	-7.2397
0.00046416	-48722	-9.1103
0.00063774	-46305	-11.194
0.00085232	-46365	-13.449
0.0011130	-46801	-15.820
0.0014248	-45894	-18.509
0.0017932	-44417	-21.134
0.0022237	-43241	-23.886
0.0027216	-41824	-26.539
0.0032929	-40612	-29.024
0.0039432	-38809	-31.717
0.0046784	-37661	-33.934
0.0055047	-34611	-35.047
0.0064280	-32659	-36.619
0.0074546	-29954	-37.512
0.0085909	-28372	-38.899
0.0098431	-27094	-40.037
0.011218	-25544	-41.793
0.012722	-24831	-43.834
0.014361	-24840	-46.208
0.016143	-23460	-48.608
0.018075	-23107	-51.185
0.020162	-23122	-54.189
0.022413	-22641	-57.056
0.024834	-22260	-60.216
0.027432	-22144	-63.679
0.030215	-21916	-67.427
0.033190	-21849	-71.141
0.036364	-21649	-75.109
0.039745	-21485	-79.200
0.043339	-21456	-83.644
0.047156	-21323	-88.124
0.051201	-21275	-92.745
0.055484	-21204	-97.640
0.060011	-21135	-102.63
0.064790	-21100	-107.91
0.069830	-21027	-113.15
0.075138	-21033	-118.86
0.080722	-20943	-124.66
0.086591	-20987	-130.56
0.092751	-20984	-136.67
0.099213	-20885	-142.94
0.10598	-20931	-149.43
0.11307	-20890	-156.05
0.12048	-20882	-162.87
0.12823	-20853	-169.86
0.13631	-20837	-177.02
0.14475	-20819	-184.31
0.15355	-20795	-191.88
0.16271	-20766	-199.57
0.17226	-20790	-207.43
0.18218	-20750	-215.49
0.19250	-20738	-223.72
0.20322	-20759	-232.21
0.21436	-20742	-240.68
0.22591	-20723	-249.43
0.23789	-20709	-258.38
0.25031	-20694	-267.54
0.26318	-20693	-276.89
0.27650	-20680	-286.32
0.29029	-20671	-296.07
0.30455	-20676	-305.91
0.31930	-20662	-315.99
0.33454	-20661	-326.22
0.35028	-20654	-336.66
0.36653	-20635	-347.25
0.38330	-20635	-358.11
0.40060	-20633	-369.10
0.41844	-20625	-380.36
0.43683	-20617	-391.79
0.45578	-20623	-403.35
0.47530	-20606	-415.19
0.49539	-20601	-427.20
0.51608	-20594	-439.38
0.53735	-20600	-451.77
0.55924	-20599	-464.38
0.58174	-20585	-477.11
0.60487	-20588	-490.12
0.62863	-20588	-503.36
0.65304	-20574	-516.74
0.67811	-20576	-530.36
0.70384	-20566	-544.17
0.73025	-20565	-558.13
0.75734	-20562	-572.36
0.78513	-20562	-586.85
0.81363	-20560	-601.44
0.84284	-20561	-616.33
0.87278	-20552	-631.31
0.90345	-20548	-646.60
0.93488	-20546	-662.08
0.96705	-20539	-677.80
1.0000	-20545	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -21038.766571697866
