PathParameter	MaxPathLikelihood	MLContribution
0.0000	-1.2450e+05	-0.033057
2.1544e-07	-1.2666e+05	-0.30034
2.1715e-06	-1.2571e+05	-0.94956
8.3895e-06	-1.2541e+05	-2.0580
2.1888e-05	-1.1851e+05	-3.6131
4.6050e-05	-1.2542e+05	-5.6503
8.4561e-05	-1.2094e+05	-8.1325
0.00014136	-1.1815e+05	-10.965
0.00022061	-1.1474e+05	-14.046
0.00032669	-1.1247e+05	-17.483
0.00046416	-1.0964e+05	-21.123
0.00063774	-1.0452e+05	-25.003
0.00085232	-1.0138e+05	-29.088
0.0011130	-95945	-32.797
0.0014248	-88092	-36.027
0.0017932	-83320	-39.624
0.0022237	-73279	-40.413
0.0027216	-70018	-44.369
0.0032929	-65845	-46.307
0.0039432	-61700	-49.308
0.0046784	-60184	-52.959
0.0055047	-57790	-56.709
0.0064280	-54966	-59.565
0.0074546	-53041	-63.676
0.0085909	-50944	-66.990
0.0098431	-50046	-71.370
0.011218	-48829	-76.557
0.012722	-48213	-81.604
0.014361	-46925	-86.348
0.016143	-46557	-92.469
0.018075	-46274	-98.772
0.020162	-45524	-105.06
0.022413	-45325	-111.75
0.024834	-44880	-118.75
0.027432	-44863	-126.80
0.030215	-44406	-134.24
0.033190	-44111	-142.63
0.036364	-44001	-150.89
0.039745	-43743	-159.47
0.043339	-43685	-168.66
0.047156	-43447	-177.82
0.051201	-43334	-187.66
0.055484	-43217	-197.71
0.060011	-43044	-208.02
0.064790	-43077	-219.11
0.069830	-43061	-230.19
0.075138	-42930	-241.45
0.080722	-42837	-253.08
0.086591	-42728	-265.13
0.092751	-42649	-277.54
0.099213	-42606	-290.11
0.10598	-42577	-303.32
0.11307	-42479	-316.76
0.12048	-42480	-330.59
0.12823	-42426	-344.74
0.13631	-42422	-359.26
0.14475	-42370	-374.24
0.15355	-42365	-389.58
0.16271	-42315	-405.27
0.17226	-42272	-421.16
0.18218	-42257	-437.74
0.19250	-42267	-454.33
0.20322	-42223	-471.56
0.21436	-42227	-488.99
0.22591	-42191	-506.85
0.23789	-42163	-524.95
0.25031	-42166	-543.69
0.26318	-42140	-562.67
0.27650	-42133	-581.98
0.29029	-42106	-602.01
0.30455	-42114	-622.00
0.31930	-42076	-642.55
0.33454	-42079	-663.51
0.35028	-42076	-684.95
0.36653	-42059	-706.63
0.38330	-42044	-728.76
0.40060	-42046	-751.20
0.41844	-42028	-774.12
0.43683	-42026	-797.48
0.45578	-42018	-821.14
0.47530	-42013	-845.36
0.49539	-42013	-869.91
0.51608	-41994	-894.77
0.53735	-41998	-920.25
0.55924	-41991	-945.95
0.58174	-41977	-972.14
0.60487	-41987	-998.70
0.62863	-41981	-1025.7
0.65304	-41971	-1052.9
0.67811	-41961	-1080.8
0.70384	-41964	-1109.2
0.73025	-41956	-1137.7
0.75734	-41956	-1167.0
0.78513	-41949	-1196.4
0.81363	-41936	-1226.3
0.84284	-41946	-1256.7
0.87278	-41937	-1287.6
0.90345	-41939	-1318.6
0.93488	-41929	-1350.3
0.96705	-41935	-1382.5
1.0000	-41896	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -42651.244887872825
