PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37269	-0.0085923
2.1544e-07	-37723	-0.078260
2.1715e-06	-37684	-0.24852
8.3895e-06	-37658	-0.53835
2.1888e-05	-36851	-0.96304
4.6050e-05	-37396	-1.5384
8.4561e-05	-37719	-2.2668
0.00014136	-37413	-3.1522
0.00022061	-37437	-4.2135
0.00032669	-36614	-5.4458
0.00046416	-37043	-6.8622
0.00063774	-37236	-8.4604
0.00085232	-37043	-10.245
0.0011130	-36924	-12.181
0.0014248	-36934	-14.349
0.0017932	-36048	-16.603
0.0022237	-36109	-19.121
0.0027216	-35275	-21.766
0.0032929	-34839	-24.528
0.0039432	-35228	-27.468
0.0046784	-34645	-30.371
0.0055047	-33633	-33.379
0.0064280	-33226	-36.452
0.0074546	-32807	-39.729
0.0085909	-31391	-42.311
0.0098431	-29509	-45.150
0.011218	-29631	-47.731
0.012722	-27239	-47.966
0.014361	-26901	-50.431
0.016143	-24964	-51.933
0.018075	-24288	-52.959
0.020162	-23026	-54.457
0.022413	-22342	-56.555
0.024834	-21142	-57.872
0.027432	-20495	-60.120
0.030215	-20615	-63.428
0.033190	-20104	-66.249
0.036364	-19885	-69.689
0.039745	-19861	-73.266
0.043339	-19642	-77.128
0.047156	-19478	-80.888
0.051201	-19477	-85.064
0.055484	-19403	-89.362
0.060011	-19276	-94.042
0.064790	-19252	-98.611
0.069830	-19231	-103.54
0.075138	-19162	-108.37
0.080722	-19124	-113.56
0.086591	-19122	-119.00
0.092751	-19088	-124.52
0.099213	-18982	-130.04
0.10598	-18981	-135.91
0.11307	-18939	-141.94
0.12048	-18944	-148.06
0.12823	-18938	-154.31
0.13631	-18895	-160.78
0.14475	-18891	-167.38
0.15355	-18855	-174.16
0.16271	-18868	-181.17
0.17226	-18846	-188.25
0.18218	-18827	-195.47
0.19250	-18812	-202.89
0.20322	-18811	-210.55
0.21436	-18812	-218.34
0.22591	-18811	-226.34
0.23789	-18775	-234.40
0.25031	-18788	-242.68
0.26318	-18780	-251.21
0.27650	-18782	-259.82
0.29029	-18764	-268.57
0.30455	-18769	-277.65
0.31930	-18764	-286.78
0.33454	-18761	-296.17
0.35028	-18752	-305.62
0.36653	-18755	-315.29
0.38330	-18752	-325.17
0.40060	-18743	-335.21
0.41844	-18738	-345.42
0.43683	-18735	-355.81
0.45578	-18721	-366.42
0.47530	-18727	-377.12
0.49539	-18719	-388.06
0.51608	-18718	-399.17
0.53735	-18717	-410.45
0.55924	-18721	-421.98
0.58174	-18707	-433.60
0.60487	-18709	-445.45
0.62863	-18699	-457.49
0.65304	-18704	-469.68
0.67811	-18708	-482.05
0.70384	-18702	-494.62
0.73025	-18700	-507.38
0.75734	-18693	-520.28
0.78513	-18680	-533.43
0.81363	-18684	-546.78
0.84284	-18676	-560.21
0.87278	-18679	-573.85
0.90345	-18670	-587.60
0.93488	-18657	-601.70
0.96705	-18618	-615.50
1.0000	-18630	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19182.389706277307
