PathParameter	MaxPathLikelihood	MLContribution
0.0000	-46573	-0.010998
2.1544e-07	-45111	-0.099925
2.1715e-06	-46766	-0.31688
8.3895e-06	-46798	-0.68918
2.1888e-05	-46060	-1.2320
4.6050e-05	-46213	-1.9551
8.4561e-05	-46043	-2.8801
0.00014136	-46786	-4.0168
0.00022061	-45634	-5.3435
0.00032669	-46120	-6.9005
0.00046416	-45958	-8.6442
0.00063774	-45720	-10.578
0.00085232	-45562	-12.786
0.0011130	-45258	-15.151
0.0014248	-44780	-17.699
0.0017932	-44076	-20.382
0.0022237	-43185	-23.209
0.0027216	-41935	-26.196
0.0032929	-41553	-29.234
0.0039432	-41579	-32.550
0.0046784	-39841	-35.383
0.0055047	-39369	-38.668
0.0064280	-37930	-41.983
0.0074546	-35397	-43.907
0.0085909	-34994	-47.120
0.0098431	-32565	-48.118
0.011218	-30907	-49.566
0.012722	-28748	-50.363
0.014361	-27599	-52.425
0.016143	-25488	-53.180
0.018075	-23771	-54.294
0.020162	-23732	-57.000
0.022413	-23461	-59.298
0.024834	-22683	-61.764
0.027432	-22293	-64.276
0.030215	-21932	-67.910
0.033190	-21757	-71.603
0.036364	-21633	-75.321
0.039745	-21469	-79.231
0.043339	-21294	-83.321
0.047156	-21142	-87.690
0.051201	-21182	-92.383
0.055484	-21057	-97.105
0.060011	-20982	-102.14
0.064790	-20938	-107.14
0.069830	-20888	-112.51
0.075138	-20844	-117.94
0.080722	-20805	-123.54
0.086591	-20766	-129.37
0.092751	-20714	-135.31
0.099213	-20685	-141.50
0.10598	-20689	-147.85
0.11307	-20641	-154.27
0.12048	-20607	-160.84
0.12823	-20553	-167.72
0.13631	-20555	-174.76
0.14475	-20516	-181.87
0.15355	-20530	-189.29
0.16271	-20486	-196.82
0.17226	-20472	-204.51
0.18218	-20460	-212.30
0.19250	-20445	-220.39
0.20322	-20433	-228.60
0.21436	-20415	-236.97
0.22591	-20381	-245.50
0.23789	-20372	-254.35
0.25031	-20359	-263.28
0.26318	-20332	-272.36
0.27650	-20330	-281.65
0.29029	-20338	-291.10
0.30455	-20321	-300.80
0.31930	-20276	-310.55
0.33454	-20289	-320.67
0.35028	-20298	-330.93
0.36653	-20283	-341.25
0.38330	-20275	-351.86
0.40060	-20262	-362.59
0.41844	-20247	-373.57
0.43683	-20250	-384.75
0.45578	-20235	-396.12
0.47530	-20243	-407.72
0.49539	-20225	-419.43
0.51608	-20225	-431.39
0.53735	-20216	-443.49
0.55924	-20211	-455.91
0.58174	-20203	-468.42
0.60487	-20200	-481.09
0.62863	-20200	-494.00
0.65304	-20185	-507.05
0.67811	-20189	-520.46
0.70384	-20181	-534.03
0.73025	-20183	-547.83
0.75734	-20177	-561.67
0.78513	-20176	-575.89
0.81363	-20166	-590.15
0.84284	-20169	-604.83
0.87278	-20163	-619.49
0.90345	-20161	-634.46
0.93488	-20158	-649.59
0.96705	-20143	-664.75
1.0000	-20152	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20770.42661449821
