PathParameter	MaxPathLikelihood	MLContribution
0.0000	-54717	-0.013300
2.1544e-07	-55414	-0.12054
2.1715e-06	-55992	-0.38312
8.3895e-06	-54173	-0.83071
2.1888e-05	-55431	-1.4833
4.6050e-05	-55455	-2.3607
8.4561e-05	-55495	-3.4678
0.00014136	-54158	-4.7985
0.00022061	-53715	-6.3740
0.00032669	-52827	-8.1957
0.00046416	-53026	-10.206
0.00063774	-53794	-12.472
0.00085232	-52686	-14.949
0.0011130	-52733	-17.624
0.0014248	-51475	-20.553
0.0017932	-50923	-23.636
0.0022237	-50091	-26.790
0.0027216	-49524	-30.276
0.0032929	-47605	-33.345
0.0039432	-46835	-36.811
0.0046784	-45876	-40.222
0.0055047	-42424	-42.301
0.0064280	-41512	-45.503
0.0074546	-39421	-48.038
0.0085909	-38088	-50.191
0.0098431	-35493	-52.481
0.011218	-34220	-54.338
0.012722	-32331	-56.362
0.014361	-31345	-59.456
0.016143	-29401	-60.672
0.018075	-29376	-63.912
0.020162	-28255	-66.708
0.022413	-26907	-68.560
0.024834	-26840	-72.570
0.027432	-26197	-75.570
0.030215	-26163	-80.477
0.033190	-25909	-84.382
0.036364	-25656	-89.022
0.039745	-25482	-93.596
0.043339	-25241	-98.779
0.047156	-25204	-104.14
0.051201	-25123	-109.44
0.055484	-25036	-115.08
0.060011	-24945	-120.92
0.064790	-24859	-127.13
0.069830	-24795	-133.26
0.075138	-24725	-139.83
0.080722	-24730	-146.57
0.086591	-24647	-153.60
0.092751	-24581	-160.60
0.099213	-24569	-167.82
0.10598	-24528	-175.42
0.11307	-24491	-182.99
0.12048	-24468	-190.97
0.12823	-24437	-198.98
0.13631	-24404	-207.31
0.14475	-24383	-215.87
0.15355	-24333	-224.61
0.16271	-24340	-233.58
0.17226	-24315	-242.67
0.18218	-24292	-252.06
0.19250	-24260	-261.65
0.20322	-24286	-271.44
0.21436	-24257	-281.54
0.22591	-24237	-291.71
0.23789	-24228	-302.04
0.25031	-24182	-312.64
0.26318	-24192	-323.55
0.27650	-24181	-334.64
0.29029	-24176	-345.93
0.30455	-24178	-357.55
0.31930	-24157	-369.24
0.33454	-24133	-381.11
0.35028	-24129	-393.35
0.36653	-24126	-405.75
0.38330	-24104	-418.39
0.40060	-24107	-431.25
0.41844	-24092	-444.41
0.43683	-24085	-457.70
0.45578	-24087	-471.29
0.47530	-24086	-485.07
0.49539	-24070	-499.03
0.51608	-24071	-513.31
0.53735	-24067	-527.78
0.55924	-24058	-542.45
0.58174	-24066	-557.42
0.60487	-24054	-572.54
0.62863	-24047	-588.01
0.65304	-24041	-603.56
0.67811	-24032	-619.54
0.70384	-24037	-635.69
0.73025	-24030	-652.12
0.75734	-24030	-668.70
0.78513	-24025	-685.56
0.81363	-24021	-702.62
0.84284	-24018	-720.05
0.87278	-24011	-737.55
0.90345	-23997	-755.31
0.93488	-23990	-773.37
0.96705	-23998	-791.83
1.0000	-24008	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -24647.349976892325
