PathParameter	MaxPathLikelihood	MLContribution
0.0000	-48888	-0.012065
2.1544e-07	-50235	-0.10948
2.1715e-06	-49893	-0.34754
8.3895e-06	-50030	-0.75693
2.1888e-05	-48665	-1.3453
4.6050e-05	-48997	-2.1362
8.4561e-05	-50062	-3.1486
0.00014136	-49321	-4.3641
0.00022061	-48984	-5.7819
0.00032669	-49024	-7.4246
0.00046416	-49004	-9.2821
0.00063774	-48596	-11.348
0.00085232	-48010	-13.556
0.0011130	-47155	-15.994
0.0014248	-47422	-18.659
0.0017932	-46786	-21.558
0.0022237	-45899	-24.586
0.0027216	-45734	-27.725
0.0032929	-44314	-31.122
0.0039432	-43379	-34.433
0.0046784	-43465	-38.265
0.0055047	-41921	-41.225
0.0064280	-40788	-44.639
0.0074546	-39849	-48.021
0.0085909	-37865	-50.738
0.0098431	-35994	-52.747
0.011218	-33933	-54.132
0.012722	-31416	-55.062
0.014361	-29981	-56.544
0.016143	-28455	-57.777
0.018075	-27197	-59.701
0.020162	-26163	-61.722
0.022413	-25438	-64.540
0.024834	-24482	-67.054
0.027432	-24001	-69.857
0.030215	-23710	-73.137
0.033190	-23344	-76.627
0.036364	-23150	-80.659
0.039745	-22763	-84.293
0.043339	-22628	-88.791
0.047156	-22516	-93.178
0.051201	-22316	-98.039
0.055484	-22225	-102.98
0.060011	-22170	-107.93
0.064790	-21972	-113.12
0.069830	-21968	-118.77
0.075138	-21897	-124.28
0.080722	-21807	-129.87
0.086591	-21577	-135.67
0.092751	-21616	-141.67
0.099213	-21613	-147.97
0.10598	-21596	-154.50
0.11307	-21473	-161.00
0.12048	-21447	-167.81
0.12823	-21415	-174.74
0.13631	-21373	-181.93
0.14475	-21296	-189.24
0.15355	-21302	-196.77
0.16271	-21299	-204.60
0.17226	-21265	-212.42
0.18218	-21214	-220.25
0.19250	-21178	-228.76
0.20322	-21152	-237.06
0.21436	-21124	-245.61
0.22591	-21107	-254.40
0.23789	-21084	-263.30
0.25031	-21063	-272.53
0.26318	-21027	-281.89
0.27650	-21001	-291.32
0.29029	-21006	-301.01
0.30455	-20987	-310.99
0.31930	-20946	-320.96
0.33454	-20957	-331.49
0.35028	-20961	-341.93
0.36653	-20946	-352.51
0.38330	-20927	-363.46
0.40060	-20924	-374.59
0.41844	-20892	-385.90
0.43683	-20893	-397.28
0.45578	-20894	-408.92
0.47530	-20891	-421.10
0.49539	-20873	-433.03
0.51608	-20876	-445.19
0.53735	-20863	-457.80
0.55924	-20854	-470.52
0.58174	-20847	-483.41
0.60487	-20844	-496.45
0.62863	-20833	-509.65
0.65304	-20832	-523.29
0.67811	-20822	-537.05
0.70384	-20825	-550.90
0.73025	-20818	-565.06
0.75734	-20807	-579.38
0.78513	-20807	-593.90
0.81363	-20803	-608.76
0.84284	-20803	-623.69
0.87278	-20793	-638.94
0.90345	-20787	-654.27
0.93488	-20770	-669.75
0.96705	-20774	-685.83
1.0000	-20776	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -21547.85352773313
