PathParameter	MaxPathLikelihood	MLContribution
0.0000	-39674	-0.0097634
2.1544e-07	-40068	-0.088916
2.1715e-06	-40173	-0.28232
8.3895e-06	-40202	-0.61261
2.1888e-05	-40295	-1.0931
4.6050e-05	-40425	-1.7364
8.4561e-05	-39394	-2.5498
0.00014136	-39407	-3.5448
0.00022061	-39463	-4.6916
0.00032669	-40155	-6.0617
0.00046416	-39132	-7.5569
0.00063774	-39097	-9.2281
0.00085232	-38835	-11.061
0.0011130	-38814	-13.108
0.0014248	-38003	-15.272
0.0017932	-38046	-17.627
0.0022237	-37779	-20.134
0.0027216	-36998	-22.748
0.0032929	-37005	-25.664
0.0039432	-35872	-28.556
0.0046784	-36044	-31.585
0.0055047	-35535	-34.651
0.0064280	-34644	-37.590
0.0074546	-33524	-40.748
0.0085909	-32623	-43.548
0.0098431	-31950	-46.628
0.011218	-30773	-48.960
0.012722	-29055	-50.847
0.014361	-28091	-53.360
0.016143	-26937	-55.492
0.018075	-25095	-56.413
0.020162	-25310	-59.712
0.022413	-23522	-60.816
0.024834	-23134	-63.548
0.027432	-22578	-65.530
0.030215	-21980	-68.392
0.033190	-21775	-71.498
0.036364	-21506	-75.309
0.039745	-21223	-79.160
0.043339	-21198	-82.887
0.047156	-20753	-86.732
0.051201	-20752	-91.067
0.055484	-20449	-95.290
0.060011	-20450	-99.973
0.064790	-20320	-104.78
0.069830	-20296	-109.50
0.075138	-20139	-114.46
0.080722	-20083	-119.78
0.086591	-20003	-125.11
0.092751	-19979	-130.66
0.099213	-19901	-136.44
0.10598	-19828	-142.22
0.11307	-19829	-148.49
0.12048	-19765	-154.78
0.12823	-19703	-161.09
0.13631	-19691	-167.72
0.14475	-19637	-174.42
0.15355	-19631	-181.36
0.16271	-19599	-188.54
0.17226	-19599	-195.76
0.18218	-19559	-203.29
0.19250	-19544	-210.86
0.20322	-19527	-218.72
0.21436	-19492	-226.60
0.22591	-19479	-234.68
0.23789	-19413	-243.07
0.25031	-19436	-251.50
0.26318	-19434	-260.18
0.27650	-19425	-269.12
0.29029	-19421	-278.13
0.30455	-19401	-287.27
0.31930	-19377	-296.60
0.33454	-19366	-306.22
0.35028	-19354	-315.85
0.36653	-19356	-325.82
0.38330	-19320	-335.86
0.40060	-19339	-346.21
0.41844	-19326	-356.62
0.43683	-19320	-367.32
0.45578	-19305	-378.07
0.47530	-19308	-389.09
0.49539	-19304	-400.24
0.51608	-19298	-411.68
0.53735	-19284	-423.15
0.55924	-19281	-434.90
0.58174	-19275	-446.88
0.60487	-19265	-458.97
0.62863	-19252	-471.27
0.65304	-19266	-483.93
0.67811	-19243	-496.46
0.70384	-19248	-509.35
0.73025	-19244	-522.38
0.75734	-19230	-535.70
0.78513	-19237	-549.25
0.81363	-19238	-562.93
0.84284	-19223	-576.66
0.87278	-19229	-590.86
0.90345	-19220	-604.95
0.93488	-19219	-619.48
0.96705	-19214	-634.08
1.0000	-18942	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19880.668425233136
