PathParameter	MaxPathLikelihood	MLContribution
0.0000	-1.2191e+05	-0.033491
2.1544e-07	-1.2377e+05	-0.30518
2.1715e-06	-1.2214e+05	-0.96269
8.3895e-06	-1.2404e+05	-2.0696
2.1888e-05	-1.2402e+05	-3.6366
4.6050e-05	-1.2284e+05	-5.6667
8.4561e-05	-1.2276e+05	-8.1036
0.00014136	-1.1555e+05	-10.911
0.00022061	-1.1598e+05	-14.016
0.00032669	-1.1339e+05	-17.420
0.00046416	-1.0697e+05	-21.105
0.00063774	-1.0618e+05	-25.158
0.00085232	-1.0086e+05	-28.994
0.0011130	-97874	-33.620
0.0014248	-94829	-38.338
0.0017932	-90610	-42.571
0.0022237	-89278	-47.472
0.0027216	-82854	-51.379
0.0032929	-81067	-56.286
0.0039432	-75287	-59.881
0.0046784	-70894	-62.779
0.0055047	-67436	-66.579
0.0064280	-63137	-69.187
0.0074546	-61576	-73.574
0.0085909	-60702	-78.862
0.0098431	-58150	-83.151
0.011218	-55766	-87.595
0.012722	-54385	-93.436
0.014361	-54379	-99.973
0.016143	-53536	-106.29
0.018075	-52877	-112.84
0.020162	-51781	-120.14
0.022413	-51778	-127.55
0.024834	-51368	-135.68
0.027432	-50774	-143.98
0.030215	-50599	-153.16
0.033190	-50233	-162.04
0.036364	-50266	-171.96
0.039745	-50061	-182.18
0.043339	-49646	-191.86
0.047156	-49546	-202.82
0.051201	-49543	-214.04
0.055484	-49431	-225.60
0.060011	-49201	-237.14
0.064790	-49231	-249.64
0.069830	-48885	-262.19
0.075138	-49007	-275.26
0.080722	-48842	-288.56
0.086591	-48802	-302.38
0.092751	-48758	-316.72
0.099213	-48670	-331.10
0.10598	-48632	-346.45
0.11307	-48616	-361.86
0.12048	-48540	-377.65
0.12823	-48428	-393.79
0.13631	-48446	-410.39
0.14475	-48373	-427.45
0.15355	-48405	-445.03
0.16271	-48371	-463.21
0.17226	-48358	-481.38
0.18218	-48321	-500.04
0.19250	-48318	-519.41
0.20322	-48270	-538.82
0.21436	-48272	-558.95
0.22591	-48263	-579.42
0.23789	-48250	-600.56
0.25031	-48199	-621.61
0.26318	-48181	-643.54
0.27650	-48185	-665.78
0.29029	-48182	-688.43
0.30455	-48162	-711.35
0.31930	-48126	-734.85
0.33454	-48143	-758.90
0.35028	-48100	-783.18
0.36653	-48136	-808.37
0.38330	-48113	-833.62
0.40060	-48095	-859.31
0.41844	-48098	-885.70
0.43683	-48095	-912.37
0.45578	-48080	-939.53
0.47530	-48077	-967.09
0.49539	-48055	-995.06
0.51608	-48062	-1023.7
0.53735	-48051	-1052.7
0.55924	-48051	-1082.2
0.58174	-48045	-1112.2
0.60487	-48033	-1142.6
0.62863	-48032	-1173.4
0.65304	-48017	-1204.8
0.67811	-48006	-1236.6
0.70384	-48016	-1268.9
0.73025	-48010	-1301.8
0.75734	-48002	-1335.0
0.78513	-48002	-1368.8
0.81363	-48002	-1403.2
0.84284	-47992	-1437.8
0.87278	-47988	-1473.1
0.90345	-47985	-1508.7
0.93488	-47985	-1545.0
0.96705	-47984	-1581.9
1.0000	-47979	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -48761.61351157257
