PathParameter	MaxPathLikelihood	MLContribution
0.0000	-39774	-0.0090376
2.1544e-07	-39669	-0.081888
2.1715e-06	-39466	-0.26059
8.3895e-06	-39840	-0.56601
2.1888e-05	-39581	-1.0130
4.6050e-05	-39632	-1.6124
8.4561e-05	-39493	-2.3783
0.00014136	-39395	-3.3113
0.00022061	-39764	-4.4318
0.00032669	-39161	-5.7400
0.00046416	-39507	-7.2147
0.00063774	-39165	-8.8993
0.00085232	-38848	-10.762
0.0011130	-38791	-12.848
0.0014248	-38655	-15.105
0.0017932	-38682	-17.555
0.0022237	-38066	-20.155
0.0027216	-38365	-23.040
0.0032929	-37511	-25.931
0.0039432	-37532	-29.067
0.0046784	-37070	-32.315
0.0055047	-36791	-35.702
0.0064280	-35621	-38.898
0.0074546	-35470	-42.484
0.0085909	-34854	-45.965
0.0098431	-33543	-49.246
0.011218	-32767	-52.290
0.012722	-31522	-54.513
0.014361	-29692	-56.471
0.016143	-28117	-57.519
0.018075	-26923	-60.011
0.020162	-26036	-62.523
0.022413	-24316	-62.458
0.024834	-23799	-65.450
0.027432	-23563	-67.701
0.030215	-23175	-70.873
0.033190	-22542	-74.045
0.036364	-22184	-77.714
0.039745	-21957	-81.383
0.043339	-21821	-85.370
0.047156	-21746	-89.566
0.051201	-21493	-94.314
0.055484	-21415	-98.973
0.060011	-21352	-103.70
0.064790	-21253	-108.97
0.069830	-21209	-114.25
0.075138	-21158	-119.80
0.080722	-21009	-125.41
0.086591	-21036	-131.38
0.092751	-21054	-137.23
0.099213	-20998	-143.54
0.10598	-20971	-149.88
0.11307	-20932	-156.52
0.12048	-20919	-163.32
0.12823	-20898	-170.31
0.13631	-20867	-177.37
0.14475	-20851	-184.67
0.15355	-20839	-192.18
0.16271	-20830	-199.86
0.17226	-20813	-207.73
0.18218	-20775	-215.70
0.19250	-20775	-224.01
0.20322	-20763	-232.35
0.21436	-20770	-240.91
0.22591	-20745	-249.73
0.23789	-20739	-258.72
0.25031	-20717	-267.88
0.26318	-20727	-277.18
0.27650	-20709	-286.70
0.29029	-20708	-296.47
0.30455	-20706	-306.34
0.31930	-20701	-316.43
0.33454	-20690	-326.69
0.35028	-20689	-337.19
0.36653	-20684	-347.89
0.38330	-20677	-358.68
0.40060	-20668	-369.83
0.41844	-20665	-381.01
0.43683	-20670	-392.51
0.45578	-20654	-404.15
0.47530	-20647	-415.98
0.49539	-20654	-428.05
0.51608	-20652	-440.36
0.53735	-20644	-452.77
0.55924	-20640	-465.38
0.58174	-20641	-478.25
0.60487	-20638	-491.31
0.62863	-20640	-504.55
0.65304	-20628	-518.03
0.67811	-20633	-531.68
0.70384	-20630	-545.62
0.73025	-20619	-559.57
0.75734	-20618	-573.89
0.78513	-20613	-588.39
0.81363	-20604	-603.03
0.84284	-20604	-617.83
0.87278	-20598	-632.93
0.90345	-20583	-648.22
0.93488	-20593	-663.84
0.96705	-20580	-679.36
1.0000	-20568	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -21161.335879239035
