PathParameter	MaxPathLikelihood	MLContribution
0.0000	-39022	-0.0090468
2.1544e-07	-39002	-0.082196
2.1715e-06	-38581	-0.26046
8.3895e-06	-38746	-0.56526
2.1888e-05	-38094	-1.0110
4.6050e-05	-38937	-1.6103
8.4561e-05	-38889	-2.3757
0.00014136	-38391	-3.3008
0.00022061	-38327	-4.4139
0.00032669	-38628	-5.6985
0.00046416	-38095	-7.1383
0.00063774	-37737	-8.8084
0.00085232	-37931	-10.639
0.0011130	-37899	-12.622
0.0014248	-37580	-14.788
0.0017932	-37164	-17.107
0.0022237	-37257	-19.702
0.0027216	-36295	-22.353
0.0032929	-36220	-25.073
0.0039432	-36207	-28.043
0.0046784	-34894	-30.932
0.0055047	-34701	-34.262
0.0064280	-33768	-36.971
0.0074546	-33050	-39.953
0.0085909	-32356	-43.078
0.0098431	-30245	-45.539
0.011218	-29524	-47.694
0.012722	-27762	-48.956
0.014361	-25948	-49.524
0.016143	-24025	-49.771
0.018075	-23717	-52.062
0.020162	-22495	-53.810
0.022413	-21499	-54.654
0.024834	-20948	-57.255
0.027432	-20390	-59.087
0.030215	-19987	-61.989
0.033190	-19881	-65.217
0.036364	-19537	-68.453
0.039745	-19492	-72.111
0.043339	-19361	-75.877
0.047156	-19321	-79.813
0.051201	-19184	-83.832
0.055484	-19123	-88.256
0.060011	-19024	-92.733
0.064790	-18962	-97.262
0.069830	-18939	-102.02
0.075138	-18913	-107.11
0.080722	-18884	-112.27
0.086591	-18851	-117.42
0.092751	-18782	-122.87
0.099213	-18781	-128.53
0.10598	-18755	-134.22
0.11307	-18736	-140.15
0.12048	-18703	-146.20
0.12823	-18675	-152.39
0.13631	-18683	-158.78
0.14475	-18669	-165.33
0.15355	-18645	-172.05
0.16271	-18641	-178.92
0.17226	-18621	-185.93
0.18218	-18606	-193.14
0.19250	-18599	-200.49
0.20322	-18571	-207.90
0.21436	-18577	-215.63
0.22591	-18559	-223.50
0.23789	-18543	-231.46
0.25031	-18529	-239.58
0.26318	-18529	-247.87
0.27650	-18517	-256.38
0.29029	-18489	-265.07
0.30455	-18497	-273.87
0.31930	-18485	-282.88
0.33454	-18471	-291.95
0.35028	-18474	-301.26
0.36653	-18471	-310.84
0.38330	-18466	-320.48
0.40060	-18440	-330.23
0.41844	-18446	-340.30
0.43683	-18434	-350.42
0.45578	-18428	-360.73
0.47530	-18437	-371.39
0.49539	-18431	-382.09
0.51608	-18418	-392.94
0.53735	-18406	-403.95
0.55924	-18407	-415.15
0.58174	-18404	-426.63
0.60487	-18398	-438.19
0.62863	-18400	-450.06
0.65304	-18395	-461.97
0.67811	-18391	-474.13
0.70384	-18368	-486.39
0.73025	-18387	-498.98
0.75734	-18376	-511.64
0.78513	-18368	-524.52
0.81363	-18371	-537.59
0.84284	-18361	-550.76
0.87278	-18345	-564.21
0.90345	-18365	-577.89
0.93488	-18353	-591.71
0.96705	-18349	-605.65
1.0000	-18349	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -18908.69619173495
