PathParameter	MaxPathLikelihood	MLContribution
0.0000	-1.9685e+05	-0.052422
2.1544e-07	-1.9588e+05	-0.47528
2.1715e-06	-1.9011e+05	-1.5008
8.3895e-06	-1.8832e+05	-3.2099
2.1888e-05	-1.9058e+05	-5.6022
4.6050e-05	-1.8911e+05	-8.6046
8.4561e-05	-1.7772e+05	-11.972
0.00014136	-1.6859e+05	-15.912
0.00022061	-1.6659e+05	-20.008
0.00032669	-1.5996e+05	-24.637
0.00046416	-1.4843e+05	-29.121
0.00063774	-1.3891e+05	-33.941
0.00085232	-1.2626e+05	-37.447
0.0011130	-1.1411e+05	-40.137
0.0014248	-1.0429e+05	-42.098
0.0017932	-94786	-44.584
0.0022237	-85434	-46.567
0.0027216	-78098	-48.475
0.0032929	-72633	-51.221
0.0039432	-67274	-52.505
0.0046784	-63721	-56.177
0.0055047	-62088	-60.809
0.0064280	-61277	-66.207
0.0074546	-59784	-71.488
0.0085909	-59451	-77.163
0.0098431	-58318	-83.046
0.011218	-57909	-89.621
0.012722	-57091	-95.944
0.014361	-55766	-102.80
0.016143	-55845	-110.25
0.018075	-55259	-117.82
0.020162	-55071	-126.32
0.022413	-54693	-134.67
0.024834	-54530	-143.85
0.027432	-54159	-152.80
0.030215	-53861	-162.30
0.033190	-53718	-172.62
0.036364	-53516	-182.97
0.039745	-53434	-194.05
0.043339	-53351	-205.45
0.047156	-53203	-217.25
0.051201	-53091	-229.09
0.055484	-53011	-241.86
0.060011	-52922	-254.64
0.064790	-52829	-267.85
0.069830	-52772	-281.78
0.075138	-52546	-296.04
0.080722	-52604	-310.56
0.086591	-52551	-325.39
0.092751	-52490	-340.77
0.099213	-52480	-356.75
0.10598	-52395	-372.90
0.11307	-52348	-389.67
0.12048	-52333	-406.81
0.12823	-52271	-424.43
0.13631	-52257	-442.65
0.14475	-52245	-460.99
0.15355	-52220	-479.84
0.16271	-52215	-499.41
0.17226	-52185	-519.15
0.18218	-52112	-539.36
0.19250	-52109	-560.18
0.20322	-52115	-581.42
0.21436	-52089	-603.13
0.22591	-52065	-625.22
0.23789	-52044	-647.78
0.25031	-52043	-670.79
0.26318	-52010	-694.21
0.27650	-51979	-718.34
0.29029	-51981	-742.71
0.30455	-51983	-767.67
0.31930	-51984	-793.19
0.33454	-51960	-819.16
0.35028	-51938	-845.40
0.36653	-51945	-872.49
0.38330	-51925	-899.65
0.40060	-51927	-927.60
0.41844	-51918	-955.97
0.43683	-51903	-984.71
0.45578	-51905	-1014.1
0.47530	-51885	-1043.9
0.49539	-51886	-1074.2
0.51608	-51875	-1105.0
0.53735	-51873	-1136.5
0.55924	-51858	-1168.3
0.58174	-51867	-1200.6
0.60487	-51859	-1233.4
0.62863	-51861	-1266.9
0.65304	-51853	-1300.8
0.67811	-51849	-1335.3
0.70384	-51853	-1370.2
0.73025	-51838	-1405.5
0.75734	-51839	-1441.5
0.78513	-51830	-1478.0
0.81363	-51826	-1514.9
0.84284	-51813	-1552.3
0.87278	-51823	-1590.5
0.90345	-51822	-1629.2
0.93488	-51818	-1668.3
0.96705	-51817	-1708.1
1.0000	-51813	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -52528.68127438249
