PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41514	-0.0096920
2.1544e-07	-41609	-0.087769
2.1715e-06	-41669	-0.27909
8.3895e-06	-41333	-0.60484
2.1888e-05	-40773	-1.0809
4.6050e-05	-42117	-1.7233
8.4561e-05	-42082	-2.5399
0.00014136	-41118	-3.5368
0.00022061	-41522	-4.7162
0.00032669	-41405	-6.1109
0.00046416	-40927	-7.7048
0.00063774	-40978	-9.4651
0.00085232	-40903	-11.457
0.0011130	-40595	-13.573
0.0014248	-39960	-15.986
0.0017932	-40133	-18.487
0.0022237	-39672	-21.152
0.0027216	-38794	-24.044
0.0032929	-38564	-26.970
0.0039432	-38147	-30.027
0.0046784	-37673	-33.179
0.0055047	-36517	-36.225
0.0064280	-36411	-39.522
0.0074546	-34528	-42.241
0.0085909	-33773	-44.911
0.0098431	-31509	-46.444
0.011218	-28849	-47.257
0.012722	-27602	-49.171
0.014361	-26586	-50.871
0.016143	-24568	-51.290
0.018075	-24459	-53.795
0.020162	-22828	-54.689
0.022413	-22635	-57.428
0.024834	-22239	-60.320
0.027432	-21888	-63.031
0.030215	-21491	-66.337
0.033190	-20951	-69.538
0.036364	-20929	-72.897
0.039745	-20714	-76.766
0.043339	-20676	-80.636
0.047156	-20319	-84.668
0.051201	-20278	-89.085
0.055484	-20147	-93.211
0.060011	-20089	-98.029
0.064790	-19895	-102.48
0.069830	-19892	-107.47
0.075138	-19872	-112.63
0.080722	-19756	-117.65
0.086591	-19681	-123.05
0.092751	-19647	-128.69
0.099213	-19579	-134.33
0.10598	-19552	-140.23
0.11307	-19474	-146.08
0.12048	-19475	-152.40
0.12823	-19440	-158.68
0.13631	-19400	-165.39
0.14475	-19343	-171.87
0.15355	-19353	-178.65
0.16271	-19334	-185.69
0.17226	-19281	-192.88
0.18218	-19278	-200.29
0.19250	-19260	-207.86
0.20322	-19201	-215.52
0.21436	-19186	-223.33
0.22591	-19210	-231.41
0.23789	-19165	-239.65
0.25031	-19170	-247.89
0.26318	-19155	-256.47
0.27650	-19146	-265.29
0.29029	-19126	-274.01
0.30455	-19125	-283.18
0.31930	-19117	-292.49
0.33454	-19105	-301.90
0.35028	-19095	-311.46
0.36653	-19063	-321.31
0.38330	-19084	-331.31
0.40060	-19059	-341.37
0.41844	-19055	-351.59
0.43683	-19051	-362.12
0.45578	-19041	-372.77
0.47530	-19041	-383.59
0.49539	-19036	-394.73
0.51608	-19021	-405.88
0.53735	-19022	-417.35
0.55924	-19021	-428.93
0.58174	-19015	-440.68
0.60487	-19004	-452.57
0.62863	-19004	-464.79
0.65304	-18994	-477.14
0.67811	-18988	-489.67
0.70384	-18976	-502.40
0.73025	-18977	-515.26
0.75734	-18979	-528.32
0.78513	-18966	-541.65
0.81363	-18966	-555.19
0.84284	-18960	-568.77
0.87278	-18970	-582.67
0.90345	-18955	-596.67
0.93488	-18960	-611.01
0.96705	-18958	-625.53
1.0000	-18947	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19593.2368108595
