PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41282	-0.0095298
2.1544e-07	-40968	-0.086095
2.1715e-06	-40925	-0.27442
8.3895e-06	-40544	-0.59504
2.1888e-05	-40891	-1.0633
4.6050e-05	-41161	-1.7031
8.4561e-05	-40221	-2.5056
0.00014136	-40913	-3.4757
0.00022061	-40147	-4.6479
0.00032669	-40703	-6.0032
0.00046416	-40383	-7.5255
0.00063774	-40188	-9.3047
0.00085232	-40218	-11.202
0.0011130	-40050	-13.340
0.0014248	-39407	-15.599
0.0017932	-39187	-18.025
0.0022237	-38673	-20.643
0.0027216	-38349	-23.462
0.0032929	-36853	-26.167
0.0039432	-37085	-29.163
0.0046784	-35534	-32.173
0.0055047	-35818	-35.219
0.0064280	-34240	-38.144
0.0074546	-33619	-40.896
0.0085909	-31617	-43.031
0.0098431	-30404	-45.487
0.011218	-29826	-47.818
0.012722	-27747	-49.567
0.014361	-27272	-52.112
0.016143	-26139	-54.085
0.018075	-24856	-55.854
0.020162	-23832	-57.313
0.022413	-23232	-59.711
0.024834	-22835	-62.262
0.027432	-22394	-64.817
0.030215	-21949	-68.028
0.033190	-21573	-71.049
0.036364	-21133	-74.586
0.039745	-21095	-77.994
0.043339	-20815	-81.927
0.047156	-20803	-86.079
0.051201	-20543	-90.335
0.055484	-20478	-94.565
0.060011	-20354	-99.175
0.064790	-20249	-103.89
0.069830	-20110	-108.79
0.075138	-20025	-113.79
0.080722	-19972	-119.08
0.086591	-19961	-124.56
0.092751	-19842	-130.03
0.099213	-19802	-135.91
0.10598	-19755	-141.78
0.11307	-19741	-147.87
0.12048	-19695	-154.25
0.12823	-19611	-160.56
0.13631	-19629	-167.18
0.14475	-19594	-173.94
0.15355	-19595	-181.00
0.16271	-19562	-188.14
0.17226	-19512	-195.40
0.18218	-19505	-202.87
0.19250	-19502	-210.49
0.20322	-19487	-218.23
0.21436	-19491	-226.42
0.22591	-19451	-234.44
0.23789	-19454	-242.88
0.25031	-19447	-251.39
0.26318	-19413	-259.95
0.27650	-19415	-268.76
0.29029	-19391	-277.82
0.30455	-19393	-287.11
0.31930	-19372	-296.44
0.33454	-19357	-306.02
0.35028	-19361	-315.65
0.36653	-19348	-325.67
0.38330	-19337	-335.70
0.40060	-19340	-346.14
0.41844	-19322	-356.42
0.43683	-19305	-367.03
0.45578	-19293	-377.87
0.47530	-19298	-389.00
0.49539	-19298	-400.06
0.51608	-19278	-411.43
0.53735	-19282	-423.10
0.55924	-19258	-434.71
0.58174	-19271	-446.70
0.60487	-19242	-458.80
0.62863	-19262	-471.11
0.65304	-19247	-483.56
0.67811	-19254	-496.42
0.70384	-19244	-509.28
0.73025	-19231	-522.32
0.75734	-19236	-535.61
0.78513	-19224	-548.94
0.81363	-19219	-562.65
0.84284	-19233	-576.62
0.87278	-19215	-590.41
0.90345	-19218	-604.79
0.93488	-19212	-619.35
0.96705	-19202	-633.89
1.0000	-19188	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19849.200734342623
