PathParameter	MaxPathLikelihood	MLContribution
0.0000	-2.5660e+05	-0.064630
2.1544e-07	-2.5521e+05	-0.58595
2.1715e-06	-2.5589e+05	-1.8594
8.3895e-06	-2.5319e+05	-4.0183
2.1888e-05	-2.4835e+05	-7.0362
4.6050e-05	-2.3598e+05	-10.875
8.4561e-05	-2.3391e+05	-15.423
0.00014136	-2.1327e+05	-20.324
0.00022061	-1.9119e+05	-25.296
0.00032669	-1.8414e+05	-29.566
0.00046416	-1.7455e+05	-34.113
0.00063774	-1.4610e+05	-36.827
0.00085232	-1.3143e+05	-39.471
0.0011130	-1.1776e+05	-41.938
0.0014248	-1.0833e+05	-43.993
0.0017932	-1.0170e+05	-47.326
0.0022237	-93189	-50.635
0.0027216	-89710	-54.866
0.0032929	-80017	-56.181
0.0039432	-76283	-60.265
0.0046784	-71207	-63.184
0.0055047	-68811	-67.652
0.0064280	-67847	-72.974
0.0074546	-66559	-78.739
0.0085909	-65851	-85.393
0.0098431	-64341	-91.645
0.011218	-63723	-98.541
0.012722	-62877	-106.10
0.014361	-62213	-113.92
0.016143	-62039	-122.01
0.018075	-61287	-130.73
0.020162	-61325	-140.20
0.022413	-60926	-149.80
0.024834	-60611	-159.68
0.027432	-59999	-169.81
0.030215	-59866	-180.38
0.033190	-59692	-191.95
0.036364	-59520	-203.51
0.039745	-59589	-215.93
0.043339	-59204	-228.18
0.047156	-59056	-241.05
0.051201	-58999	-254.58
0.055484	-58751	-268.51
0.060011	-58814	-282.91
0.064790	-58720	-297.75
0.069830	-58609	-312.87
0.075138	-58516	-328.50
0.080722	-58359	-344.60
0.086591	-58298	-361.45
0.092751	-58336	-378.56
0.099213	-58285	-396.08
0.10598	-58142	-414.10
0.11307	-58144	-432.45
0.12048	-58096	-451.79
0.12823	-58014	-470.98
0.13631	-58056	-491.33
0.14475	-57943	-511.66
0.15355	-57941	-532.75
0.16271	-57946	-554.27
0.17226	-57874	-576.16
0.18218	-57894	-598.82
0.19250	-57880	-622.09
0.20322	-57841	-645.54
0.21436	-57835	-669.58
0.22591	-57833	-694.24
0.23789	-57829	-719.34
0.25031	-57797	-744.95
0.26318	-57767	-771.23
0.27650	-57772	-797.88
0.29029	-57756	-824.88
0.30455	-57750	-852.58
0.31930	-57752	-881.02
0.33454	-57727	-909.86
0.35028	-57712	-939.20
0.36653	-57717	-969.13
0.38330	-57697	-999.57
0.40060	-57707	-1030.6
0.41844	-57689	-1062.1
0.43683	-57687	-1094.0
0.45578	-57653	-1126.5
0.47530	-57649	-1159.6
0.49539	-57650	-1193.5
0.51608	-57643	-1227.6
0.53735	-57640	-1262.5
0.55924	-57642	-1297.9
0.58174	-57621	-1334.1
0.60487	-57625	-1370.5
0.62863	-57624	-1407.7
0.65304	-57620	-1445.3
0.67811	-57609	-1483.4
0.70384	-57602	-1522.1
0.73025	-57608	-1561.8
0.75734	-57596	-1601.6
0.78513	-57585	-1642.0
0.81363	-57590	-1683.2
0.84284	-57588	-1725.1
0.87278	-57591	-1767.5
0.90345	-57583	-1810.3
0.93488	-57584	-1853.8
0.96705	-57574	-1897.9
1.0000	-57579	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -58353.802258139716
