PathParameter	MaxPathLikelihood	MLContribution
0.0000	-38380	-0.0087145
2.1544e-07	-38289	-0.079158
2.1715e-06	-38319	-0.25154
8.3895e-06	-38236	-0.54563
2.1888e-05	-38396	-0.97721
4.6050e-05	-38497	-1.5568
8.4561e-05	-38084	-2.2958
0.00014136	-37802	-3.1940
0.00022061	-38330	-4.2784
0.00032669	-38182	-5.5369
0.00046416	-38204	-6.9807
0.00063774	-38083	-8.6110
0.00085232	-37679	-10.407
0.0011130	-37452	-12.447
0.0014248	-37699	-14.625
0.0017932	-37392	-17.008
0.0022237	-37581	-19.619
0.0027216	-37072	-22.369
0.0032929	-36646	-25.252
0.0039432	-37213	-28.400
0.0046784	-36050	-31.607
0.0055047	-35627	-34.972
0.0064280	-35778	-38.492
0.0074546	-34875	-41.841
0.0085909	-34349	-45.411
0.0098431	-33634	-48.665
0.011218	-32681	-51.742
0.012722	-31910	-55.031
0.014361	-29554	-56.337
0.016143	-28445	-58.418
0.018075	-27377	-60.397
0.020162	-25955	-62.075
0.022413	-24485	-63.059
0.024834	-23793	-65.219
0.027432	-23111	-67.394
0.030215	-22776	-70.275
0.033190	-22540	-74.136
0.036364	-22107	-77.190
0.039745	-21784	-80.748
0.043339	-21710	-84.836
0.047156	-21507	-89.305
0.051201	-21436	-93.554
0.055484	-21291	-98.304
0.060011	-21223	-103.07
0.064790	-21135	-108.37
0.069830	-21061	-113.54
0.075138	-21041	-119.22
0.080722	-20999	-124.74
0.086591	-20950	-130.64
0.092751	-20938	-136.66
0.099213	-20895	-142.77
0.10598	-20889	-149.23
0.11307	-20871	-155.82
0.12048	-20814	-162.55
0.12823	-20813	-169.50
0.13631	-20805	-176.63
0.14475	-20791	-183.97
0.15355	-20744	-191.48
0.16271	-20755	-199.11
0.17226	-20735	-206.95
0.18218	-20744	-214.95
0.19250	-20708	-223.17
0.20322	-20699	-231.59
0.21436	-20693	-240.14
0.22591	-20693	-248.97
0.23789	-20687	-257.90
0.25031	-20676	-266.99
0.26318	-20675	-276.37
0.27650	-20656	-285.82
0.29029	-20659	-295.57
0.30455	-20649	-305.43
0.31930	-20643	-315.51
0.33454	-20637	-325.76
0.35028	-20632	-336.24
0.36653	-20639	-346.92
0.38330	-20622	-357.71
0.40060	-20621	-368.79
0.41844	-20625	-380.03
0.43683	-20616	-391.42
0.45578	-20596	-403.08
0.47530	-20606	-414.93
0.49539	-20610	-426.96
0.51608	-20591	-439.15
0.53735	-20590	-451.57
0.55924	-20585	-464.25
0.58174	-20594	-477.04
0.60487	-20591	-490.08
0.62863	-20589	-503.33
0.65304	-20584	-516.77
0.67811	-20583	-530.38
0.70384	-20583	-544.27
0.73025	-20572	-558.28
0.75734	-20578	-572.57
0.78513	-20577	-587.05
0.81363	-20572	-601.74
0.84284	-20573	-616.62
0.87278	-20562	-631.67
0.90345	-20568	-647.00
0.93488	-20561	-662.51
0.96705	-20561	-678.19
1.0000	-20555	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -21094.410452869717
