PathParameter	MaxPathLikelihood	MLContribution
0.0000	-47532	-0.010897
2.1544e-07	-46873	-0.098680
2.1715e-06	-45906	-0.31314
8.3895e-06	-46911	-0.68084
2.1888e-05	-46487	-1.2204
4.6050e-05	-46266	-1.9417
8.4561e-05	-46945	-2.8532
0.00014136	-46908	-3.9724
0.00022061	-46835	-5.3162
0.00032669	-46612	-6.8483
0.00046416	-46254	-8.6238
0.00063774	-46064	-10.621
0.00085232	-46156	-12.817
0.0011130	-44423	-15.211
0.0014248	-43670	-17.837
0.0017932	-44346	-20.565
0.0022237	-44101	-23.425
0.0027216	-42972	-26.588
0.0032929	-41626	-29.479
0.0039432	-40841	-32.672
0.0046784	-38342	-35.233
0.0055047	-37908	-37.817
0.0064280	-37131	-40.701
0.0074546	-35370	-43.094
0.0085909	-33106	-44.359
0.0098431	-31664	-46.708
0.011218	-29369	-47.494
0.012722	-27340	-48.955
0.014361	-26278	-50.011
0.016143	-25020	-51.625
0.018075	-23519	-52.355
0.020162	-22387	-53.899
0.022413	-22227	-56.451
0.024834	-21627	-58.883
0.027432	-21366	-61.785
0.030215	-21059	-65.076
0.033190	-20642	-68.221
0.036364	-20553	-71.912
0.039745	-20383	-75.330
0.043339	-20272	-79.169
0.047156	-20155	-83.448
0.051201	-19997	-87.551
0.055484	-19939	-92.095
0.060011	-19834	-96.637
0.064790	-19735	-101.37
0.069830	-19735	-106.35
0.075138	-19659	-111.59
0.080722	-19607	-116.85
0.086591	-19567	-122.30
0.092751	-19593	-127.91
0.099213	-19567	-133.76
0.10598	-19520	-139.70
0.11307	-19525	-145.74
0.12048	-19441	-152.13
0.12823	-19441	-158.58
0.13631	-19441	-165.30
0.14475	-19404	-172.07
0.15355	-19404	-179.07
0.16271	-19413	-186.22
0.17226	-19372	-193.47
0.18218	-19376	-201.03
0.19250	-19321	-208.62
0.20322	-19335	-216.45
0.21436	-19344	-224.47
0.22591	-19314	-232.65
0.23789	-19315	-240.96
0.25031	-19312	-249.45
0.26318	-19297	-258.09
0.27650	-19295	-267.00
0.29029	-19280	-276.03
0.30455	-19275	-285.19
0.31930	-19254	-294.60
0.33454	-19238	-304.11
0.35028	-19241	-313.88
0.36653	-19240	-323.81
0.38330	-19238	-333.83
0.40060	-19231	-344.12
0.41844	-19221	-354.56
0.43683	-19219	-365.21
0.45578	-19212	-376.00
0.47530	-19210	-387.04
0.49539	-19206	-398.12
0.51608	-19201	-409.51
0.53735	-19197	-421.08
0.55924	-19178	-432.75
0.58174	-19189	-444.67
0.60487	-19182	-456.76
0.62863	-19177	-469.07
0.65304	-19174	-481.53
0.67811	-19169	-494.24
0.70384	-19168	-507.09
0.73025	-19162	-520.11
0.75734	-19159	-533.35
0.78513	-19155	-546.78
0.81363	-19152	-560.42
0.84284	-19148	-574.24
0.87278	-19147	-588.28
0.90345	-19135	-602.47
0.93488	-19143	-616.90
0.96705	-19135	-631.37
1.0000	-19133	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19728.146555788422
