PathParameter	MaxPathLikelihood	MLContribution
0.0000	-56228	-0.013286
2.1544e-07	-55163	-0.12092
2.1715e-06	-57007	-0.38311
8.3895e-06	-57240	-0.83262
2.1888e-05	-56454	-1.4889
4.6050e-05	-56300	-2.3642
8.4561e-05	-56480	-3.4956
0.00014136	-56478	-4.8621
0.00022061	-56613	-6.4758
0.00032669	-54519	-8.3353
0.00046416	-56003	-10.476
0.00063774	-55774	-12.867
0.00085232	-54812	-15.412
0.0011130	-53733	-18.252
0.0014248	-53124	-21.322
0.0017932	-51868	-24.548
0.0022237	-51393	-27.819
0.0027216	-49328	-30.968
0.0032929	-48198	-34.578
0.0039432	-46728	-37.284
0.0046784	-43795	-39.341
0.0055047	-43231	-42.979
0.0064280	-39488	-43.948
0.0074546	-37093	-46.135
0.0085909	-37066	-49.455
0.0098431	-34809	-51.148
0.011218	-33305	-53.783
0.012722	-32279	-56.103
0.014361	-30572	-57.601
0.016143	-29821	-60.362
0.018075	-28846	-63.629
0.020162	-28094	-65.972
0.022413	-27292	-68.590
0.024834	-26711	-71.977
0.027432	-26123	-75.506
0.030215	-25956	-79.622
0.033190	-25751	-83.880
0.036364	-25630	-88.541
0.039745	-25455	-93.466
0.043339	-25318	-98.494
0.047156	-25244	-103.93
0.051201	-25058	-109.21
0.055484	-24949	-114.95
0.060011	-24860	-120.68
0.064790	-24780	-126.94
0.069830	-24752	-133.20
0.075138	-24587	-139.60
0.080722	-24682	-146.33
0.086591	-24549	-153.19
0.092751	-24572	-160.20
0.099213	-24503	-167.58
0.10598	-24523	-175.13
0.11307	-24481	-182.79
0.12048	-24432	-190.72
0.12823	-24418	-198.86
0.13631	-24374	-207.07
0.14475	-24339	-215.64
0.15355	-24345	-224.41
0.16271	-24317	-233.30
0.17226	-24278	-242.44
0.18218	-24287	-251.81
0.19250	-24252	-261.36
0.20322	-24235	-271.08
0.21436	-24228	-281.13
0.22591	-24219	-291.38
0.23789	-24203	-301.71
0.25031	-24165	-312.39
0.26318	-24186	-323.40
0.27650	-24140	-334.30
0.29029	-24158	-345.76
0.30455	-24142	-357.19
0.31930	-24129	-368.90
0.33454	-24116	-380.80
0.35028	-24115	-393.00
0.36653	-24101	-405.41
0.38330	-24088	-418.08
0.40060	-24094	-430.97
0.41844	-24083	-444.05
0.43683	-24075	-457.33
0.45578	-24066	-470.85
0.47530	-24056	-484.65
0.49539	-24056	-498.62
0.51608	-24058	-512.87
0.53735	-24048	-527.33
0.55924	-24049	-542.03
0.58174	-24036	-557.01
0.60487	-24023	-572.24
0.62863	-24030	-587.60
0.65304	-24023	-603.23
0.67811	-24020	-619.14
0.70384	-24012	-635.21
0.73025	-24012	-651.58
0.75734	-24015	-668.27
0.78513	-24005	-685.07
0.81363	-24007	-702.19
0.84284	-24002	-719.55
0.87278	-23987	-736.96
0.90345	-23993	-754.85
0.93488	-23986	-772.92
0.96705	-23991	-791.29
1.0000	-23991	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -24622.073213721644
