PathParameter	MaxPathLikelihood	MLContribution
0.0000	-53777	-0.012532
2.1544e-07	-53954	-0.11352
2.1715e-06	-54480	-0.36154
8.3895e-06	-53374	-0.78318
2.1888e-05	-54475	-1.4027
4.6050e-05	-53885	-2.2372
8.4561e-05	-53845	-3.2867
0.00014136	-54234	-4.5767
0.00022061	-53761	-6.1216
0.00032669	-53609	-7.8994
0.00046416	-53628	-9.9261
0.00063774	-53631	-12.228
0.00085232	-51816	-14.764
0.0011130	-51729	-17.523
0.0014248	-52097	-20.554
0.0017932	-50961	-23.732
0.0022237	-51078	-27.148
0.0027216	-50893	-30.717
0.0032929	-48921	-34.435
0.0039432	-48138	-38.165
0.0046784	-48022	-42.079
0.0055047	-45797	-45.090
0.0064280	-42938	-47.675
0.0074546	-41962	-50.846
0.0085909	-38164	-51.722
0.0098431	-35463	-52.180
0.011218	-31554	-52.336
0.012722	-30293	-53.776
0.014361	-28324	-54.351
0.016143	-27761	-56.505
0.018075	-26638	-58.963
0.020162	-26223	-62.029
0.022413	-25752	-65.524
0.024834	-25885	-69.484
0.027432	-25747	-73.431
0.030215	-25506	-77.658
0.033190	-25405	-82.245
0.036364	-25132	-87.046
0.039745	-25063	-92.074
0.043339	-25082	-97.234
0.047156	-24959	-102.64
0.051201	-24852	-108.24
0.055484	-24816	-114.07
0.060011	-24780	-119.94
0.064790	-24788	-126.31
0.069830	-24757	-132.69
0.075138	-24685	-139.34
0.080722	-24679	-146.17
0.086591	-24637	-153.14
0.092751	-24644	-160.39
0.099213	-24593	-167.74
0.10598	-24594	-175.46
0.11307	-24558	-183.29
0.12048	-24562	-191.29
0.12823	-24544	-199.61
0.13631	-24528	-208.03
0.14475	-24498	-216.68
0.15355	-24519	-225.62
0.16271	-24481	-234.71
0.17226	-24461	-244.01
0.18218	-24467	-253.52
0.19250	-24457	-263.29
0.20322	-24454	-273.21
0.21436	-24427	-283.37
0.22591	-24440	-293.73
0.23789	-24431	-304.38
0.25031	-24428	-315.20
0.26318	-24420	-326.24
0.27650	-24394	-337.52
0.29029	-24412	-349.03
0.30455	-24411	-360.71
0.31930	-24403	-372.67
0.33454	-24403	-384.83
0.35028	-24389	-397.25
0.36653	-24383	-409.85
0.38330	-24383	-422.71
0.40060	-24382	-435.79
0.41844	-24375	-449.11
0.43683	-24373	-462.67
0.45578	-24371	-476.42
0.47530	-24373	-490.42
0.49539	-24368	-504.70
0.51608	-24359	-519.21
0.53735	-24356	-533.90
0.55924	-24360	-548.89
0.58174	-24358	-564.07
0.60487	-24354	-579.52
0.62863	-24353	-595.20
0.65304	-24354	-611.11
0.67811	-24347	-627.27
0.70384	-24349	-643.67
0.73025	-24346	-660.33
0.75734	-24339	-677.21
0.78513	-24343	-694.39
0.81363	-24333	-711.72
0.84284	-24328	-729.36
0.87278	-24335	-747.27
0.90345	-24331	-765.36
0.93488	-24333	-783.80
0.96705	-24268	-802.26
1.0000	-24201	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -24838.748492845883
