PathParameter	MaxPathLikelihood	MLContribution
0.0000	-53413	-0.012338
2.1544e-07	-52903	-0.11191
2.1715e-06	-52830	-0.35589
8.3895e-06	-51174	-0.77171
2.1888e-05	-52421	-1.3812
4.6050e-05	-52932	-2.1943
8.4561e-05	-52514	-3.2340
0.00014136	-53376	-4.5051
0.00022061	-52812	-6.0212
0.00032669	-51483	-7.7597
0.00046416	-52138	-9.7355
0.00063774	-52225	-11.986
0.00085232	-51992	-14.439
0.0011130	-51450	-17.129
0.0014248	-50399	-20.052
0.0017932	-50407	-23.097
0.0022237	-49595	-26.400
0.0027216	-49041	-29.838
0.0032929	-48082	-33.445
0.0039432	-47550	-37.106
0.0046784	-45329	-40.479
0.0055047	-44058	-43.929
0.0064280	-41734	-46.432
0.0074546	-39951	-49.304
0.0085909	-37467	-51.357
0.0098431	-35705	-52.804
0.011218	-33594	-54.239
0.012722	-32117	-55.555
0.014361	-30803	-57.740
0.016143	-29436	-60.285
0.018075	-28856	-63.126
0.020162	-28080	-66.449
0.022413	-27455	-69.697
0.024834	-27479	-73.711
0.027432	-27102	-77.792
0.030215	-27056	-82.447
0.033190	-26601	-86.788
0.036364	-26518	-91.601
0.039745	-26348	-96.736
0.043339	-26095	-102.08
0.047156	-26252	-107.73
0.051201	-26066	-113.44
0.055484	-26074	-119.53
0.060011	-25922	-125.73
0.064790	-25912	-132.19
0.069830	-25879	-138.78
0.075138	-25855	-145.73
0.080722	-25819	-152.78
0.086591	-25792	-160.15
0.092751	-25779	-167.73
0.099213	-25731	-175.44
0.10598	-25703	-183.49
0.11307	-25721	-191.67
0.12048	-25644	-200.05
0.12823	-25660	-208.67
0.13631	-25646	-217.52
0.14475	-25623	-226.56
0.15355	-25624	-235.91
0.16271	-25621	-245.39
0.17226	-25603	-255.12
0.18218	-25592	-265.11
0.19250	-25561	-275.32
0.20322	-25586	-285.74
0.21436	-25575	-296.31
0.22591	-25556	-307.21
0.23789	-25556	-318.32
0.25031	-25556	-329.67
0.26318	-25544	-341.23
0.27650	-25535	-352.98
0.29029	-25532	-365.05
0.30455	-25515	-377.28
0.31930	-25525	-389.78
0.33454	-25510	-402.51
0.35028	-25515	-415.46
0.36653	-25509	-428.67
0.38330	-25505	-442.15
0.40060	-25505	-455.82
0.41844	-25493	-469.77
0.43683	-25494	-483.94
0.45578	-25490	-498.33
0.47530	-25492	-512.99
0.49539	-25487	-527.90
0.51608	-25483	-543.06
0.53735	-25480	-558.44
0.55924	-25475	-574.10
0.58174	-25480	-589.99
0.60487	-25470	-606.17
0.62863	-25475	-622.55
0.65304	-25474	-639.21
0.67811	-25469	-656.08
0.70384	-25466	-673.23
0.73025	-25465	-690.65
0.75734	-25458	-708.35
0.78513	-25455	-726.26
0.81363	-25457	-744.41
0.84284	-25459	-762.88
0.87278	-25449	-781.59
0.90345	-25448	-800.55
0.93488	-25440	-819.67
0.96705	-25448	-839.25
1.0000	-25396	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -25953.745016102785
