# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 14:22:03 AEST 2019 [seed=1557721322273]
# -overwrite GSS_strict_dates_het_rel0.5_sim_9.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-64049.06808536849	-101.62238112571589	-63947.445704242775	1.9714250734166137	3.0285749265833863	15.231674013877036	1.0	0.0	0.5	0.25	0.25	-63947.445704242775	0.0	-93.68176321211463
5000	-37164.88776683788	-454.0159878999437	-36710.87177893794	8.297063615925104	-3.2970636159251043	318.282000415244	528.2452067166265	0.6543237298146527	0.3812312631139785	0.004314351120764975	0.004314351120764976	-36710.87177893794	0.0	-446.37040720607143
10000	-29233.190010652794	-418.92365573822894	-28814.266354914565	8.716968620324494	-3.7169686203244936	220.76499333378948	292.06690047271564	0.7259356723560502	0.7213148450699276	0.0039050448555108027	0.003905044855510803	-28814.266354914565	0.0	-413.2660814237186
15000	-27298.86837717149	-413.01150242694297	-26885.856874744546	7.750568475123093	-2.750568475123093	197.972692534745	145.83148449670503	0.5345953299679194	0.9691282964890231	0.0038819821009019925	0.0038819821009019907	-26885.856874744546	0.0	-408.55404333610613
20000	-27290.35787927695	-410.4162410622037	-26879.941638214746	7.792463743986181	-2.792463743986181	191.46766879786793	125.70846766800996	0.6639845795777752	0.9630966064549253	0.0040086139852903106	0.004008613985290312	-26879.941638214746	0.0	-406.0109378392667
25000	-27281.769318305614	-409.53047153925803	-26872.238846766355	8.43799177391727	-3.43799177391727	192.8318650300117	150.1839117980995	0.6675100951414308	0.883758546726957	0.0038944327395000933	0.003894432739500091	-26872.238846766355	0.0	-405.07011232136966
30000	-27262.563755034374	-405.2996419547515	-26857.264113079622	7.7737762011661635	-2.7737762011661635	182.67823732154395	96.49481001624046	0.5729918298292562	0.8756684870738268	0.004135326319203111	0.004135326319203109	-26857.264113079622	0.0	-401.42535348722976
35000	-27257.86380226114	-390.7740652788907	-26867.08973698225	6.817865535721747	-1.8178655357217472	156.35395240932783	133.05375915903764	0.746185210275401	0.9416923493827016	0.004921661704812266	0.004921661704812265	-26867.08973698225	0.0	-386.05001710111134
40000	-27268.395472401437	-393.6543079069018	-26874.741164494535	6.936142183920697	-1.9361421839206967	161.91634456020418	131.95953551603057	0.735838627770006	0.8862500945080066	0.004866789852103	0.004866789852103005	-26874.741164494535	0.0	-389.06702605217475
45000	-27247.711597504545	-392.5043976088136	-26855.207199895733	6.412167797089082	-1.412167797089082	159.70047001036443	111.05633223958179	0.696228606330578	0.9108892471380895	0.004673983535603818	0.004673983535603819	-26855.207199895733	0.0	-388.1713764713128
50000	-27241.198661244725	-389.3209897991881	-26851.877671445538	6.291513024116215	-1.291513024116215	153.34898615763956	78.96916849299868	0.6234359506157852	0.9225947510740471	0.004936835778375028	0.004936835778375031	-26851.877671445538	0.0	-385.299952252624
55000	-27253.33739663625	-390.41970959283253	-26862.917687043417	6.460157370125338	-1.460157370125338	157.21220350194946	100.58250381396569	0.7132144448892013	0.873903556861066	0.005114603278146408	0.005114603278146414	-26862.917687043417	0.0	-386.13787579101773
60000	-27257.62575271903	-393.7049307229799	-26863.92082199605	6.274028703721638	-1.2740287037216378	159.9897080854605	105.42013024709226	0.7158519163409365	1.0013297765738376	0.004624102589504333	0.004624102589504329	-26863.92082199605	0.0	-389.2406652237892
