PathParameter	MaxPathLikelihood	MLContribution
0.0000	-91350	-0.021169
2.1544e-07	-90934	-0.19205
2.1715e-06	-90371	-0.60973
8.3895e-06	-90892	-1.3224
2.1888e-05	-90548	-2.3626
4.6050e-05	-90627	-3.7629
8.4561e-05	-89806	-5.5270
0.00014136	-88150	-7.6932
0.00022061	-90417	-10.215
0.00032669	-88907	-13.171
0.00046416	-89097	-16.514
0.00063774	-88450	-20.179
0.00085232	-86626	-24.166
0.0011130	-86127	-28.534
0.0014248	-84044	-33.245
0.0017932	-81963	-37.940
0.0022237	-80303	-42.672
0.0027216	-78008	-47.917
0.0032929	-74228	-51.606
0.0039432	-69039	-55.303
0.0046784	-65181	-58.296
0.0055047	-59387	-59.729
0.0064280	-55342	-61.599
0.0074546	-52310	-64.159
0.0085909	-50089	-65.844
0.0098431	-48057	-69.660
0.011218	-46142	-72.912
0.012722	-45090	-77.712
0.014361	-44026	-81.986
0.016143	-43911	-87.521
0.018075	-43255	-93.079
0.020162	-43044	-99.206
0.022413	-42425	-105.36
0.024834	-42222	-112.08
0.027432	-42051	-119.20
0.030215	-41922	-126.64
0.033190	-41611	-134.33
0.036364	-41451	-142.54
0.039745	-41386	-150.86
0.043339	-41312	-159.66
0.047156	-41220	-168.67
0.051201	-41141	-178.10
0.055484	-41128	-187.96
0.060011	-41089	-197.84
0.064790	-41077	-208.30
0.069830	-40965	-218.99
0.075138	-40968	-230.08
0.080722	-40866	-241.33
0.086591	-40827	-253.09
0.092751	-40826	-265.13
0.099213	-40799	-277.57
0.10598	-40790	-290.28
0.11307	-40770	-303.35
0.12048	-40706	-316.76
0.12823	-40705	-330.49
0.13631	-40688	-344.53
0.14475	-40664	-358.97
0.15355	-40680	-373.79
0.16271	-40636	-388.93
0.17226	-40622	-404.41
0.18218	-40600	-420.27
0.19250	-40602	-436.44
0.20322	-40597	-452.97
0.21436	-40570	-469.91
0.22591	-40571	-487.18
0.23789	-40557	-504.79
0.25031	-40543	-522.86
0.26318	-40553	-541.18
0.27650	-40539	-559.95
0.29029	-40532	-579.06
0.30455	-40517	-598.56
0.31930	-40518	-618.44
0.33454	-40521	-638.65
0.35028	-40517	-659.29
0.36653	-40500	-680.30
0.38330	-40487	-701.65
0.40060	-40503	-723.38
0.41844	-40490	-745.53
0.43683	-40490	-768.12
0.45578	-40482	-791.01
0.47530	-40480	-814.25
0.49539	-40472	-837.92
0.51608	-40471	-862.06
0.53735	-40464	-886.51
0.55924	-40469	-911.42
0.58174	-40467	-936.70
0.60487	-40455	-962.33
0.62863	-40454	-988.41
0.65304	-40443	-1014.7
0.67811	-40453	-1041.7
0.70384	-40445	-1068.9
0.73025	-40443	-1096.6
0.75734	-40445	-1124.7
0.78513	-40439	-1153.1
0.81363	-40437	-1182.0
0.84284	-40433	-1211.3
0.87278	-40439	-1241.2
0.90345	-40439	-1271.4
0.93488	-40438	-1302.0
0.96705	-40386	-1332.5
1.0000	-40163	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -41023.21253811344
