PathParameter	MaxPathLikelihood	MLContribution
0.0000	-49466	-0.011528
2.1544e-07	-50130	-0.10455
2.1715e-06	-49274	-0.33184
8.3895e-06	-49580	-0.72261
2.1888e-05	-49250	-1.2921
4.6050e-05	-49445	-2.0541
8.4561e-05	-49864	-3.0244
0.00014136	-49613	-4.2031
0.00022061	-49159	-5.6207
0.00032669	-48588	-7.2577
0.00046416	-49370	-9.0966
0.00063774	-48568	-11.208
0.00085232	-49211	-13.514
0.0011130	-48483	-16.064
0.0014248	-48151	-18.800
0.0017932	-47327	-21.815
0.0022237	-47643	-24.978
0.0027216	-47218	-28.455
0.0032929	-46571	-31.998
0.0039432	-45600	-35.691
0.0046784	-45440	-39.715
0.0055047	-44906	-43.726
0.0064280	-44278	-47.739
0.0074546	-42414	-50.993
0.0085909	-41161	-54.994
0.0098431	-39254	-57.828
0.011218	-37114	-59.298
0.012722	-34870	-61.086
0.014361	-33363	-62.968
0.016143	-31740	-64.501
0.018075	-30426	-66.339
0.020162	-29358	-68.818
0.022413	-28508	-72.149
0.024834	-27867	-75.356
0.027432	-27642	-79.856
0.030215	-27356	-83.897
0.033190	-27212	-88.650
0.036364	-26981	-93.499
0.039745	-26790	-98.621
0.043339	-26716	-104.06
0.047156	-26524	-109.61
0.051201	-26523	-115.60
0.055484	-26538	-121.74
0.060011	-26424	-128.04
0.064790	-26359	-134.48
0.069830	-26281	-141.22
0.075138	-26328	-148.23
0.080722	-26204	-155.44
0.086591	-26218	-162.88
0.092751	-26196	-170.53
0.099213	-26163	-178.38
0.10598	-26121	-186.44
0.11307	-26093	-194.75
0.12048	-26089	-203.27
0.12823	-26070	-212.04
0.13631	-26062	-221.01
0.14475	-26049	-230.22
0.15355	-26028	-239.56
0.16271	-26007	-249.27
0.17226	-26007	-259.12
0.18218	-25970	-269.22
0.19250	-25976	-279.56
0.20322	-25965	-290.15
0.21436	-25958	-300.90
0.22591	-25954	-311.93
0.23789	-25945	-323.15
0.25031	-25946	-334.68
0.26318	-25925	-346.40
0.27650	-25914	-358.35
0.29029	-25909	-370.59
0.30455	-25908	-383.01
0.31930	-25895	-395.68
0.33454	-25902	-408.61
0.35028	-25895	-421.73
0.36653	-25895	-435.11
0.38330	-25889	-448.77
0.40060	-25878	-462.64
0.41844	-25882	-476.81
0.43683	-25877	-491.16
0.45578	-25866	-505.76
0.47530	-25869	-520.65
0.49539	-25862	-535.76
0.51608	-25858	-551.15
0.53735	-25860	-566.76
0.55924	-25849	-582.64
0.58174	-25842	-598.81
0.60487	-25841	-615.13
0.62863	-25850	-631.76
0.65304	-25846	-648.65
0.67811	-25840	-665.83
0.70384	-25838	-683.21
0.73025	-25840	-700.89
0.75734	-25833	-718.80
0.78513	-25831	-736.96
0.81363	-25831	-755.43
0.84284	-25826	-774.12
0.87278	-25817	-793.04
0.90345	-25807	-812.22
0.93488	-25803	-831.72
0.96705	-25767	-851.28
1.0000	-23952	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26361.14486095753
