PathParameter	MaxPathLikelihood	MLContribution
0.0000	-46866	-0.011182
2.1544e-07	-47565	-0.10063
2.1715e-06	-47632	-0.32053
8.3895e-06	-46754	-0.69319
2.1888e-05	-47098	-1.2391
4.6050e-05	-47424	-1.9811
8.4561e-05	-47310	-2.9103
0.00014136	-46483	-4.0490
0.00022061	-46567	-5.3982
0.00032669	-46386	-6.9665
0.00046416	-46822	-8.7244
0.00063774	-46002	-10.698
0.00085232	-45401	-12.887
0.0011130	-45900	-15.317
0.0014248	-45696	-17.896
0.0017932	-45204	-20.682
0.0022237	-44711	-23.667
0.0027216	-43865	-26.901
0.0032929	-43535	-30.189
0.0039432	-42720	-33.634
0.0046784	-41845	-36.950
0.0055047	-41167	-40.819
0.0064280	-40588	-44.373
0.0074546	-38739	-47.261
0.0085909	-37526	-49.858
0.0098431	-35626	-52.215
0.011218	-34451	-54.947
0.012722	-31895	-56.691
0.014361	-30740	-58.389
0.016143	-28993	-59.549
0.018075	-27858	-61.473
0.020162	-26954	-63.961
0.022413	-25447	-65.314
0.024834	-25579	-69.281
0.027432	-25294	-72.758
0.030215	-24643	-76.015
0.033190	-24486	-80.066
0.036364	-24322	-84.206
0.039745	-24056	-88.856
0.043339	-23973	-93.333
0.047156	-23640	-98.132
0.051201	-23734	-103.42
0.055484	-23550	-108.75
0.060011	-23490	-114.18
0.064790	-23520	-120.10
0.069830	-23416	-126.02
0.075138	-23409	-132.18
0.080722	-23291	-138.47
0.086591	-23269	-145.03
0.092751	-23265	-151.84
0.099213	-23219	-158.72
0.10598	-23220	-165.84
0.11307	-23190	-173.24
0.12048	-23184	-180.86
0.12823	-23168	-188.53
0.13631	-23095	-196.47
0.14475	-23114	-204.63
0.15355	-23119	-212.97
0.16271	-23105	-221.50
0.17226	-23082	-230.21
0.18218	-23082	-239.19
0.19250	-23053	-248.33
0.20322	-23038	-257.67
0.21436	-23052	-267.28
0.22591	-23040	-277.04
0.23789	-23030	-287.01
0.25031	-23022	-297.23
0.26318	-23022	-307.63
0.27650	-22998	-318.21
0.29029	-23004	-329.08
0.30455	-23004	-340.07
0.31930	-22991	-351.33
0.33454	-23000	-362.80
0.35028	-22976	-374.47
0.36653	-22973	-386.35
0.38330	-22983	-398.44
0.40060	-22973	-410.80
0.41844	-22974	-423.30
0.43683	-22968	-436.03
0.45578	-22968	-449.04
0.47530	-22961	-462.26
0.49539	-22960	-475.66
0.51608	-22961	-489.30
0.53735	-22945	-503.17
0.55924	-22952	-517.27
0.58174	-22944	-531.53
0.60487	-22949	-546.13
0.62863	-22941	-560.86
0.65304	-22945	-575.86
0.67811	-22942	-591.09
0.70384	-22941	-606.53
0.73025	-22915	-622.21
0.75734	-22933	-638.14
0.78513	-22921	-654.25
0.81363	-22923	-670.63
0.84284	-22907	-687.23
0.87278	-22915	-704.03
0.90345	-22906	-721.11
0.93488	-22898	-738.37
0.96705	-22883	-755.72
1.0000	-15572	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -23464.31120911091
