PathParameter	MaxPathLikelihood	MLContribution
0.0000	-65781	-0.015403
2.1544e-07	-65077	-0.14013
2.1715e-06	-65105	-0.44544
8.3895e-06	-64607	-0.96491
2.1888e-05	-64890	-1.7291
4.6050e-05	-65334	-2.7425
8.4561e-05	-64252	-4.0275
0.00014136	-64578	-5.5998
0.00022061	-63398	-7.4454
0.00032669	-63976	-9.6005
0.00046416	-64307	-12.027
0.00063774	-63986	-14.725
0.00085232	-63813	-17.673
0.0011130	-62339	-20.902
0.0014248	-60378	-24.280
0.0017932	-59678	-27.921
0.0022237	-58474	-31.594
0.0027216	-57600	-35.356
0.0032929	-55921	-39.233
0.0039432	-53196	-42.310
0.0046784	-51099	-45.281
0.0055047	-47954	-47.461
0.0064280	-44754	-49.887
0.0074546	-43150	-52.190
0.0085909	-41712	-54.919
0.0098431	-40031	-57.931
0.011218	-39176	-61.250
0.012722	-37691	-64.684
0.014361	-37442	-69.159
0.016143	-36332	-72.426
0.018075	-35631	-77.013
0.020162	-35250	-81.537
0.022413	-34465	-86.546
0.024834	-34156	-91.422
0.027432	-34008	-96.806
0.030215	-33591	-102.31
0.033190	-33456	-108.17
0.036364	-33247	-114.59
0.039745	-33158	-121.23
0.043339	-33076	-128.06
0.047156	-32934	-135.16
0.051201	-32853	-142.43
0.055484	-32845	-150.09
0.060011	-32627	-157.94
0.064790	-32592	-166.10
0.069830	-32612	-174.57
0.075138	-32546	-183.12
0.080722	-32512	-192.12
0.086591	-32475	-201.43
0.092751	-32431	-210.92
0.099213	-32413	-220.72
0.10598	-32380	-230.76
0.11307	-32369	-241.21
0.12048	-32329	-251.76
0.12823	-32297	-262.55
0.13631	-32308	-273.79
0.14475	-32286	-285.18
0.15355	-32280	-296.92
0.16271	-32273	-308.91
0.17226	-32248	-321.13
0.18218	-32192	-333.77
0.19250	-32217	-346.52
0.20322	-32207	-359.64
0.21436	-32215	-373.11
0.22591	-32208	-386.82
0.23789	-32168	-400.64
0.25031	-32181	-415.02
0.26318	-32172	-429.66
0.27650	-32170	-444.47
0.29029	-32165	-459.74
0.30455	-32160	-475.09
0.31930	-32151	-490.82
0.33454	-32151	-506.94
0.35028	-32141	-523.27
0.36653	-32138	-539.79
0.38330	-32126	-556.73
0.40060	-32122	-573.93
0.41844	-32120	-591.51
0.43683	-32117	-609.41
0.45578	-32120	-627.61
0.47530	-32116	-646.09
0.49539	-32111	-664.92
0.51608	-32105	-684.03
0.53735	-32098	-703.41
0.55924	-32109	-723.19
0.58174	-32100	-743.19
0.60487	-32098	-763.53
0.62863	-32090	-784.21
0.65304	-32090	-805.20
0.67811	-32084	-826.44
0.70384	-32080	-847.98
0.73025	-32077	-869.91
0.75734	-32083	-892.21
0.78513	-32079	-914.95
0.81363	-32076	-937.93
0.84284	-32070	-961.16
0.87278	-32071	-984.71
0.90345	-32055	-1008.4
0.93488	-32024	-1032.6
0.96705	-32031	-1057.1
1.0000	-32005	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -32584.02164931289
