# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 15:25:57 AEST 2019 [seed=1557725155661]
# -overwrite GSS_strict_random_het_rel1_sim_4.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-85664.83250508609	-116.53137380517157	-85548.30113128091	2.0074935658315614	2.9925064341684386	15.759949739820373	1.0	0.0	0.5	0.25	0.25	-85548.30113128091	0.0	-108.47573436953789
5000	-57588.15241064559	-439.54220590608	-57148.61020473951	4.596817715891639	0.403182284108361	189.88865398211533	407.7133836473327	1.3427904797768735	0.38877007618462883	0.012483846245416045	0.012483846245416047	-57148.61020473951	0.0	-430.6115443682391
10000	-44639.70134054783	-480.0365282336087	-44159.66481231422	10.022434050149775	-5.022434050149775	236.93043061574434	337.3792509903249	0.8057091797159885	0.6378368486103678	0.006840750729412895	0.006840750729412898	-44159.66481231422	0.0	-473.00934787878487
15000	-40457.82266548398	-471.5378444381932	-39986.28482104579	12.947698164167408	-7.947698164167408	236.5885124102235	98.69729289160485	0.36531015203466466	0.7270458019091334	0.006115302067090875	0.0061153020670908715	-39986.28482104579	0.0	-467.3887661609873
20000	-38732.868251599364	-471.39528674285185	-38261.47296485651	13.726534882080303	-8.726534882080303	233.01543410210337	112.90890881556723	0.4082362459497624	0.7814681106299143	0.0056681664403650505	0.005668166440365048	-38261.47296485651	0.0	-467.10871693732923
25000	-38522.32589943219	-491.5836987983061	-38030.74220063388	16.82451451574935	-11.82451451574935	288.1000973495232	100.61330853645163	0.29266218573071967	0.7721292474771818	0.004495430816845856	0.004495430816845854	-38030.74220063388	0.0	-487.8019767234301
30000	-38505.39761750464	-490.48764117627667	-38014.90997632837	16.456719202757984	-11.456719202757984	286.74604480076357	148.75286817108784	0.33707270366907927	0.805328430819985	0.004528838268403335	0.0045288382684033355	-38014.90997632837	0.0	-486.1041647333404
35000	-38152.40692438382	-488.05402232109225	-37664.352902062725	15.955776700855877	-10.955776700855877	284.3411808970941	136.62433357099718	0.2918510602245106	0.7832517207524259	0.004493601185079419	0.004493601185079423	-37664.352902062725	0.0	-483.90181134297245
40000	-37872.17929046632	-509.27914609955235	-37362.90014436677	19.960111728840587	-14.960111728840587	352.0171812893059	128.8301575051522	0.18819536047226282	0.8171620498358788	0.0036277759114929802	0.003627775911492984	-37362.90014436677	0.0	-505.45515823470527
45000	-37880.855539616816	-546.4613501225391	-37334.394189494276	30.13956436522349	-25.13956436522349	510.91371612843955	200.68017029921586	0.15562428535717499	0.854693762511998	0.002472471184985158	0.002472471184985159	-37334.394189494276	0.0	-542.2681509749757
