PathParameter	MaxPathLikelihood	MLContribution
0.0000	-50280	-0.011495
2.1544e-07	-50703	-0.10450
2.1715e-06	-49679	-0.33169
8.3895e-06	-50462	-0.72050
2.1888e-05	-50473	-1.2885
4.6050e-05	-50749	-2.0524
8.4561e-05	-50096	-3.0267
0.00014136	-50722	-4.2173
0.00022061	-50661	-5.6322
0.00032669	-50346	-7.2894
0.00046416	-50098	-9.1654
0.00063774	-49469	-11.296
0.00085232	-49810	-13.702
0.0011130	-49648	-16.290
0.0014248	-49439	-19.139
0.0017932	-47908	-22.179
0.0022237	-48673	-25.509
0.0027216	-48126	-28.988
0.0032929	-46952	-32.614
0.0039432	-46645	-36.401
0.0046784	-45947	-40.420
0.0055047	-45478	-44.384
0.0064280	-44857	-48.349
0.0074546	-42759	-51.535
0.0085909	-41009	-54.470
0.0098431	-38251	-56.856
0.011218	-36274	-58.632
0.012722	-33822	-59.357
0.014361	-32383	-61.001
0.016143	-30822	-62.836
0.018075	-29833	-65.059
0.020162	-28791	-68.132
0.022413	-28260	-71.488
0.024834	-27846	-75.008
0.027432	-27508	-79.410
0.030215	-27583	-84.148
0.033190	-27040	-88.480
0.036364	-26982	-93.304
0.039745	-26720	-98.557
0.043339	-26776	-104.00
0.047156	-26658	-109.53
0.051201	-26601	-115.63
0.055484	-26459	-121.59
0.060011	-26435	-127.90
0.064790	-26295	-134.51
0.069830	-26298	-141.19
0.075138	-26228	-148.25
0.080722	-26226	-155.41
0.086591	-26170	-162.89
0.092751	-26198	-170.50
0.099213	-26138	-178.37
0.10598	-26116	-186.43
0.11307	-26087	-194.67
0.12048	-26047	-203.20
0.12823	-26058	-211.89
0.13631	-26050	-220.92
0.14475	-26039	-230.21
0.15355	-26007	-239.50
0.16271	-25995	-249.18
0.17226	-25996	-259.07
0.18218	-25991	-269.14
0.19250	-25957	-279.49
0.20322	-25972	-290.08
0.21436	-25946	-300.84
0.22591	-25942	-311.86
0.23789	-25922	-323.12
0.25031	-25916	-334.62
0.26318	-25931	-346.36
0.27650	-25924	-358.31
0.29029	-25911	-370.50
0.30455	-25907	-382.95
0.31930	-25900	-395.57
0.33454	-25900	-408.49
0.35028	-25891	-421.67
0.36653	-25884	-435.08
0.38330	-25872	-448.71
0.40060	-25880	-462.54
0.41844	-25877	-476.70
0.43683	-25864	-491.05
0.45578	-25861	-505.66
0.47530	-25865	-520.55
0.49539	-25865	-535.65
0.51608	-25858	-551.06
0.53735	-25848	-566.63
0.55924	-25853	-582.54
0.58174	-25847	-598.65
0.60487	-25850	-615.02
0.62863	-25838	-631.64
0.65304	-25843	-648.55
0.67811	-25844	-665.68
0.70384	-25830	-683.08
0.73025	-25840	-700.77
0.75734	-25838	-718.71
0.78513	-25835	-736.88
0.81363	-25828	-755.30
0.84284	-25835	-774.07
0.87278	-25829	-793.04
0.90345	-25827	-812.21
0.93488	-25829	-831.75
0.96705	-25823	-851.51
1.0000	-25825	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26352.26724767481
