# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 15:56:14 AEST 2019 [seed=1557726972298]
# -overwrite GSS_strict_ultra_het_rel0.1_sim_9.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-79797.9635206078	-82.86758931856606	-79715.09593128922	1.6081531672805152	1.6081531672805152	8.63335425767776	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005000000000000001	-79715.09593128922	0.0	-77.25241913257797
5000	-30089.61008405252	-401.06472898761706	-29688.545355064904	4.560363178999336	4.560363178999336	178.0597062504226	315.66638087883325	1.2898914503434786	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2416739968266483	0.005	0.005000000000000005	-29688.545355064904	0.0	-391.52965554884383
10000	-23725.23815489497	-408.4935537262811	-23316.744601168688	6.20306200470521	6.20306200470521	164.12812627985633	195.03583042188697	0.9988338575857347	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5396026152412545	0.005	0.004999999999999998	-23316.744601168688	0.0	-399.85998614800593
15000	-22268.77177157073	-395.2914476403602	-21873.48032393037	5.694367497371527	5.694367497371527	142.75020680317775	70.38339803174684	0.7417565218713225	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8860374943874904	0.005	0.0049999999999999975	-21873.48032393037	0.0	-387.46861196340836
20000	-22216.47920485935	-390.1406408496164	-21826.338564009737	5.282177063991243	5.282177063991243	135.53272926256048	88.67588451812293	0.9479198101384791	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0306667610376248	0.005	0.0049999999999999975	-21826.338564009737	0.0	-381.6394584862333
25000	-22204.165724140224	-385.7737870117467	-21818.39193712848	4.914667959513099	4.914667959513099	127.43183458998264	59.72150228248519	0.8312382198697812	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8479717756044574	0.005	0.0049999999999999975	-21818.39193712848	0.0	-378.0442200318551
30000	-22179.092919673934	-382.73290913686117	-21796.36001053707	4.753599627373379	4.753599627373379	125.1790196610136	67.78320095504658	0.8945067285804393	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9785954603923659	0.005	0.004999999999999997	-21796.36001053707	0.0	-374.59820929195746
35000	-22183.327232875035	-376.92083448670917	-21806.406398388328	4.672976300701275	4.672976300701275	117.68049979601092	62.193623576310046	0.9042890234468761	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9261474221964251	0.005	0.005	-21806.406398388328	0.0	-368.93714419711824
40000	-22179.115476263225	-376.09728978321647	-21803.018186480007	4.610394990280612	4.610394990280612	116.2652082033435	85.84928094933494	1.0295726259243079	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7945332499255995	0.005	0.0049999999999999975	-21803.018186480007	0.0	-368.01498766195954
45000	-22174.959319962407	-377.7247431569218	-21797.234576805484	4.438090959290779	4.438090959290779	115.54750427309637	54.77395419272829	0.7320958821598706	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.2345778508065701	0.005	0.004999999999999993	-21797.234576805484	0.0	-369.37058184523346
50000	-22167.48723866092	-374.1570635727686	-21793.33017508815	4.517071192252762	4.517071192252762	113.32134512546936	84.80488423923698	1.0336593687780011	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.063389991302851	0.005	0.004999999999999996	-21793.33017508815	0.0	-365.54340519300445
55000	-22160.70652344047	-371.6390589189134	-21789.067464521555	4.476997983430147	4.476997983430147	110.94143378879839	66.53422188996191	0.9208220708209212	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9586333603584194	0.005	0.005000000000000001	-21789.067464521555	0.0	-363.53045772248794
60000	-22153.795629653912	-372.2369992010671	-21781.558630452844	3.994484905468137	3.994484905468137	109.92239880361852	70.15469283743049	1.2039778492440303	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9499648436389959	0.005	0.0049999999999999975	-21781.558630452844	0.0	-363.82637455018266
65000	-22168.55402601164	-373.4085594373963	-21795.145466574242	3.9667727918303384	3.9667727918303384	110.52245210731154	54.65575676921946	1.0272792418405747	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9728112224117319	0.005	0.004999999999999995	-21795.145466574242	0.0	-365.283929997052
70000	-22162.583741098915	-370.8081025734682	-21791.775638525447	3.9234198668296294	3.9234198668296294	110.56964566456426	75.29447833228741	1.0529784692780537	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8039334428536916	0.005	0.005000000000000003	-21791.775638525447	0.0	-362.7891422491718
75000	-22146.836091650086	-368.7867743392708	-21778.049317310815	3.879124153217454	3.879124153217454	108.36878297641546	74.6770559842259	1.090488031143888	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9577538033756063	0.005	0.004999999999999995	-21778.049317310815	0.0	-360.4288379555453
80000	-22163.047703574168	-372.0342159738275	-21791.01348760034	3.9886301190759195	3.9886301190759195	111.32815787603765	82.00759295155177	1.1316292798161973	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9596757978368036	0.005	0.005000000000000001	-21791.01348760034	0.0	-363.55798898283405
85000	-22161.98464731358	-373.63444955292397	-21788.350197760657	4.1515298544561015	4.1515298544561015	112.6338860868722	80.98985802808335	1.0387202974993257	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.009823215142588	0.005	0.0049999999999999975	-21788.350197760657	0.0	-365.16101405887053
90000	-22161.973027798464	-374.41869595858657	-21787.554331839878	4.183787808706309	4.183787808706309	113.64968665285265	86.3685768367841	1.0698767946424967	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9863573818888103	0.005	0.005000000000000001	-21787.554331839878	0.0	-365.9072484458105
95000	-22153.820117919324	-377.5912152109077	-21776.228902708415	4.328718692000647	4.328718692000647	113.68458016782388	65.72488411878365	0.7553448590699712	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0391768702867954	0.005	0.005000000000000003	-21776.228902708415	0.0	-369.4950975840882
